,Title,Jornada,Ciudad,URL,Descripcion,Compañia,Nº Empleados,Rubro,País
0,"Data Scientists Positions, Several Levels – Kimberly Clark Talent Bank",Jornada completa,"Buenos Aires, Provincia de Buenos Aires, Argentina",https://ar.linkedin.com/jobs/view/data-scientists-positions-several-levels-%E2%80%93-kimberly-clark-talent-bank-at-kimberly-clark-3657616170?refId=2sGVsPm1a0%2BIKKGbfxkgXw%3D%3D&trackingId=l1%2ByE15b6s47g1PmNiGHrA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"Job Description Job Description You are applying for the Kimberly Clark Talent Bank. At this moment, we are preparing profiles to build a bank of talents because we always have new Data Scientists opportunities. If you are interested in some position with us apply for this and ASAP a position arises, we will contact you!! Your Job You’re raising the stakes for your career to do more. Learn more. Impact more. Here, your innovation, ideas, and technical curiosity will help us deliver better care for billions of people worldwide. You’ll put your professional expertise, talent, and drive to work by building and managing the technology behind our portfolio of iconic brands. About Us Huggies®. Kleenex®. Cottonelle®. Scott®. Kotex®. Poise®. Depend®. 25% of people in the world use Kimberly-Clark products every day, and it takes the best people to make that happen. We’re founded on 150 years of market leadership, and we’re always looking for new and better ways to perform, especially when it comes to product and process innovation. Our customers are always looking for new and better. Our competitors won’t stop evolving. And our communities demand responsible corporate practices. We need bold, transformative ideas from people who can turn them into reality. That means there’s no time like the present to make an impact at Kimberly-Clark. It’s all here for you at Kimberly-Clark. Kimberly Clark Looks For Different SAP Talents, For Instance Data Scientist (junior, senior, specialist, Lead and Manager) Data analysts Business Intelligence Analyst Data Engineer Machine Learning professional Some Of Our Benefits Remote roles Flexible hours Short Fridays Global Exposure Multicultural Environment Attractive salary/package of benefits Primary Location Argentina -Buenos Aires Additional Locations Brazil -Sao Paulo, Costa Rica -Prindisa Worker Type Employee Worker Sub-Type Regular Time Type Full time",,,,
1,Data Scientist,Jornada completa,Argentina,https://ar.linkedin.com/jobs/view/data-scientist-at-globallogic-latinoam%C3%A9rica-3639950411?refId=2sGVsPm1a0%2BIKKGbfxkgXw%3D%3D&trackingId=X6B5PqAuQBVkQxKQdx6Hvw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"About GlobalLogic GlobalLogic is a leader in digital engineering. We help brands across the globe design and build innovative products, platforms, and digital experiences for the modern world. By integrating experience design, complex engineering, and data expertise—we help our clients imagine what’s possible, and accelerate their transition into tomorrow’s digital businesses. Headquartered in Silicon Valley, GlobalLogic operates design studios and engineering centers around the world, extending our deep expertise to customers in the automotive, communications, financial services, healthcare and life sciences, manufacturing, media and entertainment, semiconductor, and technology industries. GlobalLogic is a Hitachi Group Company operating under Hitachi, Ltd. (TSE: 6501) which contributes to a sustainable society with a higher quality of life by driving innovation through data and technology as the Social Innovation Business. Description: Telecommunications Company Requirements:   Able to problem solve using the proper statistical methods to solve various business needs. Strong analytic skills related to working with structured and unstructured datasets. Understanding of Machine Learning Processes. Design, develop, implement, and continuously improve various production models. Good Visualization skills to present the data output and readouts to leadership and partner teams. Ability to understand data formats Ability to understand data structure SQL knowledge/NoSQL knowledge/ data aLDM knowledge of source to target mapping Job Responsibilities: Performs exploratory data analysis on provided dataset Performs Feature Engineering and Feature Selection Data Preparation, Treatment, Normalization, Train, Validate, Evaluate and Tune Models. ing language (Python, C,C++, Java, SQL) Familiarity with Big Data frameworks and visualization tools (Cassandra, Hadoop, Spark, Tableau)",,,,
2,Data Scientist Sr,Jornada completa,Argentina,https://ar.linkedin.com/jobs/view/data-scientist-sr-at-banco-supervielle-3644997188?refId=2sGVsPm1a0%2BIKKGbfxkgXw%3D%3D&trackingId=9c5fOHr1O5MW8TZV0i2PKw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"Si te gustan los desafíos profesionales y tenés ganas de dejar tu huella, desde donde estés, sumate a nuestro COE de Data y Advanced Analytics de Banco Supervielle y sé protagonista de una de las trasformaciones más grandes de la industria. Buscamos Data Scientists con más de 3 años de experiencia, que se sienta cómodo trabajando con equipos multidisciplinarios y en un ambiente ágil Ponemos foco en las personas y en su contribución personal al equipo. Es una posición con posibilidad de 100% remoto, lo importante es que dejes tu impronta, no importa desde donde lo hagas. Tus responsabilidades serán: Proponer y co-crear soluciones de machine Learning (Diseñar, desarrollar y testear) en colaboración con los ML Engineers y el resto de los integrantes del equipo para dar respuesta a las diferentes necesidades del Banco. Evaluar e iterar los modelos candidatos y seleccionar el que mejor performe teniendo como premisa el concepto de simplicidad. Realizar el seguimiento de los modelos implementados y proponer mejoras en caso de que lo requieran.  Presentar los resultados de los modelos implementados, explicando a alto nivel el porqué de las decisiones tomadas y los resultados alcanzados.  Colaborar en la definición de estándares, buenas prácticas e implementación de mejoras. Participar activamente de la comunidad analítica del Banco compartiendo su conocimiento, presentando propuestas de mejora tanto sobre los procesos, las herramientas como de soluciones posibles de implementar.  Requisitos: 2 años experiencia en diseño, desarrollo e implementación de soluciones de data mining y machine learning. Experiencia con varias técnicas de machine learning y data mining (clustering, redes neuronales, arboles, regresión, etc). Sólidos conocimientos de matemática y estadística.  Experiencia en soluciones de data streaming. Conocimiento avanzado de SQL.  Experiencia desarrollando en Python, R o similar.  Frameworks AWS Sagemaker (codePipeline, codeCommit y StepFunctions, Lambda, Cloud Fundation). Conocimiento de herramientas de big data y bases analíticas (Redshift, Snowflake, Athena, Spectrum). Conocimiento de herramientas o librerías de visualización de datos.  Perfil colaborativo, y con gran capacidad analítica (con foco estratégico y táctico). Pasión por el análisis de grandes volúmenes de datos y predecir comportamientos futuros.  Capacidad para resolución de problema complejos a través del análisis de datos.  Habilidad para comunicar y presentar datos complejos de manera simple. Pasión por la tecnología y últimas tendencias de mercado. Comunicación fluida con áreas técnicas y de negocio. Capacidad de adaptabilidad al cambio y rápido aprendizaje en ambientes dinámicos. Habilidad para pensar “out of the box” cuando desarrolla soluciones y crear valor. Valorar la simplicidad y sencillez en las soluciones. Dispuesto a experimentar y a utilizar el feedback como mecanismo de ajuste y aprendizaje. Fuerte compromiso por la excelencia técnica a través del uso de las prácticas que la habilitan. Metodología ágil y trabajo en equipo. Espíritu emprendedor y autonomía. Deseables Frameworks de Deep Learning. Text Analytics. Framework de Pythopn, scikit-learn. Conocimiento de bases de datos no relacionales y caches. Maestria en explotación de datos y descubrimiento del conocimiento. Certificaciones sobre Frameworks ML AWS, Lenguajes de programación.",,,,
3,Data Scientist,Jornada completa,"Buenos Aires, Provincia de Buenos Aires, Argentina",https://ar.linkedin.com/jobs/view/data-scientist-at-innovid-3653454545?refId=2sGVsPm1a0%2BIKKGbfxkgXw%3D%3D&trackingId=zWoG7HyhlilR6rsXMvqxpw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"We are seeking a Data Scientist to work in our Research, Analytics, and Data team at Innovid. We are looking for someone who is innovative and likes working in a fast-paced environment, both autonomously and as part of a multi-disciplined team. You will be working alongside data scientists, analysts, engineers, developers and product managers to deliver data-driven insights to help clients make effective media investment and business decisions. Expect to work on multiple projects across a number of clients, from briefing through delivery. The Impact You'll Make: Collaborate in high-impact projects from beginning to end, working with autonomy and accountability. Scope & stage work into well-defined milestones; make accurate timeline estimates and deliver to those estimates Use SQL and/or Python (Jupyter Notebooks) to prepare data, perform exploratory data analysis, evaluate different modeling approaches, tell a story through effective visualizations, and make recommendations to generate valuable solutions that meet our clients’ needs, often in combination with rich third-party datasets. Note: we will also consider candidates who are proficient in R. Work within the common tech stack which includes (though may not be limited to) AWS, Snowflake, DBT, Jupyter notebooks, Spark, Mongo, and Postgres among others. Documentation and task tracking typically live in JIRA/Confluence.  Proactively engage in problem-solving, fault-finding, addressing issues in the data or approaches as they arise. Communication (visual, verbal, and written) of findings to a variety of audiences including colleagues and clients, both technical and non-technical What You'll Bring to Us: Degree or advanced training in statistics, mathematics, computer science, or other highly quantitative field 2-4 years of work experience related to the field  Software development experience with Python. Advanced or Bilingual English Skills (Verbal and Writen) Knowledge of advanced statistical and analytical techniques and concepts such as sampling methods, regression, properties of distributions, weighting sample-based data, statistical tests and proper usage, etc. and experience with real-world applications. NumPy, SciPy, Pandas, MLlib, scikit-learn, and other common data and machine learning related libraries. Working knowledge of data structures, databases (SQL - an advantage), and ETL processes. Demonstrable history of devising and overseeing data-centered projects. Proactive attitude, self-motivated, and detail oriented person  Analytical and problem-solving skills shown through probing and asking relevant questions. Able to learn quickly and juggle multiple projects with moving deadlines. Strong written and verbal communication skills.Capacity to foster a healthy, stimulating work environment that frequently harnesses teamwork. Knowledge of AWS environments and services would be beneficial. What We'll Offer You: Unlimited Vacations Monthly Inflation updates Lunch card OSDE 410 as medical assurance  English lessons Gym coverage Internet coverage Stock Units (RSUs) Learning & Development - Tools and Training  Hybrid & flexible working model - nice offices in Palermo with endless snacks & beverages High visibility roles with a tremendous amount of growth potential  Global team and cross-company collaboration unlike anywhere else!   There is no such thing as the perfect resume, or someone that checks every box. At Innovid, we are generous with our time and knowledge, and always ready to teach. So however you identify and whatever background you bring with you, please apply if this is a role that would make you excited to come into work every day and add to Innovid. Equal Opportunity Employer: Innovid is an equal opportunity employer, committed to our diversity and inclusiveness. We consider all qualified applicants regardless of race, color, nationality, gender, gender identity or expression, sexual orientation, religion, disability or age. We strongly encourage women, people of color, members of the LGBTQIA community, people with disabilities and veterans to apply. We are actively working to be an anti-racist organization. We're committing to creating an inclusive and equitable workplace for all of our employees.",,,,
4,Machine Learning Engineer,Jornada completa,Argentina,https://ar.linkedin.com/jobs/view/machine-learning-engineer-at-caylent-3656491099?refId=2sGVsPm1a0%2BIKKGbfxkgXw%3D%3D&trackingId=f2eJQJa2SRnU%2Bhx112fQeA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"Caylent is a cloud native services company that helps organizations bring the best out of their people and technology using Amazon Web Services (AWS). We provide a full-range of AWS services including: workload migrations & modernization, cloud native application development, DevOps, data engineering, security & compliance and everything in between. At Caylent, our people always come first. We are a fully remote global company with employees in Canada, the United States and Latin America. We celebrate the culture of each of our team members and foster a community of technological curiosity. Come talk to us to learn more about what it means to be a Caylien! The Mission At Caylent, a Machine Learning Engineer works as an integral part of a cross-functional delivery team to design and document machine learning solutions on the AWS cloud for our customers. We are looking for someone that has a strong understanding of the various model types and tools, and can help our customers connect their business goals with the details of feature design, model training and inference. You will also have a weekly 1:1 with your manager to help guide you in your career and make the most of your time at Caylent. Your Assignments  Work with a team to deliver machine learning solutions on AWS for customers Participate in and contribute to daily standup meetings Develop and implement ML models, MLOps, and analytics Big data processing and preparation of training data for models  Your Qualifications   At least 3 years of hands on experience in at least a few of these ML tools/techniques: Build ML models in SageMaker Build ML models in frameworks like Tensorflow & PyTorch and deploy in SageMaker Train and deploy AWS pre-trained AI Services and Foundational Models Build and optimize models using feature definition, activation functions, hyperparameter tuning and other techniques Integrate ML models into real-time applications and batch workflows, recommend better infrastructure design and optimization Monitor, evaluate and continuously improve model performance, as well as automate these tasks using one or more tools for MLOps Hands on experience in these data engineering tools/techniques: Data integration, cleansing, transformation, and visualization using Python packages, SQL etc. AWS services such as Glue, EMR, Athena, DynamoDB, StepFunctions, EKS etc. Experience with an IaC tool such as CloudFormation, CDK or Terraform Excellent written and verbal communication skills Benefits Pay in USD 100% remote work Generous holidays and flexible PTO Competitive phantom equity Paid for exams and certifications Peer bonus awards State of the art laptop and tools Equipment & Office Stipend Individual professional development plan Annual stipend for Learning and Development Work with an amazing worldwide team and in an incredible corporate culture Caylent is a place where everyone belongs. We celebrate diversity and are committed to creating an inclusive environment for all employees. Our approach helps us to build a winning team that represents a variety of backgrounds, perspectives, and abilities. So, regardless of how your diversity expresses itself, you can find a home here at Caylent. We are proud to be an equal opportunity employer. We prohibit discrimination and harassment of any kind based on race, color, religion, national origin, sex (including pregnancy), sexual orientation, gender identity, gender expression, age, veteran status, genetic information, disability, or other applicable legally protected characteristics. If you would like to request an accommodation due to a disability, please contact us at hr@caylent.com.",,,,
5,Remote Machine Learning Developer,Jornada completa,Argentina,https://ar.linkedin.com/jobs/view/remote-machine-learning-developer-at-scopic-software-3660233045?refId=2sGVsPm1a0%2BIKKGbfxkgXw%3D%3D&trackingId=cN9wROB%2Bth39GgS1OTHdlA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"Are you on the hunt for exciting new challenges that boost your professional growth? If you’re an innovator by nature and a Machine Learning Developer by trade, we’d love to hear from you! Read on to see if you’d be a good fit for the Scopic team of 250+ professionals from over 40 countries. Requirements  3+ years of commercial web development.  Professional experience with DL Frameworks (e.g. TensorFlow, PyTorch)  DL Experience is needed (Ideally experience in a DL stream as the position entails working with Vision, Language, GNN, Speech etc.)  Mathematical fundamentals and algorithms skills or experience  Excellent programming (Python), debugging, and test design skills  Basic exposure to computer architecture, ideally accelerators and numerical software  Ability to work independently and manage individuals’ R\&D efforts  Good communication and documentation habits  Project Management tools knowledge  Excellent written and spoken English  Able to work remotely This is a full-time, home-based position. The Secret Ingredients That Make Us Special  Your growth is our growth. We invest in your future with paid training and other professional opportunities.  We’re industry innovators at the forefront of change. Equipped with the latest technologies and a team of knowledgeable colleagues by your side, you’ll embrace new and interesting challenges.  Your location. Your schedule — Pick your time zone, choose your preferred hours, and work from the place where you feel most at home.  Flexibility and freedom are in our DNA! As long as you have a stable internet connection and the drive to thrive, you can travel and work from anywhere you like.  A workload you can rely on. We’ll set you enough tasks to keep that mind busy! At Scopic, we’ll ensure you always have a consistent flow of engaging, challenging work to do.  Recognition and reward. We acknowledge diligence and hard work through annual pay increases for good performance. Down to business!  Your starting rate is negotiable depending on your skills and experience.  This is an hourly paid position.  Contractors are paid monthly via wire transfer. Our Values Scopic is an equal-opportunity employer. We value diversity and do not discriminate on the basis of race, religion, color, marital status, national origin, gender, veteran status, sexual orientation, age, or disability status. Have the skills, the drive, and the passion to join the Scopic family? Apply today to join our growing team of remote professionals from around the world. Please send your CV in English only.",,,,
6,Machine Learning Engineer,Jornada completa,Buenos Aires y alrededores,https://ar.linkedin.com/jobs/view/machine-learning-engineer-at-globallogic-latinoam%C3%A9rica-3633517899?refId=2sGVsPm1a0%2BIKKGbfxkgXw%3D%3D&trackingId=UEauqOUU0Oiys9qkYWva6A%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"Job Description Familiar with the aLDM Schema, Expert using Snowflake, Identifies the Impacted data Elements Collects Data from the Source Builds a data pipeline Python and R Development Experience in Kubernetes Work with the Software Engineers to Deploy the Models. Job Responsibilities Able to problem solve using the proper statistical methods to solve various business needs Strong analytic skills related to working with structured and unstructured datasets. Understanding of Machine Learning Processes. Design, develop, implement, and continuously improve various production models. Good Visualization skills to present the data output and readouts to leadership and partner teams. Department/Project Description This team is tasked with partnering with numerous technical teams to collaborate, test hypotheses, build proof of concepts, and turn data into insights and information for accelerating Digital First Approach. Data Sciences team is passionate about data modeling, forecasting, optimization, and possesses a strong vision of how data science and engineering can create value for our customers and for the company.",,,,
7,Data Scientist - Semi Senior,Jornada completa,"Provincia de Buenos Aires, Argentina",https://ar.linkedin.com/jobs/view/data-scientist-semi-senior-at-equifax-3649666890?refId=2sGVsPm1a0%2BIKKGbfxkgXw%3D%3D&trackingId=iY8EUPe2tRrNESHGtTaB%2Bg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"Equifax es donde puedes impulsar tus posibilidades. Si desea alcanzar su verdadero potencial, trazar nuevos caminos, desarrollar nuevas habilidades, colaborar con mentes brillantes y tener un impacto significativo, queremos saber de usted. Sinopsis del rol:   Sinopsis del rol:  el  Data Scientist  será responsable de apoyar en la resolución de requerimientos del equipo de Analytics de Argentina. Desarrollará atributos, modelos de aprendizaje supervisado y no supervisado, optimización, automatización e implementación de soluciones analíticas. Trabajará en conjunto con un equipo experto y multidisciplinario de Data Scientists. ¿Qué vas a hacer? Trabajar con diferentes unidades de negocio tales como Consultoría, Modelling y Analytics, Productos y clientes externos para el relevamiento, desarrollo y presentación de soluciones analíticas e insights. Analizar y manipular grandes conjuntos de datos estructurados y no estructurados de distintas fuentes. Investigar técnicas innovadoras de Machine Learning para convertirlas en soluciones y compartir dichos conocimientos con el equipo de trabajo para mantener los desarrollos internos alineados con las últimas tecnologías y mejores prácticas. Trabajar en conjunto con equipos de tecnología e implementación de modelos para asegurar la calidad de los desarrollos end-to-end y entregables analíticos. ¿Qué experiencia necesitas? +1 año ó más trabajando en un rol de Data Scientist ó afín. Programación intermedia en Python y SQL. Inglés intermedio. Deseable: Experiencia desarrollando modelos de aprendizaje supervisado y no supervisado. Manejo de herramientas Cloud como GCP ó AWS (deseable) Estudios en carreras afines a computación, matemática y estadística. ¿Qué podría diferenciarte? Experiencia en desarrollo de modelos estadísticos o de machine learning. Excelente habilidad de comunicación y experiencia haciendo presentaciones internas y con clientes. Espíritu para el trabajo en equipo y desenvolverse efectivamente en un ambiente multidisciplinario. Ofrecemos paquetes integrales de compensación, potencial de crecimiento organizacional a través de nuestra plataforma de aprendizaje en línea, con carreras profesionales guiadas.   ¿Estás listo para impulsar tus posibilidades? ¡Aplique hoy y comience un camino hacia una nueva y emocionante carrera en Equifax, donde puedes hacer la diferencia!   Equifax es un empleador que ofrece igualdad de oportunidades. Todos los aplicantes calificados recibirán consideración para el empleo sin distinción de raza, color, religión, sexo, orientación sexual, identidad de género, nacionalidad, discapacidad o condición de veterano protegido.",,,,
8,Data Scientist,Jornada completa,"Provincia de Buenos Aires, Argentina",https://ar.linkedin.com/jobs/view/data-scientist-at-etermax-3634741404?refId=2sGVsPm1a0%2BIKKGbfxkgXw%3D%3D&trackingId=33zq%2FYHka0ZMUt4i0iIh3A%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"Seguimos innovando y revolucionando la industria de la tecnología, ¡nos gustaría que te sumes como  Data Scientist ! Experimentá tu próximo rol: En etermax, el rol de  Data Scientist , tiene como objetivo brindar valor añadido a través de la explotación de datos, trabajando sobre la estrategia de nuestros productos. Los desafíos del rol son, entre otros: Impulsar la toma de decisiones basada en datos: Colaborar con equipos multidisciplinarios para comprender las necesidades del negocio y traducirlas en problemas analíticos claros. Utilizar técnicas de análisis de datos y aprendizaje automático para proporcionar información accionable que respalde la toma de decisiones estratégicas con principal foco en modelos de LTV y NLP orientados a estudiar comportamiento de usuarios y contenido. Personalizar el contenido: Utilizar técnicas de segmentación y personalización para ofrecer contenido y ofertas altamente relevantes a nuestros jugadores. Crear sistemas de recomendación inteligentes que mejoren la experiencia individual del usuario y fomenten la participación continua. Optimizar el rendimiento del juego: Desarrollar modelos predictivos y algoritmos que optimicen la experiencia del jugador y maximicen el valor del juego. Habilidades y conocimientos requeridos para este desafío: En etermax trabajamos sobre los pilares de la innovación y la mejora continua para proporcionar valor a un ritmo constante, sostenible e ininterrumpido. Nuestra cultura de excelencia potencia a las personas y su crecimiento profesional. ¿Qué valoramos? Dominio técnico y conocimientos tales como: SQL, Python, AWS y modelos predictivos. Valoraremos positivamente experiencia con Spark, conocimientos en NLP y maestrías relacionadas a Ciencias de Datos. Mindset orientado a ownership sobre objetivos y responsabilidad sobre entregables de alta calidad. Buenas herramientas humanas, y que el trabajo en equipo sea una condición excluyente. Ambición por descubrir y explorar nuevas formas de hacer las cosas, lo que incluiría desafiar el status quo de la tecnología en general. ¿Por qué trabajar con nosotros? Al sumarte encontrarás: oportunidades de crecimiento profesional respaldadas por un plan de carrera y procesos de revisión personalizados, junto a beneficios de bienestar personal y de salud. Visitá nuestro sitio web https://etermax.com/ o contactate con cualquiera de las +400 personas que hacemos etermax y conocé qué es #BeAGameChanger. Somos etermax, una compañía internacional de tecnología fundada en Argentina en 2009. Creamos aplicaciones que entretienen, conectan y agregan valor comercial alrededor de todo el mundo. Conectamos personas entre sí, a los usuarios con las marcas y a los negocios con el éxito a través de nuestras unidades de Gaming, Brand Gamification e AI Labs. Nuestro objetivo es encontrar soluciones a los desafíos humanos del presente y del futuro. Combinamos tecnología y creatividad, datos y experimentación, para abrir nuevos caminos. Nadie nos puede decir cómo, porque vamos adelante.",,,,
9,Data Scientist (Supply Chain Management) - Remote Job,Jornada completa,Argentina,https://ar.linkedin.com/jobs/view/data-scientist-supply-chain-management-remote-job-at-mondel%C4%93z-international-3654466036?refId=2sGVsPm1a0%2BIKKGbfxkgXw%3D%3D&trackingId=yA%2FAs9aJaByjhA5wh1NLkg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,"Job Description Are You Ready to Make It Happen at Mondelēz International? Join our Mission to Lead the Future of Snacking. Make It With Pride. You will be crucial in supporting our business by creating valuable, actionable insights about the data, and communicating your findings to the business. You will work with various stakeholders to determine how to use business data for business solutions/insights. How You Will Contribute You will: Analyze and derive value from data through the application methods such as mathematics, statistics, computer science, machine learning and data visualization. In this role you will also formulate hypotheses and test them using math, statistics, visualization and predictive modeling Understand business challenges, create valuable actionable insights about the data, and communicate your findings to the business. After that you will work with stakeholders to determine how to use business data for business solutions/insights Enable data-driven decision making by creating custom models or prototypes from trends or patterns discerned and by underscoring implications. Coordinate with other technical/functional teams to implement models and monitor results Apply mathematical, statistical, predictive modelling or machine-learning techniques and with sensitivity to the limitations of the techniques. Select, acquire and integrate data for analysis. Develop data hypotheses and methods, train and evaluate analytics models, share insights and findings and continues to iterate with additional data Develop processes, techniques, and tools to analyze and monitor model performance while ensuring data accuracy Evaluate the need for analytics, assess the problems to be solved and what internal or external data sources to use or acquire. Specify and apply appropriate mathematical, statistical, predictive modelling or machine-learning techniques to analyze data, generate insights, create value and support decision making Contribute to exploration and experimentation in data visualization and you will manage reviews of the benefits and value of analytics techniques and tools and recommend improvements What You Will Bring A desire to drive your future and accelerate your career and the following experience and knowledge: Strong quantitative skillset with experience in statistics and linear algebra. A natural inclination toward solving complex problems Knowledge/experience with statistical programming languages including R, Python, SQL, etc., to process data and gain insights from it Knowledge of machine learning techniques including decision-tree learning, clustering, artificial neural networks, etc., and their pros and cons Knowledge and experience in advanced statistical techniques and concepts including, regression, distribution properties, statistical testing, etc. Good communication skills to promote cross-team collaboration Multilingual coding knowledge/experience: Java, JavaScript, C, C++, etc. Experience/knowledge in statistics and data mining techniques including random forest, GLM/regression, social network analysis, text mining, etc. Ability to use data visualization tools to showcase data for stakeholders More About This Role What you need to know about this position: What extra ingredients you will bring: Education / Certifications: Job specific requirements: Travel requirements: Work schedule: No Relocation support available Business Unit Summary Mondelēz Brazil is Mondelēz International’s fourth largest operation in the world, with 10,000 employees at 17 sites proudly making, selling and distributing some of the most loved brands of gums, candies, powdered beverages, cream cheeses, chocolates, biscuits, and desserts in Brazil. We make snacking favorites like Bis, Lacta, Oreo, Club Social, Sonho de Valsa, Trakinas, Trident, Halls, Royal, Tang and many others. We truly are part of Brazilians’ lives: You can find our mouth-watering products in more than 700,000 locations in the country. Our plants are based in Vitoria de Santo Antão, in Pernambuco state, and Curitiba, in Paraná state. We will relaunch our tech center in 2020 so we can keep creating innovative choices, offering the right snack for the right moment, made the right way. Mondelēz International is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation or preference, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law. Job Type Regular Data Science Analytics & Data Science",,,,
