,Title,Jornada,Ciudad,URL,Descripcion,Compañia,Nº Empleados,Rubro,País
0,Remote Machine Learning Developer,Jornada completa,Bolivia,https://bo.linkedin.com/jobs/view/remote-machine-learning-developer-at-scopic-software-3649823729?refId=%2FBoFT66wpXourUHdRggclw%3D%3D&trackingId=4vgnwSfFZfxlKa%2B708x6Pw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"Are you on the hunt for exciting new challenges that boost your professional growth? If you’re an innovator by nature and a Machine Learning Developer by trade, we’d love to hear from you! Read on to see if you’d be a good fit for the Scopic team of 250+ professionals from over 40 countries. Requirements  3+ years of commercial web development.  Professional experience with DL Frameworks (e.g. TensorFlow, PyTorch)  DL Experience is needed (Ideally experience in a DL stream as the position entails working with Vision, Language, GNN, Speech etc.)  Mathematical fundamentals and algorithms skills or experience  Excellent programming (Python), debugging, and test design skills  Basic exposure to computer architecture, ideally accelerators and numerical software  Ability to work independently and manage individuals’ R\&D efforts  Good communication and documentation habits  Project Management tools knowledge  Excellent written and spoken English  Able to work remotely This is a full-time, home-based position. The Secret Ingredients That Make Us Special  Your growth is our growth. We invest in your future with paid training and other professional opportunities.  We’re industry innovators at the forefront of change. Equipped with the latest technologies and a team of knowledgeable colleagues by your side, you’ll embrace new and interesting challenges.  Your location. Your schedule — Pick your time zone, choose your preferred hours, and work from the place where you feel most at home.  Flexibility and freedom are in our DNA! As long as you have a stable internet connection and the drive to thrive, you can travel and work from anywhere you like.  A workload you can rely on. We’ll set you enough tasks to keep that mind busy! At Scopic, we’ll ensure you always have a consistent flow of engaging, challenging work to do.  Recognition and reward. We acknowledge diligence and hard work through annual pay increases for good performance. Down to business!  Your starting rate is negotiable depending on your skills and experience.  This is an hourly paid position.  Contractors are paid monthly via wire transfer. Our Values Scopic is an equal-opportunity employer. We value diversity and do not discriminate on the basis of race, religion, color, marital status, national origin, gender, veteran status, sexual orientation, age, or disability status. Have the skills, the drive, and the passion to join the Scopic family? Apply today to join our growing team of remote professionals from around the world. Please send your CV in English only.",,,,
1,Remote Machine Learning Developer,Jornada completa,Bolivia,https://bo.linkedin.com/jobs/view/remote-machine-learning-developer-at-scopic-software-3653122465?refId=%2FBoFT66wpXourUHdRggclw%3D%3D&trackingId=%2FF8oBCpS6Ivy9n6MlawFQQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"Are you on the hunt for exciting new challenges that boost your professional growth? If you’re an innovator by nature and a Machine Learning Developer by trade, we’d love to hear from you! Read on to see if you’d be a good fit for the Scopic team of 250+ professionals from over 40 countries. Requirements  3+ years of commercial web development.  Professional experience with DL Frameworks (e.g. TensorFlow, PyTorch)  DL Experience is needed (Ideally experience in a DL stream as the position entails working with Vision, Language, GNN, Speech etc.)  Mathematical fundamentals and algorithms skills or experience  Excellent programming (Python), debugging, and test design skills  Basic exposure to computer architecture, ideally accelerators and numerical software  Ability to work independently and manage individuals’ R\&D efforts  Good communication and documentation habits  Project Management tools knowledge  Excellent written and spoken English  Able to work remotely This is a full-time, home-based position. The Secret Ingredients That Make Us Special  Your growth is our growth. We invest in your future with paid training and other professional opportunities.  We’re industry innovators at the forefront of change. Equipped with the latest technologies and a team of knowledgeable colleagues by your side, you’ll embrace new and interesting challenges.  Your location. Your schedule — Pick your time zone, choose your preferred hours, and work from the place where you feel most at home.  Flexibility and freedom are in our DNA! As long as you have a stable internet connection and the drive to thrive, you can travel and work from anywhere you like.  A workload you can rely on. We’ll set you enough tasks to keep that mind busy! At Scopic, we’ll ensure you always have a consistent flow of engaging, challenging work to do.  Recognition and reward. We acknowledge diligence and hard work through annual pay increases for good performance. Down to business!  Your starting rate is negotiable depending on your skills and experience.  This is an hourly paid position.  Contractors are paid monthly via wire transfer. Our Values Scopic is an equal-opportunity employer. We value diversity and do not discriminate on the basis of race, religion, color, marital status, national origin, gender, veteran status, sexual orientation, age, or disability status. Have the skills, the drive, and the passion to join the Scopic family? Apply today to join our growing team of remote professionals from around the world. Please send your CV in English only.",,,,
2,Remote Machine Learning Developer,Jornada completa,Bolivia,https://bo.linkedin.com/jobs/view/remote-machine-learning-developer-at-scopic-software-3645414107?refId=%2FBoFT66wpXourUHdRggclw%3D%3D&trackingId=M6X14drslZ3gSgyKA8n2YQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"Are you on the hunt for exciting new challenges that boost your professional growth? If you’re an innovator by nature and a Machine Learning Developer by trade, we’d love to hear from you! Read on to see if you’d be a good fit for the Scopic team of 250+ professionals from over 40 countries. Requirements  3+ years of commercial web development.  Professional experience with DL Frameworks (e.g. TensorFlow, PyTorch)  DL Experience is needed (Ideally experience in a DL stream as the position entails working with Vision, Language, GNN, Speech etc.)  Mathematical fundamentals and algorithms skills or experience  Excellent programming (Python), debugging, and test design skills  Basic exposure to computer architecture, ideally accelerators and numerical software  Ability to work independently and manage individuals’ R\&D efforts  Good communication and documentation habits  Project Management tools knowledge  Excellent written and spoken English  Able to work remotely This is a full-time, home-based position. The Secret Ingredients That Make Us Special  Your growth is our growth. We invest in your future with paid training and other professional opportunities.  We’re industry innovators at the forefront of change. Equipped with the latest technologies and a team of knowledgeable colleagues by your side, you’ll embrace new and interesting challenges.  Your location. Your schedule — Pick your time zone, choose your preferred hours, and work from the place where you feel most at home.  Flexibility and freedom are in our DNA! As long as you have a stable internet connection and the drive to thrive, you can travel and work from anywhere you like.  A workload you can rely on. We’ll set you enough tasks to keep that mind busy! At Scopic, we’ll ensure you always have a consistent flow of engaging, challenging work to do.  Recognition and reward. We acknowledge diligence and hard work through annual pay increases for good performance. Down to business!  Your starting rate is negotiable depending on your skills and experience.  This is an hourly paid position.  Contractors are paid monthly via wire transfer. Our Values Scopic is an equal-opportunity employer. We value diversity and do not discriminate on the basis of race, religion, color, marital status, national origin, gender, veteran status, sexual orientation, age, or disability status. Have the skills, the drive, and the passion to join the Scopic family? Apply today to join our growing team of remote professionals from around the world. Please send your CV in English only.",,,,
3,Remote Machine Learning Developer,Jornada completa,Bolivia,https://bo.linkedin.com/jobs/view/remote-machine-learning-developer-at-scopic-software-3657511073?refId=%2FBoFT66wpXourUHdRggclw%3D%3D&trackingId=iIfXp5TxtYpPP6mkXeRO9w%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"Are you on the hunt for exciting new challenges that boost your professional growth? If you’re an innovator by nature and a Machine Learning Developer by trade, we’d love to hear from you! Read on to see if you’d be a good fit for the Scopic team of 250+ professionals from over 40 countries. The Skills And Traits We’re Looking For  3+ years of commercial web development.  Professional experience with DL Frameworks (e.g. TensorFlow, PyTorch)  DL Experience is needed (Ideally experience in a DL stream as the position entails working with Vision, Language, GNN, Speech etc.)  Mathematical fundamentals and algorithms skills or experience  Excellent programming (Python), debugging, and test design skills  Basic exposure to computer architecture, ideally accelerators and numerical software  Ability to work independently and manage individuals’ R\&D efforts  Good communication and documentation habits  Project Management tools knowledge  Excellent written and spoken English  Able to work remotely This is a full-time, home-based position. The Secret Ingredients That Make Us Special  Your growth is our growth. We invest in your future with paid training and other professional opportunities.  We’re industry innovators at the forefront of change. Equipped with the latest technologies and a team of knowledgeable colleagues by your side, you’ll embrace new and interesting challenges.  Your location. Your schedule — Pick your time-zone, choose your preferred hours, and work from the place where you feel most at home.  Flexibility and freedom are in our DNA! As long as you have a stable internet connection and the drive to thrive, you can travel and work from anywhere you like.  A workload you can rely on. We’ll set you enough tasks to keep that mind busy! At Scopic, we’ll ensure you always have a consistent flow of engaging, challenging work to do.  Recognition and reward. We acknowledge diligence and hard work through annual pay increases for good performance. Down to business!  Your starting rate is negotiable depending on your skills and experience.  This is an hourly paid position.  Contractors are paid monthly via wire transfer. Our Values Scopic is an equal opportunity employer. We value diversity and do not discriminate on the basis of race, religion, color, marital status, national origin, gender, veteran status, sexual orientation, age, or disability status. Have the skills, the drive, and the passion to join the Scopic family? Apply today to join our growing team of remote professionals from around the world. Learn more about career opportunities at Scopic: . scopicsoftware.com/careers",,,,
4,Python Developer,Jornada completa,Bolivia,https://bo.linkedin.com/jobs/view/python-developer-at-launchpad-technologies-inc-3650012339?refId=%2FBoFT66wpXourUHdRggclw%3D%3D&trackingId=Gy8fThPLi847MnQ%2Fl8NuUw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"Recognized as one of Canada’s fastest-growing companies, Launchpad provides next-generation integration platform capabilities for connecting and managing enterprise automation and data integration. Headquartered in Vancouver, Canada, our operations span both North and South Americas, with a second headquarter located in Santiago, Chile. In 2021, we were recognized as the winner of the BC Tech Associations Technology Impact Awards 'Company of The Year: Growth'. We recognize the global truth that today, every company is a tech company. To succeed, every company everywhere needs their data and workflows to be integrated and automated. That understanding gave us the confidence to compete with our sector's leading providers, win top-level contracts, and build a truly world-class list of clients that includes Walmart, GM, TIME Magazine, Salesforce, Tableau, Splunk, Bolt.com, Freedom House, and more. Our vision is to bring people and technology together to work seamlessly to achieve extraordinary business outcomes and create more efficient societies. If this sounds like something you want to be part of, we’d love to hear from you. Main Responsibilities: Build integrations for various data flows between SaaS-based applications and in-house engineering applications.  Analyze data made available by business applications, and work with the various application owners to advise and develop appropriate integrations to meet business goals.  Partner with cross-functional teams to understand use-cases and gather requirements to design, architect and build application integrations. Partner with vendors, MSPs, and engineering teams to ensure seamless end-end flow of quality data.  Assess the needs of product/engineering releases with respect to business objectives, security, data dependency, compliance, and timeliness of releases.  Follow and contribute to integration technology standards, frameworks, principles and roadmap, in partnership with Enterprise Architects and Solutions Architects.  Prioritize and manage demands across multiple projects and provide support to production applications.  Experience & Skills: 3+ years of experience in building enterprise integration applications and cloud-centric solutions across multiple functional areas.  3+ years of Python development experience. Strong understanding of object-oriented programming and software design patterns for building highly scalable applications.  Experience with common API development standards, patterns, and protocols; including REST, SOAP, RPC, AMQP, Pub/Sub, GraphQL, HTTP/S, SSL/TLS, SQL, NoSQL, OAuth, OIDC and SAML.  Experience with cloud computing platforms such as AWS or GCP. Strong understanding of infrastructure management using IaC tools such as Terraform, Chef, Puppet or CloudFormation.  Knowledge of common Python web development tools and frameworks such as Django or Flask.  Experience authoring documentation for technical design, architecture and production runbooks.  Hands-on experience with CI/CD, e2e testing, deployment methods, and source control technologies and standards.  Excellent problem-solving skills and cross-functional collaboration Experience working with Oracle modules (Procurement, Supply Chain, Maintenance) is a plus Why work for Launchpad? 100% remote People first culture Excellent compensation in US Dollars Hardware setup for working from home Work with global teams and prominent brands based in North America, Europe, and Asia Training allowances Personal time off (PTO) for vacations, study leave, personal time, etc.  ...and more! At Launchpad, we genuinely care about our people as individuals. If you are looking for a team that values growth, drive, and passion for your craft, if you’re seeking a place to achieve your goals and dreams with fairness and integrity, then you are the future of Launchpad. Launchpad is committed to fostering a diverse and representative workforce and an inclusive work environment where all employees are respected and treated equally. Are you ready to elevate your career at Launchpad? We want to hear your story! Contact us today.",,,,
5,Python Software Programmer - Work from Home,Jornada completa,"Cochabamba, Cochabamba, Bolivia",https://bo.linkedin.com/jobs/view/python-software-programmer-work-from-home-at-oowlish-3642711073?refId=%2FBoFT66wpXourUHdRggclw%3D%3D&trackingId=dMmISMhCIhK8HWbnKrbRGQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"Be part of our team! 🚀💼 Are you ready to launch your career into the tech stratosphere with one of LatAm's fastest-growing software development companies? 💪💻 At Oowlish, we're on the hunt for tech maestros to join our dynamic, cosmopolitan squad. As an 🦉Oowlish🦉 team member, you won’t just be part of a team, you’ll join an innovative, supportive family, partnering with top-tier clients from the USA and Europe 🌍 to kickstart their digital journey. And being part of a 🌟Great Place to Work🌟, it’s all about learning, growing, and making a global impact - together! Enjoy the flexibility of working in your PJs 🧦, with your furry friend 🐶 on your lap, relishing your freedom and maintaining a perfect work-family life balance ⚖️. Because we know that’s when you’re at your best. If you're a tech enthusiast 🕹️, fluent in English 🗣️, and thrilled about working remotely while making an international splash, then you're on the right page! We’re looking for an experienced Python Developer with hands-on experience in many technical facets of the Web Development field. Must Haves Wide knowledge in Python Experience using Django Experience integrating third-party APIs Be knowledgeable within SQL and NoSQL Databases Committed with the best development practices and used in design patterns Be a detail-oriented person Be comfortable speaking and writing in English Nice To Have Experience with AWS Products such as Lambda, EKS, ECR, Fargate, RDS, Aurora, API Gateway, Cognito; Containers: Docker and Kubernetes; API Design with OAS 3.0; Event Drive Architecture: Kafka. Benefits & Perks  Home office 🏠  Flexible Hours;🕜  Competitive compensation based on experience; 💵  Career plans to allow for extensive growth in the company;📈  International Projects;🌍  Oowlish English Program (Improving and Certifying)📚  Spanish Classes 📚  Oowlish fitness with Total Pass;🏋‍♀️  Oowlish Academy (Grants for Education);🎓  Build your Home Office (Grants for Computer & Equipment);💻  Connecting You (Internet allowance);📡  Anniversary bonus;💸  Wedding gift;👰‍♀️  Pet adoption incentive;🐕  New baby Owl bonus;👩‍🍼  Back to School bonus;✏️  Netflix Subscription;📽  Oowlish paradise – 4 days/year at a Resort with your family & pets;🏝  Vacation Bonus;🏖  Games and Competitions;🎮  Enjoy your national Holidays;🎊  Oowlet Store🛒 Come join us in breaking the mold and revolutionizing the tech landscape! 🌐 Remember, with Oowlish, you’re not just getting a job, you’re becoming part of a community 🌍 of innovative, talented, and inspiring individuals who respect each other and our furry friends 🐾. Why wait to make your mark on the tech world? Hit ‘Apply Now’ to embark on Oowlish's exciting journey, and let's turbocharge innovation together! 🚀🎉 You Can Also Apply Here Website: https://www.oowlish.com/work-with-us/ LinkedIn: https://www.linkedin.com/company/oowlish/jobs/ Instagram: https://www.instagram.com/oowlishtechnology/ #amazon #job #home #linkedin #career #online #employment #remote #work # international #clients in united states#clients in USA #vacant #hiring #opportunities #hire #application #apply #virtual #wfh #tech #best #english #online #offer #vacancy#desarrollador #desarrolladora #front end #programador #programadora #programmer #full stack #software engineer #desarrollo #system #developer #application #code #program #desenvolvedor #engineer #engenheiro #sql #sde #web #backend #empleo #trabajo #ofertas #emprego #vagas",,,,
6,Fullstack Python/React Developer,Jornada completa,"La Paz, La Paz, Bolivia",https://bo.linkedin.com/jobs/view/fullstack-python-react-developer-at-clevertech-3660011773?refId=%2FBoFT66wpXourUHdRggclw%3D%3D&trackingId=KjoZHHomnLSUD5NzhQFR%2Bw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"Experience Remote done Right.  Over 20 years of remote experience, all 500+ staff are 100% remote and we still grow vibrant relationships, provide exceptional opportunities for career growth while working with stellar clients on ambitious projects What we're working on: Enterprise companies turn to us to help them launch innovative digital products that interact with hundreds of millions of customers, transactions and data points. The problems we solve every day are real and require creativity, grit and determination. We are building a culture that challenges norms while fostering experimentation and personal growth. In order to grasp the scale of problems we face, ideally, you have some exposure to Logistics, FinTech, Transportation, Insurance, Media or other complex multifactor industries Requirements 7+ years experience in Python and React Senior-level experience with Javascript, React, Python, and Django Nice to have experience with AgGrid, Bulma, Sass, and React Testing Library Ability to create clean, modern, testable, well-documented code Ideally, you have delivered business-critical software to large enterprises Advanced-level English; ability to clearly communicate complex concepts verbally Straight from the Devs Watch short snippets of actual developers (Real, not scripted) share why they joined YouTube Playlist Why Clevertech is an amazing place to work at At Clevertech, you can expect that you will: Be 100% dedicated to one project at a time so that you can hone your skills, innovate and grow Be a part of a team of talented and friendly senior-level developers Work on projects that allow you to use cutting edge tech. We believe in constantly evolving your mastery The result? We produce meaningful work and we are truly proud and excited to be creating waves in an industry under transformation.",,,,
7,Fullstack Python/React Developer,Jornada completa,Bolivia,https://bo.linkedin.com/jobs/view/fullstack-python-react-developer-at-clevertech-3660014425?refId=%2FBoFT66wpXourUHdRggclw%3D%3D&trackingId=DSawZJKZ3y%2Bji9dUMoKl8A%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"Experience Remote done Right.  Over 20 years of remote experience, all 500+ staff are 100% remote and we still grow vibrant relationships, provide exceptional opportunities for career growth while working with stellar clients on ambitious projects What we're working on: Enterprise companies turn to us to help them launch innovative digital products that interact with hundreds of millions of customers, transactions and data points. The problems we solve every day are real and require creativity, grit and determination. We are building a culture that challenges norms while fostering experimentation and personal growth. In order to grasp the scale of problems we face, ideally, you have some exposure to Logistics, FinTech, Transportation, Insurance, Media or other complex multifactor industries Requirements 7+ years experience in Python and React Senior-level experience with Javascript, React, Python, and Django Nice to have experience with AgGrid, Bulma, Sass, and React Testing Library Ability to create clean, modern, testable, well-documented code Ideally, you have delivered business-critical software to large enterprises Advanced-level English; ability to clearly communicate complex concepts verbally Straight from the Devs Watch short snippets of actual developers (Real, not scripted) share why they joined YouTube Playlist Why Clevertech is an amazing place to work at At Clevertech, you can expect that you will: Be 100% dedicated to one project at a time so that you can hone your skills, innovate and grow Be a part of a team of talented and friendly senior-level developers Work on projects that allow you to use cutting edge tech. We believe in constantly evolving your mastery The result? We produce meaningful work and we are truly proud and excited to be creating waves in an industry under transformation.",,,,
8,Artificial Intelligence/Computer Vision Engineer - Remote - Latin America,Jornada completa,"Santa Cruz, Bolivia",https://bo.linkedin.com/jobs/view/artificial-intelligence-computer-vision-engineer-remote-latin-america-at-fullstack-labs-3623536276?refId=%2FBoFT66wpXourUHdRggclw%3D%3D&trackingId=2xzXYInemHEvgX651%2FMP4A%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"FullStack is the fastest-growing software consultancy in the Americas. We help organizations like Uber, GoDaddy, MGM, Siemens, Stanford University, and the State of California, build distributed software development teams, and deliver transformational digital solutions. As an employee-first company, we focus on hiring the most talented software designers and developers in the western hemisphere, by creating a positive, respectful, and supportive work environment where they can achieve their greatest potential. We’re most proud of: Offering life-changing career opportunities to talented software professionals across the Americas. Building highly-skilled software development teams for hundreds of the world’s greatest companies. Having delivered hundreds of successful custom software solutions, which have positively impacted the lives and careers of millions of users. Our 4.5-star rating on GlassDoor. Our client Net Promoter Score of 68, twice the industry average. The position: We're looking to hire one AI Engineer to join our team. You'll work with our incredible clients in one of two ways: Team Augmentation: You will integrate yourself directly into our client's team and work alongside their existing designers and engineers on a daily basis. Design & Build: You will work on a FullStack Labs product team to build and deliver a product to our clients. What we are looking for: 4+ years of experience as an Artificial Intelligence Engineer. Experience working with Python, Ubuntu, Computer Vision and AWS. Experience working on large, complex systems. Experience working on Agile / Scrum teams. A four-year college degree is required. Advanced English is required. Ability to take extreme ownership over your work. Every day is a challenge to ensure you are performing to the expectations you and your team have agreed upon. Ability to identify with the goals of FullStack's clients, and dedicate yourself to delivering on the commitments you and your team make to them. An understanding of best practices and a commitment to following them. Ability to work through new and difficult issues and contribute to libraries as needed. A positive mindset and can-do attitude. Forensic attention to detail. Benefits:  Competitive pay in your local currency 100% remote work The ability to work with leading startups and Fortune 500 companies English Classes Virtual company events each month Ample opportunity for career advancement Continuing education opportunities Depending on your location other benefits may apply FullStack is proud to be an equal opportunity workplace. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity, or Veteran status. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form, which can be provided upon request during our hiring and interview process. Learn more about our Applicants Privacy Notice .",,,,
9,Artificial Intelligence/Computer Vision Engineer - Remote - Latin America,Jornada completa,Bolivia,https://bo.linkedin.com/jobs/view/artificial-intelligence-computer-vision-engineer-remote-latin-america-at-fullstack-labs-3623537191?refId=%2FBoFT66wpXourUHdRggclw%3D%3D&trackingId=TFFr%2Ffg7KRsAsS3Y8PZ76A%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"FullStack is the fastest-growing software consultancy in the Americas. We help organizations like Uber, GoDaddy, MGM, Siemens, Stanford University, and the State of California, build distributed software development teams, and deliver transformational digital solutions. As an employee-first company, we focus on hiring the most talented software designers and developers in the western hemisphere, by creating a positive, respectful, and supportive work environment where they can achieve their greatest potential. We’re most proud of: Offering life-changing career opportunities to talented software professionals across the Americas. Building highly-skilled software development teams for hundreds of the world’s greatest companies. Having delivered hundreds of successful custom software solutions, which have positively impacted the lives and careers of millions of users. Our 4.5-star rating on GlassDoor. Our client Net Promoter Score of 68, twice the industry average. The position: We're looking to hire one AI Engineer to join our team. You'll work with our incredible clients in one of two ways: Team Augmentation: You will integrate yourself directly into our client's team and work alongside their existing designers and engineers on a daily basis. Design & Build: You will work on a FullStack Labs product team to build and deliver a product to our clients. What we are looking for: 4+ years of experience as an Artificial Intelligence Engineer. Experience working with Python, Ubuntu, Computer Vision and AWS. Experience working on large, complex systems. Experience working on Agile / Scrum teams. A four-year college degree is required. Advanced English is required. Ability to take extreme ownership over your work. Every day is a challenge to ensure you are performing to the expectations you and your team have agreed upon. Ability to identify with the goals of FullStack's clients, and dedicate yourself to delivering on the commitments you and your team make to them. An understanding of best practices and a commitment to following them. Ability to work through new and difficult issues and contribute to libraries as needed. A positive mindset and can-do attitude. Forensic attention to detail. Benefits:  Competitive pay in your local currency 100% remote work The ability to work with leading startups and Fortune 500 companies English Classes Virtual company events each month Ample opportunity for career advancement Continuing education opportunities Depending on your location other benefits may apply FullStack is proud to be an equal opportunity workplace. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity, or Veteran status. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form, which can be provided upon request during our hiring and interview process. Learn more about our Applicants Privacy Notice .",,,,
