,Title,Jornada,Ciudad,URL,Descripcion,Compañia,Nº Empleados,Rubro,País
0,AI/ML Data Scientist (part time or full time) - Freelance [Remote],Media jornada,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/ai-ml-data-scientist-part-time-or-full-time-freelance-remote-at-braintrust-3656424157?refId=hmBsUwoG3rZ8%2BtNKRgOyJQ%3D%3D&trackingId=kx7rwuRC25VCedALdRSsmA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"ABOUT US : Braintrust is a user-owned talent network that connects you with great jobs with no fees or membership costs—so you keep 100% of what you earn. ABOUT THE HIRING PROCESS: When you join Braintrust, you will be invited to a screening process for Braintrust to learn more about your previous work experiences. Once completed, you will have access to the employer for this role and other top companies that seek high-quality talent. Apply to this job to kick off the process. JOB TYPE: Freelance, Contract Position (no agencies/C2C - see notes below) LOCATION: Remote - Work from anywhere  HOURLY RANGE: Our client is looking to pay $100 – $150/hr  ESTIMATED DURATION: 40h/week - Short term BRAINTRUST JOB ID: 6959  THE OPPORTUNITY Requirements  Expertise in Python   VBA/Excel   Experience w APIs   Developing AI environment   ML applications    What you’ll be working on Assist CIO in creating a tech process for backtesting and future production of a multi-asset, multi-parameter macro algorithmic model. This model already exists in Excel environment. The job will be to migrate/upgrade to Python Scikit-learn and use any existing other AI/ML platforms (for example abacus.ai) to establish a robust testing and production environment.  First deliverables:  Establish the new working environment   Convert Excel relationships and data to Python and establish the ability to use data and formulas to more robustly test statistical relationships and correlations.   Create a robust production environment that will run a daily process to download data, and run the model to identify profitable trades.  Apply Now! C2C Candidates: This role is not available to C2C candidates working with an agency. If you are a professional contractor who has created an LLC/corp around their consulting practice, this is well aligned with Braintrust and we’d welcome your application. Braintrust values the multitude of talents and perspectives that a diverse workforce brings. All qualified applicants will receive consideration for employment without regard to race, national origin, religion, age, color, sex, sexual orientation, gender identity, disability, or protected veteran status.",,,,
1,Machine Learning,Jornada completa,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/machine-learning-at-michael-page-3611160890?refId=hmBsUwoG3rZ8%2BtNKRgOyJQ%3D%3D&trackingId=xda4NNLuaMV1ePXZGbgKNw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"IT|IT About Our Client Nuestro cliente es un importante empresa de retail Job Description Profesional senior en implementación de aplicaciones de machine learning y análisis de grandes volúmenes de datos. Capaz de crear ambientes de desarrollo, staging y producción mediante código e integración con procesos CI / CD para automatizar la promoción de ambientes. Implementación y escalamiento de modelos de inteligencia artificial para solucionar problemas complejos y de gran escala. Levantamiento de endpoints y APIs para integrar las predicciones y resultados de los modelos de machine learning a los productos digitales que los consumen. Uso de herramientas de orquestación de procesos y contenedores. Debe trabajar de forma conjunta y coordinada con equipos de data engineers y data scientists. The Successful Applicant Proficiencia utilizando Python, aplicando buenas prácticas de desarrollo de software. Diseño y ejecución de tests para asegurar la calidad del código, su funcionalidad e integración con otras tecnologías y ambientes. Proficiencia en lenguajes y tecnologías utilizadas para el manejo y análisis de grandes volúmenes de datos (SQL, Spark, Hive, Hadoop, etc.). Diseño e implementación de infraestructura cloud para modelos de machine learning (idealmente GCP). Conocimientos de ciencia de datos, que permitan monitorear el desempeño de soluciones basadas en modelos estadísticos y de machine learning. Proficiencia en el uso de herramientas como GIT y Docker. Conocimientos de MLOps. What's on Offer Contrato indefinido Seguro complementario de salud Seguimiento a tus necesidades profesionales junto a nuestro equipo APMO LATAM Proyectos indefinidos Renta mercado Contact: Bladimir Rojas Quote job ref: JN-042023-6032610",,,,
2,Data Scientist- Remoto,Jornada completa,Área metropolitana de Santiago,https://cl.linkedin.com/jobs/view/data-scientist-remoto-at-michael-page-3577797869?refId=hmBsUwoG3rZ8%2BtNKRgOyJQ%3D%3D&trackingId=xsB0AFVKKGScTfqNgCo%2FfA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"Te integraras a potente area tecnologica de empresa internacional|te integraras a un equipo multidisciplinario About Our Client improtante cliente de retail internacional, busca potenciar su area de datos Job Description Perfil requerido:  Poseer al menos 3 años de experiencia como Data Scientist  Python, SQL, No SQL, programación  Experiencia con GCP, AWS o alguna cloud.  Power BI, Tableau, streamlit o herramientas afines de visualización.  Herramientas de versionamiento (GIT)  Métodos numéricos de optimización (programación lineal, programación entera, programación cuadrática, etc.)  Métodos estadísticos avanzados y mejores prácticas técnicas de modelado avanzadas (modelos gráficos, inferencia bayesiana, nivel básico de PNL, Visión, redes neuronales, SVM). The Successful Applicant Foco del perfil:  Realizar análisis predictivos y/o prescriptivos a través del modelamiento de información de diferentes bases de datos, utilizando métodos matemáticos, estadísticos y/o técnicas de ciencias de datos, optimizando el flujo de datos por medio de la creación de arquitecturas, modelos y prototipos de minería de datos, informes y metodologías de análisis basados en la Investigación y aplicación de conocimientos existentes y emergentes, teorías, técnicas y principios, velando siempre por la seguridad de la información, proporcionando recomendaciones de negocio a las partes interesadas, dando soluciones a problemas de diversos niveles de complejidad, siempre siguiendo los lineamientos, normativas y objetivos. What's On Offer Ofrecemos:  Renta mercado  Seguro complementario de salud  Bono Septiembre  Trabajo Remoto  Contrato indefinido  Seguimiento completo a tus necesidades profesionales junto a nuestro equipo APMO LATAM Contact: Sergio Hernandez Quote job ref: JN-042023-6024004",,,,
3,Senior Data Scientist,Jornada completa,"Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/senior-data-scientist-at-boston-consulting-group-bcg-3642769685?refId=hmBsUwoG3rZ8%2BtNKRgOyJQ%3D%3D&trackingId=oOx%2Fg%2Fwyjg6hD7WpGkrH1w%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"FIRM PROFILE Since its inception in 1963, BCG has been at the forefront of business management. We take pride in seeing our ideas successfully implemented. Many of our deepest client relationships have been with companies that transformed their industries. This tradition of transforming businesses and industries continues to motivate us today. BCG X   BCG X is the tech build & design unit of BCG. Turbocharging BCG’s deep industry and functional expertise, BCG X brings together advanced tech knowledge and ambitious entrepreneurship to help organizations enable innovation at scale. With nearly 3,000 technologists, scientists, programmers, engineers, and human-centered designers located across 80+ cities, BCG X builds and designs platforms and software to address the world’s most important challenges and opportunities. Teaming across our practices, and in close collaboration with our clients, our end-to-end global team unlocks new possibilities. Together we’re creating the bold and disruptive products, services, and businesses of tomorrow. POSITION PROFILE We’re looking for a passionate and talented Senior Data Scientist to join our rapidly growing team. In this role, you’ll have the chance to roll up your sleeves and apply data science methods and analytics to real-world business situations across a variety of industries. Successful candidates are intellectually curious builders who are biased toward action, scrappy, and communicative. You will also get the chance to travel: we have clients in New York, Paris, Stockholm, Tokyo… Make sure your passport is ready to go! WHO YOU ARE. YOU · Are able to lead problem solving process. · Are comfortable in a client-facing role with the ambition to lead teams. · Can distil complex results or processes into simple, clear visualizations. · Can explain sophisticated data science concepts in an understandable manner. · Love building things and are comfortable working with modern development tools and writing code collaboratively (bonus points if you have a software development or DevOps experience). · Are comfortable managing engagements, client relationships, and acting as a “thought Leader.” Strong presence, strong collaborator, leadership skills and ability to operate effectively in a matrix. · Have significant experience applying advanced analytics to a variety of business situations and a proven ability to synthesize complex data; as well as a deep understanding of modern machine learning techniques and their mathematical underpinnings, and can translate this into business implications for our clients. · Have strong project management skills. · Love problem-solving and are intellectually curious across a breadth of industries and topics.   JOB REQUIREMENTS · PhD or a Master’s Degree with at least 4 years of relevant experience is desired. The degree should be in engineering, computer science, applied mathematics, statistics, economics, machine learning, or a related data centric field · Strong record of extracurricular activity, professional accomplishment, and leadership. · Demonstrated deep technical and data science expertise, acute strategic and analytical problem-solving skills · Ability to independently manage your own workstream in a project-based environment. · Additional experience in core analytic methods such as predictive modelling, customer segmentation/clustering, network analysis, supply chain optimization, etc. · Fluency in at least one scripting language (e.g. Python preferred) · Fluency in English and Spanish is required WORK ENVIRONMENT · Fast-paced, intellectually intense, service-oriented environment · Position is located in Santiago, Chile · Expect up to 40-80% of time spent traveling *Please send CVs in English*",,,,
4,Digital Data Scientist - Las Condes,Jornada completa,"Las Condes, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/digital-data-scientist-las-condes-at-grupo-progestion-3582175015?refId=hmBsUwoG3rZ8%2BtNKRgOyJQ%3D%3D&trackingId=xRZGMz7U89aiOCQx8tI1hg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"Importante empresa posicionada a nivel mundial en el rubro del consumo masivo está en búsqueda de un Digital Data Scientist que será responsable de construir la estrategia de datos y roadmap de productos analíticos en conjunto con los stakeholders internos a partir de las necesidades del negocio. Además, deberá realizar el benchmarking de soluciones aplicadas en mercados más avanzados, y la creación de modelos y algoritmos para ser aplicados a los datasets con el fin de mejorar la experiencia de clientes y competitividad de negocio, asegurando que éstos sean accionables y confiables. Requisitos  Desde 4 años de experiencia en el uso de herramientas avanzadas para el modelamiento y análisis de grandes volúmenes de datos.  Conocimientos avanzados de estadística y modelamiento predictivo  Conocimientos avanzados de lenguaje de programación (Python, R)  Conocimientos avanzados de SQL y NoSQL  Experiencia con proyectos de machine learning, AI (Deep learning, neural networks, random forest, etc), análisis de data no estructurada (topic modelling, etc) y modelamiento con herramientas de geolocalización  Capacidad para resolver una necesidad analítica del negocio mediante una solución accionable en tiempo y forma  Experiencia en la industria de alimentos, consumo masivo o retail con foco en áreas de ventas. Preferentemente conocedor de las dinámicas en el mercado y su diferentes categorías. Requisitos Deseables  Conocimiento en marketing análisis digital, análisis de ventas digitales o análisis de clientes en la industria de bienes de consumo.  Inglés avanzado Jornada laboral de lunes a viernes modalidad presencial",,,,
5,Digital Data Scientist - Las Condes,Jornada completa,"Las Condes, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/digital-data-scientist-las-condes-at-grupo-progestion-3582170606?refId=hmBsUwoG3rZ8%2BtNKRgOyJQ%3D%3D&trackingId=5u60FlFASmPSt1HpjH2tCA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"Importante empresa posicionada a nivel mundial en el rubro del consumo masivo está en búsqueda de un Digital Data Scientist que será responsable de construir la estrategia de datos y roadmap de productos analíticos en conjunto con los stakeholders internos a partir de las necesidades del negocio. Además, deberá realizar el benchmarking de soluciones aplicadas en mercados más avanzados, y la creación de modelos y algoritmos para ser aplicados a los datasets con el fin de mejorar la experiencia de clientes y competitividad de negocio, asegurando que éstos sean accionables y confiables. Requisitos  Desde 4 años de experiencia en el uso de herramientas avanzadas para el modelamiento y análisis de grandes volúmenes de datos.  Conocimientos avanzados de estadística y modelamiento predictivo  Conocimientos avanzados de lenguaje de programación (Python, R)  Conocimientos avanzados de SQL y NoSQL  Experiencia con proyectos de machine learning, AI (Deep learning, neural networks, random forest, etc), análisis de data no estructurada (topic modelling, etc) y modelamiento con herramientas de geolocalización  Capacidad para resolver una necesidad analítica del negocio mediante una solución accionable en tiempo y forma  Experiencia en la industria de alimentos, consumo masivo o retail con foco en áreas de ventas. Preferentemente conocedor de las dinámicas en el mercado y su diferentes categorías. Requisitos Deseables  Conocimiento en marketing análisis digital, análisis de ventas digitales o análisis de clientes en la industria de bienes de consumo.  Inglés avanzado Jornada laboral de lunes a viernes modalidad presencial",,,,
6,Data Scientist - USIS,Jornada completa,"Las Condes, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/data-scientist-usis-at-equifax-3650271055?refId=hmBsUwoG3rZ8%2BtNKRgOyJQ%3D%3D&trackingId=lm6FoRaYcUT4V6moDHBK9w%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"Equifax es donde puedes impulsar tus posibilidades. Si deseas alcanzar tu verdadero potencial, trazar nuevos caminos, desarrollar nuevas habilidades, colaborar con mentes brillantes y tener un impacto significativo, ¡queremos saber de ti! Equifax busca un Data Scientist con experiencia, quien va a ser responsable de apoyar en la resolución de requerimientos del equipo de Machine Learning de Identidad y Fraude de Estados Unidos. Desarrollará atributos, modelos de aprendizaje supervisado y no supervisado, optimización, automatización e implementación de soluciones analíticas. Trabajará en conjunto con un equipo experto y multidisciplinario de Data Scientists, con el objetivo común de investigar y compartir las mejores prácticas y últimas tecnologías del mercado.    ¿Qué vas a hacer?     Desarrollar soluciones para detección de distintos tipos de fraude, e integrarlas con los distintos servicios que ofrece Equifax.   Trabajar con diferentes unidades de negocio tales como Consultoría, Modelling y Analytics, Productos y clientes externos para el relevamiento, desarrollo y presentación de soluciones analíticas e insights.   Analizar y manipular grandes conjuntos de datos estructurados y no estructurados de distintas fuentes.   Transformar requerimientos del negocio en soluciones a través del pre-procesamiento de datos y desarrollo de algoritmos de aprendizaje supervisado y no supervisado.   Investigar técnicas innovadoras de Machine Learning para convertirlas en soluciones, y compartir dichos conocimientos con el equipo de trabajo para mantener los desarrollos internos alineados con las últimas tecnologías y mejores prácticas.   Trabajar en conjunto con equipos de tecnología e implementación de modelos para asegurar la calidad de los desarrollos end-to-end y entregables analíticos.       ¿Qué experiencia necesitas?     Título académico en Ingeniería Informática, Matemáticas, Estadísticas, o carreras afines.   2+ años trabajando como Data Scientist o en un rol similar.   Programación avanzada en Python y SQL.   Inglés avanzado.   2+ años desarrollando modelos de aprendizaje supervisado y no supervisado.   Manejo de herramientas Cloud como GCP o AWS (no excluyente).     ¿Qué podría diferenciarte?     Experiencia en programación en PySpark.   Experiencia en el manejo de herramientas de Data Engineering, tales como Apache Airflow.   Experiencia usando comandos de UNIX.   Excelente habilidad de comunicación y experiencia haciendo presentaciones internas/externas.  Ofrecemos paquetes integrales de compensación y atención médica, tiempo libre pagado y potencial de crecimiento organizacional a través de nuestra plataforma de aprendizaje en línea, con carreras profesionales guiadas. ¿Estás buscando impulsar tus posibilidades? ¡Postula hoy y comienza un camino hacia una nueva y emocionante carrera en Equifax, donde puedes hacer la diferencia! Equifax es un empleador que ofrece igualdad de oportunidades. Todos los aplicantes calificados recibirán consideración para el empleo sin distinción de raza, color, religión, sexo, orientación sexual, identidad de género, nacionalidad, discapacidad o condición de veterano protegido.",,,,
7,Data Scientist,Jornada completa,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/data-scientist-at-pma-design-3613678502?refId=hmBsUwoG3rZ8%2BtNKRgOyJQ%3D%3D&trackingId=YJlDqIQ%2FTN9rFJfvRP5IIw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"We are looking for a Data Science. Our website offers companies advanced tools for the management of selection processes and provides professionals with access to new employment opportunities, with more than 100 million visits per month and more than 1000 million page views. Your Main Responsibilities  Extraction y selection of different features, building and optimizing classifiers using machine learning  Enhancing data pipelines  Processing, cleansing and verifying data integrity used for the analysis processes  Creating automated ml-systems and constant performance tracking You Will Bring  University degree in Mathematics, Computer science, Physics or similar  Strong experience in machine learning (SVM, KNN, Naive Bayes, Random Forests...)  Experience with frameworks like MatplotLib, Scikit, Pandas, TensorFlow, Keras (Python Stack)  Proficiency in using query languages such as SQL  Knowledge of Natural Language Processing  Good applied statistics skills, such as distributions, statistical testing...  Proficiency in Python Desirable But Not Mandatory Skills  Knowledge on Big Data tools (Hadoop, Hive, NoSQL, Spark...)  Familiarity with Linux or other Unix-based operating systems. Soft Skills  Team worker; ability to work with teams  Proactive, motivated and willing to consolidate and develop a professional career  Analytical, logical and critical thinking. Solid problem-solving skills: ability to identify problems and suggest mitigating and contingency actions  Expert ability to work independently and manage one's time  Ability to deal with ambiguous situations  Committed and positive.  Advisory skills",,,,
8,Data Scientist,Jornada completa,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/data-scientist-at-pma-design-3613677618?refId=hmBsUwoG3rZ8%2BtNKRgOyJQ%3D%3D&trackingId=cgQDWn1ueYLbzSM4bVW6gw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"We are looking for a Data Science. Our website offers companies advanced tools for the management of selection processes and provides professionals with access to new employment opportunities, with more than 100 million visits per month and more than 1000 million page views. Your Main Responsibilities  Extraction y selection of different features, building and optimizing classifiers using machine learning  Enhancing data pipelines  Processing, cleansing and verifying data integrity used for the analysis processes  Creating automated ml-systems and constant performance tracking You Will Bring  University degree in Mathematics, Computer science, Physics or similar  Strong experience in machine learning (SVM, KNN, Naive Bayes, Random Forests...)  Experience with frameworks like MatplotLib, Scikit, Pandas, TensorFlow, Keras (Python Stack)  Proficiency in using query languages such as SQL  Knowledge of Natural Language Processing  Good applied statistics skills, such as distributions, statistical testing...  Proficiency in Python Desirable But Not Mandatory Skills  Knowledge on Big Data tools (Hadoop, Hive, NoSQL, Spark...)  Familiarity with Linux or other Unix-based operating systems. Soft Skills  Team worker; ability to work with teams  Proactive, motivated and willing to consolidate and develop a professional career  Analytical, logical and critical thinking. Solid problem-solving skills: ability to identify problems and suggest mitigating and contingency actions  Expert ability to work independently and manage one's time  Ability to deal with ambiguous situations  Committed and positive.  Advisory skills",,,,
9,Senior Data Scientist,Jornada completa,"Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/senior-data-scientist-at-bcg-x-3642768829?refId=hmBsUwoG3rZ8%2BtNKRgOyJQ%3D%3D&trackingId=3pIv%2BtVzoc%2Fiq6tvoYS5dg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"FIRM PROFILE Since its inception in 1963, BCG has been at the forefront of business management. We take pride in seeing our ideas successfully implemented. Many of our deepest client relationships have been with companies that transformed their industries. This tradition of transforming businesses and industries continues to motivate us today. BCG X   BCG X is the tech build & design unit of BCG. Turbocharging BCG’s deep industry and functional expertise, BCG X brings together advanced tech knowledge and ambitious entrepreneurship to help organizations enable innovation at scale. With nearly 3,000 technologists, scientists, programmers, engineers, and human-centered designers located across 80+ cities, BCG X builds and designs platforms and software to address the world’s most important challenges and opportunities. Teaming across our practices, and in close collaboration with our clients, our end-to-end global team unlocks new possibilities. Together we’re creating the bold and disruptive products, services, and businesses of tomorrow. POSITION PROFILE We’re looking for a passionate and talented Senior Data Scientist to join our rapidly growing team. In this role, you’ll have the chance to roll up your sleeves and apply data science methods and analytics to real-world business situations across a variety of industries. Successful candidates are intellectually curious builders who are biased toward action, scrappy, and communicative. You will also get the chance to travel: we have clients in New York, Paris, Stockholm, Tokyo… Make sure your passport is ready to go! WHO YOU ARE. YOU · Are able to lead problem solving process. · Are comfortable in a client-facing role with the ambition to lead teams. · Can distil complex results or processes into simple, clear visualizations. · Can explain sophisticated data science concepts in an understandable manner. · Love building things and are comfortable working with modern development tools and writing code collaboratively (bonus points if you have a software development or DevOps experience). · Are comfortable managing engagements, client relationships, and acting as a “thought Leader.” Strong presence, strong collaborator, leadership skills and ability to operate effectively in a matrix. · Have significant experience applying advanced analytics to a variety of business situations and a proven ability to synthesize complex data; as well as a deep understanding of modern machine learning techniques and their mathematical underpinnings, and can translate this into business implications for our clients. · Have strong project management skills. · Love problem-solving and are intellectually curious across a breadth of industries and topics.   JOB REQUIREMENTS · PhD or a Master’s Degree with at least 4 years of relevant experience is desired. The degree should be in engineering, computer science, applied mathematics, statistics, economics, machine learning, or a related data centric field · Strong record of extracurricular activity, professional accomplishment, and leadership. · Demonstrated deep technical and data science expertise, acute strategic and analytical problem-solving skills · Ability to independently manage your own workstream in a project-based environment. · Additional experience in core analytic methods such as predictive modelling, customer segmentation/clustering, network analysis, supply chain optimization, etc. · Fluency in at least one scripting language (e.g. Python preferred) · Fluency in English and Spanish is required WORK ENVIRONMENT · Fast-paced, intellectually intense, service-oriented environment · Position is located in Santiago, Chile · Expect up to 40-80% of time spent traveling *Please send CVs in English*",,,,
