,Title,Jornada,Ciudad,URL,Descripcion,Compañia,Nº Empleados,Rubro,País
0,Data Scientist - San Pedro,Jornada completa,"San Pedro, San José, Costa Rica",https://cr.linkedin.com/jobs/view/data-scientist-san-pedro-at-instacredit-3656987924?refId=Z8k5p553qMYfXBn5%2BYjbVQ%3D%3D&trackingId=42sIoiZ4BQAPhuOv%2ByVIUw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"Responsable de definir, planificar, desarrollar, probar e implementar modelos de Machine Learning en AWS. Requisitos Bachiller en Ingeniería de Ciencia de Datos, Ingeniería en Informática o Matemática Conocimiento indispensable en Python, R, SQL, NoSQL Conocimiento Técnico de Algoritmos de Machine Learning Dominio del ciclo de vida completo del Machine Learning Conocimiento deseable de Big Data, Sagemaker, AWS, buenas practicas en desarrollo de Software Experiencia de 3 años en posiciones similares",,,,
1,Remote Machine Learning Developer,Jornada completa,Costa Rica,https://cr.linkedin.com/jobs/view/remote-machine-learning-developer-at-scopic-software-3654974826?refId=Z8k5p553qMYfXBn5%2BYjbVQ%3D%3D&trackingId=Ek1htwV%2Bpk4%2FYmztcUaFPA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"Are you on the hunt for exciting new challenges that boost your professional growth? If you’re an innovator by nature and a Machine Learning Developer by trade, we’d love to hear from you! Read on to see if you’d be a good fit for the Scopic team of 250+ professionals from over 40 countries. Requirements  3+ years of commercial web development.  Professional experience with DL Frameworks (e.g. TensorFlow, PyTorch)  DL Experience is needed (Ideally experience in a DL stream as the position entails working with Vision, Language, GNN, Speech etc.)  Mathematical fundamentals and algorithms skills or experience  Excellent programming (Python), debugging, and test design skills  Basic exposure to computer architecture, ideally accelerators and numerical software  Ability to work independently and manage individuals’ R\&D efforts  Good communication and documentation habits  Project Management tools knowledge  Excellent written and spoken English  Able to work remotely This is a full-time, home-based position. The Secret Ingredients That Make Us Special  Your growth is our growth. We invest in your future with paid training and other professional opportunities.  We’re industry innovators at the forefront of change. Equipped with the latest technologies and a team of knowledgeable colleagues by your side, you’ll embrace new and interesting challenges.  Your location. Your schedule — Pick your time zone, choose your preferred hours, and work from the place where you feel most at home.  Flexibility and freedom are in our DNA! As long as you have a stable internet connection and the drive to thrive, you can travel and work from anywhere you like.  A workload you can rely on. We’ll set you enough tasks to keep that mind busy! At Scopic, we’ll ensure you always have a consistent flow of engaging, challenging work to do.  Recognition and reward. We acknowledge diligence and hard work through annual pay increases for good performance. Down to business!  Your starting rate is negotiable depending on your skills and experience.  This is an hourly paid position.  Contractors are paid monthly via wire transfer. Our Values Scopic is an equal-opportunity employer. We value diversity and do not discriminate on the basis of race, religion, color, marital status, national origin, gender, veteran status, sexual orientation, age, or disability status. Have the skills, the drive, and the passion to join the Scopic family? Apply today to join our growing team of remote professionals from around the world. Please send your CV in English only.",,,,
2,Remote Machine Learning Developer,Jornada completa,Costa Rica,https://cr.linkedin.com/jobs/view/remote-machine-learning-developer-at-scopic-software-3658891474?refId=Z8k5p553qMYfXBn5%2BYjbVQ%3D%3D&trackingId=5zUeoiPm35de6XCOp%2FWS0w%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"Are you on the hunt for exciting new challenges that boost your professional growth? If you’re an innovator by nature and a Machine Learning Developer by trade, we’d love to hear from you! Read on to see if you’d be a good fit for the Scopic team of 250+ professionals from over 40 countries. The Skills And Traits We’re Looking For  3+ years of commercial web development.  Professional experience with DL Frameworks (e.g. TensorFlow, PyTorch)  DL Experience is needed (Ideally experience in a DL stream as the position entails working with Vision, Language, GNN, Speech etc.)  Mathematical fundamentals and algorithms skills or experience  Excellent programming (Python), debugging, and test design skills  Basic exposure to computer architecture, ideally accelerators and numerical software  Ability to work independently and manage individuals’ R\&D efforts  Good communication and documentation habits  Project Management tools knowledge  Excellent written and spoken English  Able to work remotely This is a full-time, home-based position. The Secret Ingredients That Make Us Special  Your growth is our growth. We invest in your future with paid training and other professional opportunities.  We’re industry innovators at the forefront of change. Equipped with the latest technologies and a team of knowledgeable colleagues by your side, you’ll embrace new and interesting challenges.  Your location. Your schedule — Pick your time-zone, choose your preferred hours, and work from the place where you feel most at home.  Flexibility and freedom are in our DNA! As long as you have a stable internet connection and the drive to thrive, you can travel and work from anywhere you like.  A workload you can rely on. We’ll set you enough tasks to keep that mind busy! At Scopic, we’ll ensure you always have a consistent flow of engaging, challenging work to do.  Recognition and reward. We acknowledge diligence and hard work through annual pay increases for good performance. Down to business!  Your starting rate is negotiable depending on your skills and experience.  This is an hourly paid position.  Contractors are paid monthly via wire transfer. Our Values Scopic is an equal opportunity employer. We value diversity and do not discriminate on the basis of race, religion, color, marital status, national origin, gender, veteran status, sexual orientation, age, or disability status. Have the skills, the drive, and the passion to join the Scopic family? Apply today to join our growing team of remote professionals from around the world. Learn more about career opportunities at Scopic: . scopicsoftware.com/careers",,,,
3,Remote Machine Learning Developer,Jornada completa,Costa Rica,https://cr.linkedin.com/jobs/view/remote-machine-learning-developer-at-scopic-software-3658507499?refId=Z8k5p553qMYfXBn5%2BYjbVQ%3D%3D&trackingId=6abkxoFoizOGKNXstTPCjw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"Are you on the hunt for exciting new challenges that boost your professional growth? If you’re an innovator by nature and a Machine Learning Developer by trade, we’d love to hear from you! Read on to see if you’d be a good fit for the Scopic team of 250+ professionals from over 40 countries. Requirements  3+ years of commercial web development.  Professional experience with DL Frameworks (e.g. TensorFlow, PyTorch)  DL Experience is needed (Ideally experience in a DL stream as the position entails working with Vision, Language, GNN, Speech etc.)  Mathematical fundamentals and algorithms skills or experience  Excellent programming (Python), debugging, and test design skills  Basic exposure to computer architecture, ideally accelerators and numerical software  Ability to work independently and manage individuals’ R\&D efforts  Good communication and documentation habits  Project Management tools knowledge  Excellent written and spoken English  Able to work remotely This is a full-time, home-based position. The Secret Ingredients That Make Us Special  Your growth is our growth. We invest in your future with paid training and other professional opportunities.  We’re industry innovators at the forefront of change. Equipped with the latest technologies and a team of knowledgeable colleagues by your side, you’ll embrace new and interesting challenges.  Your location. Your schedule — Pick your time zone, choose your preferred hours, and work from the place where you feel most at home.  Flexibility and freedom are in our DNA! As long as you have a stable internet connection and the drive to thrive, you can travel and work from anywhere you like.  A workload you can rely on. We’ll set you enough tasks to keep that mind busy! At Scopic, we’ll ensure you always have a consistent flow of engaging, challenging work to do.  Recognition and reward. We acknowledge diligence and hard work through annual pay increases for good performance. Down to business!  Your starting rate is negotiable depending on your skills and experience.  This is an hourly paid position.  Contractors are paid monthly via wire transfer. Our Values Scopic is an equal-opportunity employer. We value diversity and do not discriminate on the basis of race, religion, color, marital status, national origin, gender, veteran status, sexual orientation, age, or disability status. Have the skills, the drive, and the passion to join the Scopic family? Apply today to join our growing team of remote professionals from around the world. Please send your CV in English only.",,,,
4,Data Scientist,Jornada completa,"Heredia, Heredia, Costa Rica",https://cr.linkedin.com/jobs/view/data-scientist-at-moody-s-corporation-3655274101?refId=Z8k5p553qMYfXBn5%2BYjbVQ%3D%3D&trackingId=Vxs%2FNQn0PUeZK0x7gUd4sw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"29878BR Role Responsibilities Our team is directly involved in the development of analytical solutions, including credit risk metrics, supply risk, interest rate risk, liquidity risk, and climate risk. Our data scientists contribute to projects in every phase, including data analysis, methodology design, model development and improvements, documentation writing, results delivery, and interpretation. We offer: Access to some of the largest and richest datasets in the world. Exposure to a global client base, including key lenders, asset managers, insurers, corporations, and governments. Opportunities to see your research implemented and brought to the market on a large scale. You may make a lasting impact on the financial system. Competitive compensation. Excellent Work-Life balance. Qualifications Required: Master’s or Ph.D. in Financial Engineering, Data Science, Computer Science, Statistics, Economics, Econometrics, Mathematics, Physics, Finance, or any other quantitative field, or bachelor’s with at least two years of work experience. Strong programming skills in R and/or Python. Excellent English communication skills. Ability to communicate both verbally and in writing specialized content in a clear and concise way to technical and non-technical audiences. Preferred: Experience with SQL. Experience with the theory and application of machine learning techniques. Data wrangling experience. AWS experience: EC2, Athena, S3. PA Cred Dflt Modlg Soltns Moody’s is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, sexual orientation, gender expression, gender identity or any other characteristic protected by law. Moody’s is a developmental culture where we value candidates who are willing to grow. So, if you are excited about this opportunity but don’t meet every single requirement, please apply! You may be a perfect fit for this role or other open roles. Moody's is a global integrated risk assessment firm that empowers organizations to make better decisions. At Moody’s, we’re taking action. We’re hiring diverse talent and providing underrepresented groups with equitable opportunities in their careers. We’re educating, empowering and elevating our people, and creating a workplace where each person can be their true selves, reach their full potential and thrive on every level. Learn more about our DE&I initiatives, employee development programs and view our annual DE&I Report at moodys.com/diversity",,,,
5,Senior Data Scientist,Jornada completa,"Heredia, Costa Rica",https://cr.linkedin.com/jobs/view/senior-data-scientist-at-boston-consulting-group-bcg-3639834991?refId=Z8k5p553qMYfXBn5%2BYjbVQ%3D%3D&trackingId=yA2xs0bpgj5VEPcwB5%2FNnw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"WHAT YOU'LL DO Be part of a team that is transforming BCG into a bionic company! We are building a centralized Business Intelligence & Analytics function that will simplify and automate information delivery—providing advanced insights and analysis to support decision making. To date, the team has launched and operationalized several global-scale products and dashboards, enhancing how our leaders engage in information to manage the business. The next wave of digital reporting is underway which will help to unlock further value for BCG’s leadership and functions with best-in-class business intelligence and analytics. The Business Intelligence & Analytics Data Scientist will work as an integral part of an Agile team leading innovation on new digital solutions and products that deliver insights and analytics that help BCG’s leadership make informed and better decisions. The role will work closely with the product owner and stakeholders to analyze business data for insights and build predictive models that guide leadership decisions. You will help to creatively solve BCG’s most challenging problems in developing and operationalizing business critical analytics at scale. The ideal candidate will have outstanding hands-on experience, strong collaborative and execution capabilities, excellent communication skills, a practical and flexible mindset, high attention to detail and work quality, and robust understanding of business matters. YOU'RE GOOD AT Business and analytic skills Developing end to end data science solutions as individual contributor (IC) and collaborating with other team members, stakeholders on projects Strong hold in Data science programming languages, statistics, machine learning techniques Working with variety of cloud platforms and leveraging best practices of coding & MLOps tools Owning end to end responsibility of design, development & deployment of machine learning solutions at scale to deliver high-quality outcomes Sharing expertise and perspectives on alternate approaches/tools/techniques to improve end solution Working closely with data engineers, product owners and analysts to identify required data sources, operationalizing data pipelines, and ensuring compliance with data governance and security requirements Partnering with data analysts and visualization experts to create dashboards and reports that enable stakeholders to quickly and easily use data insights and model predictions to make timely business decisions Being customer-focused and dedicated to understanding, learning, and influencing customer needs and requirements Communication, interpersonal and teaming skills Works positively and collaboratively with others and within team; builds strong and lasting relationships; can partner effectively with team members in multiple time zones Constructively challenges business on assumptions and goals; asks questions that effectively lead to deeper understanding; pushes thinking of business partners and redirects poor business assumptions Develops practical and acceptable compromises when negotiating; adapts style to changing situations and audiences with tact, poise, and patience Demonstrates persistence to drive change and improvement Operates with a transparent mindset, communicating clearly and openly both with stakeholders at various levels of the organization Experience working in a fast-paced global company, with a diverse team of both technical and functional backgrounds located in multiple time zones YOU BRING (EXPERIENCE & QUALIFICATIONS) 7-10+ years of relevant hands-on work experience in owning & building data science driven solutions as part of analytics setup in a company/analytics services Experience with python programming language coupled with any additional languages experience (e.g. pyspark, R Strong experience of working with large volume of structured and unstructured data and leveraging it to build AI/ML solutions through end-to-end automated data pipelines Experience of working & collaborating with variety of stakeholders & clients throughout data science project lifecycle Effective communication skills & ability to translate complex solutions into business implications and at the same time being able to explain mathematical process when required Experience in MLOps for AI/ML model deployment & monitoring/enhancements for standalone solutions or as part of larger product Strong technical expertise in multiple areas: Statistics & Machine Learning: Regressions, Clustering techniques, Timeseries techniques, Bagging & boosting trees, Ensemble models, Neural networks, A/B testing Text mining and unstructured data analytics Programming language - Python (Must have), PySpark, R, SQL, Hive, Scala Experience with variety of libraries e.g. scikit-learn, TensorFlow, Pytorch, Keras, OpenCV, NLTK Solutions development & deployment experience in Cloud Platforms e.g AWS, Azure, GCP Container technologies – Docker, Kubernetes etc. MLOps one or more services e.g. AWS Sagemaker, Datarobot, Google AutoML, Azure AutoML, H20.ai Experience on any visualization tool - Tableau, PowerBI, Spotfire, QlikView Experience in google tag manager or similar tools like Tealium, Heap or Adobe Analytics",,,,
6,Artificial Intelligence Engineer,Jornada completa,Costa Rica,https://cr.linkedin.com/jobs/view/artificial-intelligence-engineer-at-trudata-solutions-3653239348?refId=Z8k5p553qMYfXBn5%2BYjbVQ%3D%3D&trackingId=FavqQLTDRwxdROO3Skz0tQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"Develop and deploy AI models and algorithms on Azure, GCP, and AWS platforms to deliver scalable and reliable AI solutions. Collaborate with cross-functional teams to understand business requirements and translate them into technical specifications and AI solutions. Design, build, and optimize AI pipelines, data ingestion, preprocessing, model training, and deployment workflows on cloud platforms. Conduct research and stay up-to-date with the latest AI technologies, frameworks, and tools offered by Azure, GCP, and AWS. Evaluate and recommend the most suitable AI services and components from Azure, GCP, and AWS offerings based on project requirements and constraints. Implement and optimize distributed computing and parallel processing techniques to handle large-scale datasets and high-performance AI models. Ensure the security, privacy, and compliance of AI solutions by following best practices and cloud platform guidelines. Collaborate with DevOps teams to automate the deployment, scaling, and monitoring of AI applications on cloud platforms. Mentor and guide junior developers, providing technical leadership, code reviews, and sharing best practices for AI development on Azure, GCP, and AWS. Collaborate with stakeholders to gather feedback, conduct performance evaluations, and continually improve the quality and effectiveness of AI solutions. Requirements: Bachelor's or Master's degree in Computer Science, Data Science, or a related field. Proven experience as a Senior AI Developer, Machine Learning Engineer, or similar role with hands-on experience in developing and deploying AI solutions on Azure, GCP, and AWS. Strong knowledge of AI and machine learning concepts, algorithms, and frameworks. Expertise in programming languages such as Python, R, or Java for AI development. In-depth understanding of Azure Machine Learning, GCP AI Platform, and AWS AI/ML services and frameworks. Experience with distributed computing frameworks such as Apache Spark or Hadoop. Proficiency in working with big data technologies, data pipelines, and cloud-based storage solutions. Familiarity with containerization technologies such as Docker and orchestration tools like Kubernetes. Strong problem-solving skills and ability to analyze and optimize AI models for performance and scalability. Excellent communication and interpersonal skills, with the ability to collaborate effectively with cross-functional teams and stakeholders. Preferred Qualifications: Advanced certifications in AI, machine learning, or cloud platforms (Azure, GCP, AWS). Experience in developing AI solutions for specific domains such as computer vision, natural language processing, or recommendation systems. Knowledge of deep learning frameworks like TensorFlow, PyTorch, or Keras. Familiarity with data engineering and data governance practices in the cloud. Strong understanding of data privacy and security principles in AI development.   Join our team of AI enthusiasts and make a significant impact by leveraging your expertise in Azure, GCP, and AWS to develop cutting-edge AI solutions. Apply now and be a part of our exciting journey towards transforming industries through the power of AI.",,,,
7,AI Software Engineer,Jornada completa,"San José, San José, Costa Rica",https://cr.linkedin.com/jobs/view/ai-software-engineer-at-connect-assistance-3606660260?refId=Z8k5p553qMYfXBn5%2BYjbVQ%3D%3D&trackingId=VL%2FzLw5j9pgEBsJV6TE%2B3g%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"Connect Assistance es una compañía de tecnología líder en la industria de Asistencia en Carretera y Hogar con presencia en Puerto Rico, Costa Rica, Panamá, Colombia y México. Nuestra misión es resolver problemas ordinarios con soluciones extraordinarias. ¿Quieres formar parte de nuestro equipo de trabajo? ¡Únete a nuestra compañía líder en la industria como AI Engineer! Estamos enfocados en proyectos de Inteligencia Artificial (AI) y buscamos a un profesional altamente capacitado para unirse a nuestro equipo. Estamos buscando un AI Engineer con enfoque en proyectos de AI con ChatGPT y LLMs. En este rol, serás responsable de estudiar el impacto e identificar proyectos de AI en Connect, así como desarrollar y llevar a producción modelos de lenguaje generativo (LLMs) como ChatGPT. Tu objetivo principal será el desarrollo de Chatbots y Voicebots que mejoren la experiencia del usuario y la eficiencia operativa de nuestra organización. Responsabilidades: Estudiar el impacto de proyectos de AI en la compañía:  Colaborar con los equipos internos para comprender las necesidades y oportunidades de aplicar la Inteligencia Artificial en diferentes áreas de la organización  Evaluar los problemas empresariales y definir soluciones de AI aplicables, identificando oportunidades para la implementación de LLMs y modelos de lenguaje conversacionales  Realizar análisis de viabilidad técnica y económica para proyectos de AI, considerando aspectos como escalabilidad, rendimiento y seguridad Desarrollar y llevar a producción GPTs:  Diseñar, desarrollar e implementar modelos de lenguaje generativo (GPT) y LLMs como ChatGPT, adaptados a los requisitos y casos de uso específicos de la compañía. Usando “few-shot learning”, “embeddings”, y/o “fine-tunning”  Realizar tareas de preprocesamiento de datos, entrenamiento, ajuste fino y evaluación de modelos de lenguaje, optimizando su rendimiento y capacidad de respuesta  Colaborar con el equipo de ingeniería de software para integrar los modelos de lenguaje generativos en los sistemas y aplicaciones existentes, asegurando una implementación robusta y eficiente Desarrollar Chatbots y Voicebots:  Diseñar, desarrollar y mantener Chatbots y Voicebots que brinden una experiencia de usuario mejorada y eficiente  Utilizar técnicas de procesamiento del lenguaje natural (NLP) y modelos de lenguaje generativos para crear sistemas de conversación inteligentes y contextuales  Implementar interfaces conversacionales en múltiples canales, como chat en línea, aplicaciones móviles y plataformas de voz, asegurando una coherencia en la experiencia del usuario Requisitos:  Título universitario en Ciencias de la Computación, Ingeniería de Software o campo relacionado  Experiencia comprobada como Software Engineer o Machine Learning Engineer, con un enfoque en proyectos de Data, AI, o Machine Learning  Familiaridad con tecnologías de infraestructura de AI (MLOps), como entornos de desarrollo distribuido y herramientas de implementación en la nube (AWS, Docker, Serverless, etc…)  Dominio de Python, así como experiencia en el uso de librerías de ciencia de datos como “Numpy”, “Pandas”, y de servicios web como “Flask” o “Django”  (opcional) Experiencia práctica en el desarrollo de Chatbots y Voicebots utilizando bibliotecas y frameworks populares como TensorFlow, PyTorch o similar Si reúnes los requisitos aplica con nosotros.",,,,
8,Python developer,Jornada completa,"Heredia, Heredia, Costa Rica",https://cr.linkedin.com/jobs/view/python-developer-at-gsb-solutions-3619557685?refId=Z8k5p553qMYfXBn5%2BYjbVQ%3D%3D&trackingId=aYXQRj4mcn8FW1UFpw2TyA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"We are looking for a Python developer Requirements Fluent-Advanced English Requisitos Knowledge in Develop applications and deploy services on AWS Cloud. Develop deep understanding of configuration and architecture of applications as well as deployment processes and support procedures. Participate in code, script, configuration, and system architecture reviews Document and maintain documentation of all IT procedures, configurations, processes, scripts, and architecture. Experience in building scalable services using Python, Java and NoSQL databases Experience with Java and Microservice based architectures Proven record in an AWS focused deployment environment working with containers, high availability environments, and SaaS applications Beneficios We offer Job stability and growth, Job Type Full-time, Law Benefits Home Office",,,,
9,Python developer,Jornada completa,"San José, Costa Rica",https://cr.linkedin.com/jobs/view/python-developer-at-gsb-solutions-3646283122?refId=Z8k5p553qMYfXBn5%2BYjbVQ%3D%3D&trackingId=o4db4UdFEBBnauw0ER6JJA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"We are looking for a Python developer Requirements Fluent-Advanced English Requisitos Knowledge in Develop applications and deploy services on AWS Cloud. Develop deep understanding of configuration and architecture of applications as well as deployment processes and support procedures. Participate in code, script, configuration, and system architecture reviews Document and maintain documentation of all IT procedures, configurations, processes, scripts, and architecture. Experience in building scalable services using Python, Java and NoSQL databases Experience with Java and Microservice based architectures Proven record in an AWS focused deployment environment working with containers, high availability environments, and SaaS applications Beneficios We offer Job stability and growth, Job Type Full-time, Law Benefits Home Office",,,,
