,Title,Jornada,Ciudad,URL,Descripcion,Compañia,Nº Empleados,Rubro,País
0,DATA SCIENTIST,Jornada completa,"Quito, Pichincha, Ecuador",https://ec.linkedin.com/jobs/view/data-scientist-at-puntonet-s-a-3629520594?refId=7Jn8wmcyXEFKmrTi8%2Bqziw%3D%3D&trackingId=q42J1wnH6iWacncAOYYlsQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"Responsable de construcción de modelos que permitan la exploración de datos el descubrimiento de patrones y tendencias. Requisitos Instrucción Formal  Tercer nivel en Informática, Estadística, Actuario, Ingeniería, Economía o carreras afines. Formación Complementaria en temáticas de Data & Analytics. Inglés Avanzado. Experiencia  2 años de experiencia en  Análisis exploratorio de datos como acción de descubrimiento de patrones y tendencias.  Entendimiento del producto a construir a través de la interacción con Business Translator y Product Owner.  Construcción de modelos estadísticos y de ML que permitan responder interrogantes del negocio.  Ajuste de los modelos en función de los cambios o nuevas especificaciones requeridas. Beneficios  Seguro médico privado Seguro de Vida Bono por alimentación En PuntoNet cada día innovamos y brindamos soluciones de conectividad a nivel nacional. Somos Líder en Telecomunicaciones, conectamos a personas, comunidades y empresas gracias a nuestra variedad de servicios y productos.",,,,
1,,,,https://ec.linkedin.com/jobs/view/junior-python-developer-at-sophilabs-3653633804?refId=7Jn8wmcyXEFKmrTi8%2Bqziw%3D%3D&trackingId=3VViAFxGdL0G4kHoThNkgg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
2,,,,https://ec.linkedin.com/jobs/view/ingeniero-jr-i-dpto-artificial-intelligence-ai-at-telconet-3633558559?refId=7Jn8wmcyXEFKmrTi8%2Bqziw%3D%3D&trackingId=046s9p7lX7no6uMrbEf3aw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
3,,,,https://ec.linkedin.com/jobs/view/junior-python-engineer-at-sophilabs-3653635295?refId=7Jn8wmcyXEFKmrTi8%2Bqziw%3D%3D&trackingId=2r2VKltUy%2BvZBBPQGmFo5g%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
4,,,,https://ec.linkedin.com/jobs/view/junior-react-developer-at-sophilabs-3653255165?refId=7Jn8wmcyXEFKmrTi8%2Bqziw%3D%3D&trackingId=5K%2BKHIBO5hFfF2KgLkpL1A%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
5,,,,https://ec.linkedin.com/jobs/view/junior-react-engineer-at-sophilabs-3653255160?refId=7Jn8wmcyXEFKmrTi8%2Bqziw%3D%3D&trackingId=BgtFTvoakwbZGYKxOi4vZA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
6,,,,https://ec.linkedin.com/jobs/view/junior-python-django-developer-at-sophilabs-3653636257?refId=7Jn8wmcyXEFKmrTi8%2Bqziw%3D%3D&trackingId=VQ59%2FFGOvzTZ%2Bz7lWb6gWw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
7,,,,https://ec.linkedin.com/jobs/view/junior-python-django-engineer-at-sophilabs-3653637095?refId=7Jn8wmcyXEFKmrTi8%2Bqziw%3D%3D&trackingId=cSQCR8jp9llz1zlrpFdVRw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
8,,,,https://ec.linkedin.com/jobs/view/data-scientist-at-grupo-modelo-3648004448?refId=7Jn8wmcyXEFKmrTi8%2Bqziw%3D%3D&trackingId=3Fx1xU4QEkCpCuvozPaaZQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
9,,,,https://ec.linkedin.com/jobs/view/fullstack-python-django-developer-at-sophilabs-3653632828?refId=7Jn8wmcyXEFKmrTi8%2Bqziw%3D%3D&trackingId=JJf%2BO9OyfR5xo0hfYN%2Brpg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
10,,,,https://ec.linkedin.com/jobs/view/front-end-react-developer-at-sophilabs-3653255173?refId=7Jn8wmcyXEFKmrTi8%2Bqziw%3D%3D&trackingId=NrENoL1IlNNEwSaKOXTmyg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
