,Title,Jornada,Ciudad,URL,Descripcion,Compañia,Nº Empleados,Rubro,País
0,Data Scientist,Jornada completa,"Guatemala, Guatemala, Guatemala",https://gt.linkedin.com/jobs/view/data-scientist-at-serviguidebpo-3629528447?refId=4GYF1Ep6llNN%2F%2BWIQihAqQ%3D%3D&trackingId=KG0799a%2FqLRRlkKYrjnRFQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"Título universitario en Ciencias de Datos, Ciencias de la Computación, Ingeniería, Estadísticas y +5 años de experiencia requerida O Graduado en disciplina cuantitativa y conjunto demostrado de habilidades de Ciencia de Datos, más de 2 años de experiencia laboral Debe tener la competencia Python o R trabajando con DataFrames Debe tener competencia en la aplicación de técnicas de Ciencia de Datos en conjuntos de datos a gran escala: Aprendizaje automatizado para resolver clustering, clasificación, regresión, detección de anomalías; Técnicas de optimización o simulación para resolver problemas prescriptivos Debe tener experiencia en la visualización de insights complejos utilizando Plotly, matplotlib, ggplots2, etc.; experiencia con herramientas de dashboarding deseadas (ej., Shiny, Dash, Tableau) Debe tener capacidad comprobada para derivar nuevos insights al fusionar y transformar conjuntos de datos internos y externos Experiencia con tecnologías de Big Data deseadas - Hadoop, Spark, H20.ai, plataformas Cloud AI, contenerización Experiencia en soporte de despliegue, monitoreo, mantenimiento y mejora de modelos deseados Experiencia con herramientas de visualización de datos preferidas: Tableau, R Shiny, Plotly, etc. Requisitos Título universitario requerido, MS o PhD preferido Título universitario en Ciencias de Datos, Ciencias de la Computación, Ingeniería, Estadísticas y +5 años de experiencia requerida O Graduado en disciplina cuantitativa y conjunto demostrado de habilidades de Ciencia de Datos, más de 2 años de experiencia laboral Debe tener la competencia Python o R trabajando con DataFrames Debe tener competencia en la aplicación de técnicas de Ciencia de Datos en conjuntos de datos a gran escala: Aprendizaje automatizado para resolver clustering, clasificación, regresión, detección de anomalías; Técnicas de optimización o simulación para resolver problemas prescriptivos Debe tener experiencia en la visualización de insights complejos utilizando Plotly, matplotlib, ggplots2, etc.; experiencia con herramientas de dashboarding deseadas (ej., Shiny, Dash, Tableau) Debe tener capacidad comprobada para derivar nuevos insights al fusionar y transformar conjuntos de datos internos y externos Experiencia con tecnologías de Big Data deseadas - Hadoop, Spark, H20.ai, plataformas Cloud AI, contenerización Experiencia en soporte de despliegue, monitoreo, mantenimiento y mejora de modelos deseados Experiencia con herramientas de visualización de datos preferidas: Tableau, R Shiny, Plotly, etc.",,,,
1,,,,https://gt.linkedin.com/jobs/view/data-scientist-at-xoom-a-paypal-service-3590909508?refId=4GYF1Ep6llNN%2F%2BWIQihAqQ%3D%3D&trackingId=W7V7BQlXLv9ZhyKtpREkMQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
2,Científico de Datos,Jornada completa,"Guatemala, Guatemala",https://gt.linkedin.com/jobs/view/cient%C3%ADfico-de-datos-at-bac-credomatic-3643371193?refId=4GYF1Ep6llNN%2F%2BWIQihAqQ%3D%3D&trackingId=mj6o5P7q3sDsuqa%2BYxC4iQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"Objetivo:  Responsable del Análisis de datos, creación de modelos financieros y matemáticos, realizar la construcción y optimización de Querys, estudios estadísticos, elaboración de modelos matemáticos y automatización de indicadores para la Gerencia de Ventas.   Requisitos: Licenciatura en Ingeniería en Sistemas, Industrial, Matemática o carrera afín Experiencia 1 a 3 años desarrollo de modelos estadísticos, manejo de bases de datos, administración de proyectos Experiencia en manejo de bases, QRYS, SQL, R Studio, Power BI  Ofrecemos: •Programas de beneficios e incentivos adicionales a los de ley. •Pertenecer a una entidad posicionada a nivel regional, innovadora, inclusiva, sostenible y socialmente responsable. •Con oportunidad de formación constante y crecimiento profesional •Ambiente laboral agradable •Programa de capacitación constante.",,,,
3,,,,https://gt.linkedin.com/jobs/view/data-scientist-at-xoom-a-paypal-service-3610551559?refId=4GYF1Ep6llNN%2F%2BWIQihAqQ%3D%3D&trackingId=%2Fcs2sJ039RKyyJhsji9I9A%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
4,,,,https://gt.linkedin.com/jobs/view/data-science-analyst-at-millicom-tigo-3600335036?refId=4GYF1Ep6llNN%2F%2BWIQihAqQ%3D%3D&trackingId=3TYWic39H%2B3Tme0A0imKnA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
5,CIENTÍFICO DE DATOS - VENTAS,Jornada completa,"Guatemala, Guatemala",https://gt.linkedin.com/jobs/view/cient%C3%ADfico-de-datos-ventas-at-bac-credomatic-3646304551?refId=4GYF1Ep6llNN%2F%2BWIQihAqQ%3D%3D&trackingId=egP7njMUVg%2F%2Bh8S3eSYXbA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"Tu objetivo será: Investigar, desarrollar e implementar estrategias predictivas basadas en modelos matemáticos y estadísticos. Debes contar con los siguientes requisitos: Graduado de Ingeniería, Matemáticas, Estadística, Economía, Auditoría o carrera afín. Maestría, deseable en Data Science, Estadística, Matemáticas, Proyectos, Big Data o afín. Experiencia de 1 a 3 años en Desarrollo de modelos matemáticos, Equipos de Analytics, MIS & Reporting, y Limpieza de base de datos. Con conocimientos específicos en: Visualización en PowerBI y Tableau, entre otros. Automatización y Minería de Datos. Programas estadísticos como SAS, SPSS, STATA, Nvivo, R, Python, entre otros. Metodologías ágiles. Desarrollo de Modelos Matemáticos. Equipos Analytics, MIS & Reporting. Con nosotros tendrás: Programas de beneficios e incentivos adicionales a los de ley. Pertenecer a una entidad posicionada a nivel regional, innovadora, inclusiva, sostenible y socialmente responsable. Con oportunidad de formación constante y crecimiento profesional Paquete atractivo de beneficios. (Seguro médico para ti y tu familia, conciertos BAC, biciruta 502, voluntariados, entre otros) ¡Y MÁS!",,,,
6,Senior Data Scientist,Jornada completa,"Guatemala, Guatemala, Guatemala",https://gt.linkedin.com/jobs/view/senior-data-scientist-at-xoom-a-paypal-service-3597407583?refId=4GYF1Ep6llNN%2F%2BWIQihAqQ%3D%3D&trackingId=K1NGLgop3FMYeqnhAXypIg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives. Job Description Summary: What you need to know about the role: The Device Intelligence team at PayPal is responsible for detecting and preventing fraudulent activity in customer touchpoints such as sign-up, login, payments, and post-payment activities. They achieve this by collecting signals from browsers and mobile apps and converting them into actionable insights. The team is now expanding its focus to also defend against automated attacks and disrupt the economics of cybercrime. Meet our team: Data scientists are highly motivated team players with strong analytical skills who specialize in creating, driving and executing initiatives to mitigate fraud on PayPal’s platform and improve the experience for PayPal’s hundreds of millions of customers, while guaranteeing compliance with regulations. Our team in the Identity and Risk Lifecycle team are problem solvers suited to approach varied challenges in complex big data environments. As part of our day-to-day, we are collaborating with a wide variety of partners in the company, such as product experts, data scientists and engineers to bring our analytical insights to life, impacting the experience and security of millions of users around the globe. Job Description: Your way to impact:  Device Intelligence is a critical part of PayPal’s Risk Platform and in many ways considered the first line of defense against online fraudulent activity found in customer touchpoints such as sign-up, login, payments, and post-payment activities. In addition to its core capabilities of collecting signals from browsers and mobile apps and converting these signals into actionable insights to detect and prevent fraud, the Device Intelligence team is expanding its charter to be the first line of defense against automated attacks and in the process disrupt the economics of cybercrime. To achieve this vision of being the first line of defense against large-scale automated attacks, we are looking for an analytical and results-driven Data Scientist to join the Device Intelligence team in Guatemala. The Device Intelligence team is part of PayPal’s Identity and Risk Lifecycle Organization. Your day to day:  In your day to do you will: Build large-scale end-to-end data science solutions, to combat fraud, which balances risk, user experience, and financial performance.   Own the full lifecycle of a solution from the research phase to production. Provide regular updates to leadership, peers, and other stakeholders that simplify complex analytical research and insights into easy-to-follow actionable outcomes and drive impact for our customers, our stakeholders, and PayPal.  Collaborate with cross-functional stakeholders including product managers, engineers, and information security researchers to translate business challenges into Data Science problems  Look for improvement and innovation opportunities with business impact. Provide a source of high-quality ideas.  What do you need to bring: 5+ years of relevant work experience Bachelor’s Degree or above, or equivalent experience in a quantitative field (Engineering, Mathematics, Economics, Finance etc.) Demonstrated experience in data science and analytical problem solving Proven experience with Python, SQL Hadoop and big data experience - an advantage Strong English written and verbal skills a must, including the ability to explain and/or present analyses and convey complex ideas to all audiences **We know the confidence gap and imposter syndrome can get in the way of meeting spectacular candidates. Please don't hesitate to apply.  Please submit resume in English  Our Benefits: At PayPal, we’re committed to building an equitable and inclusive global economy. And we can’t do this without our most important asset—you. That’s why we offer benefits to help you thrive in every stage of life. We champion your financial, physical, and mental health by offering valuable benefits and resources to help you care for the whole you. We have great benefits including a flexible work environment, employee shares options, health and life insurance and more. To learn more about our benefits please visit https://www.paypalbenefits.com Who We Are: To learn more about our culture and community visit https://about.pypl.com/who-we-are/default.aspx PayPal has remained at the forefront of the digital payment revolution for more than 20 years. By leveraging technology to make financial services and commerce more convenient, affordable, and secure, the PayPal platform is empowering more than 400 million consumers and merchants in more than 200 markets to join and thrive in the global economy. For more information, visit paypal.com. PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com. As part of PayPal’s commitment to employees’ health and safety, we have established in-office Covid-19 protocols and requirements, based on expert guidance. Depending on location, this might include a Covid-19 vaccination requirement for any employee whose role requires them to work onsite. Employees may request reasonable accommodation based on a medical condition or religious belief that prevents them from being vaccinated. REQ ID R0100622",,,,
7,Programador Jr. zona 14,Jornada completa,"Zona 14, Guatemala, Guatemala",https://gt.linkedin.com/jobs/view/programador-jr-zona-14-at-persotemp%C2%AE-3629753470?refId=4GYF1Ep6llNN%2F%2BWIQihAqQ%3D%3D&trackingId=brWe0qE8R34rLRtaBt0RGg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"Ultimo año de la carrera de Ingenieria en Sistemas Desarrollo de aplicaciones y servicios WEB con Microsoft.net.MVC Experiencia en desarrollo formularios WEB (Interfaz de usuario, Frond-en) Experiencia en manejo de bases SQL, Server Ingles Básico Manejo de Microsoft Office y otras herramientas de gestión",,,,
8,,,,https://gt.linkedin.com/jobs/view/fullstack-python-react-developer-at-clevertech-3660016340?refId=4GYF1Ep6llNN%2F%2BWIQihAqQ%3D%3D&trackingId=SD%2Bo2piKbxRDFD9rTHII6A%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
9,,,,https://gt.linkedin.com/jobs/view/cientifico-de-datos-beg-18-en-unidad-de-estrategia-beg-at-bam-3643047814?refId=4GYF1Ep6llNN%2F%2BWIQihAqQ%3D%3D&trackingId=aQdsSEPHb05L541tWCe4eg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
