,Title,Jornada,Ciudad,URL,Descripcion,Compañia,Nº Empleados,Rubro,País
0,,,,https://ht.linkedin.com/jobs/view/senior-frontend-engineer-at-early-stage-startup-at-recruiting-from-scratch-3541530449?refId=Dk06p2jDMW1Dal%2BfhO836Q%3D%3D&trackingId=HA5Bxwf9l3CjNzH0NlgAgA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
1,,,,https://ht.linkedin.com/jobs/view/senior-backend-engineer-ai-at-recruiting-from-scratch-3563606273?refId=Dk06p2jDMW1Dal%2BfhO836Q%3D%3D&trackingId=5mJM0fStbF4eV%2BpwSxqKXg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
2,,,,https://ht.linkedin.com/jobs/view/tech-lead-software-engineer-autonomous-car-startup-at-recruiting-from-scratch-3565088342?refId=Dk06p2jDMW1Dal%2BfhO836Q%3D%3D&trackingId=1SRKH1ixG2AMmdNNsoBdFg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
3,,,,https://ht.linkedin.com/jobs/view/senior-backend-engineer-data-at-recruiting-from-scratch-3541534243?refId=Dk06p2jDMW1Dal%2BfhO836Q%3D%3D&trackingId=I0AfXpj7l7TAw9sPeQoBjA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
4,Senior Software Engineer,Full-time,"Ca Charlotte, Sud Department, Haiti",https://ht.linkedin.com/jobs/view/senior-software-engineer-at-recruiting-from-scratch-3603622790?refId=Dk06p2jDMW1Dal%2BfhO836Q%3D%3D&trackingId=VShoYWtrfo6fBOlHzzcSHg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"Who is Recruiting from Scratch:  Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware talent at innovative companies. Our team is 100% remote and we work with teams across the United States to help them hire. We work with companies funded by the best investors including Sequoia Capital, Lightspeed Ventures, Tiger Global Management, A16Z, Accel, DFJ, and more.  Senior Software Engineer/Architect - Foundational Data Engineering  Houston, Texas, United States We are a financial sciences company, combining data analysis, invention, and rigorous inquiry to help solve the toughest challenges in investment management, insurance technology, securities, private equity, and venture capital. Our team of scientists, technologists, and academics looks beyond the traditional to develop creative solutions to some of the world’s most complex economic problems. We are seeking an extraordinary Senior Software Engineer to help build the next generation of our data services. In this role, you will take on a wide range of responsibilities and challenges.  You will take on the following responsibilities:   Architect, design, and develop software that enables us to digest, transform, correct, and deliver financial data used by multiple stakeholders across the firm   Have an ownership mindset and collaborate with business and engineering stakeholders across the organization to develop, implement, and deploy solutions to address a wide array of business problems   Mentor and grow engineers across the team leading by example, establishing best practices, and demanding high engineering standards   You should possess the following qualifications:   7+ years of professional software development experience building production-grade distributed software systems with extraordinary programming skills   3+ years of experience defining large-scale, event-driven, service-oriented software architectures, exploring and making technical feasibility tradeoffs for scalability, reliability, and operational efficiency   Experience with modern programming languages (Java, Python, C/C++, C#, etc.), programming styles (OO, functional), and techniques (design and architecture patterns)   Fluency in professional software engineering practices encompassing the software development life including coding standards, code reviews, source control management, CI/CD, testing, and operations   Deep knowledge of technology solutions for financial instrument reference and market data is highly desirable   Data modeling experience in a financial services environment is preferred   You will enjoy the following benefits:   Hybrid Work Policy: Flexible in-office days with budget for home office setup   Time Off: Generous vacation and unlimited sick days, competitive paid caregiver leaves   Learning: Tuition reimbursement, conference and training sponsorship   Perks: Onsite gyms with laundry service, wellness activities, casual dress, snacks, game rooms   Core Benefits: Fully paid medical and dental insurance premiums for employees and dependents, competitive 401k match, employer-paid life & disability insurance  We are proud to be an equal opportunity workplace. We do not discriminate based upon race, religion, color, national origin, sex, sexual orientation, gender identity/expression, age, status as a protected veteran, status as an individual with a disability, or any other applicable legally protected characteristics. Salary: $200-600k",,,,
5,,,,https://ht.linkedin.com/jobs/view/senior-machine-learning-engineer-at-recruiting-from-scratch-3584994907?refId=Dk06p2jDMW1Dal%2BfhO836Q%3D%3D&trackingId=1shzVnDK6cVdUpfRcN2iOw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
6,,,,https://ht.linkedin.com/jobs/view/senior-fullstack-engineer-gaming-at-recruiting-from-scratch-3599989994?refId=Dk06p2jDMW1Dal%2BfhO836Q%3D%3D&trackingId=ipKR9LdA4S6QPA33Zlqnsw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
7,Senior Backend Engineer (AI Startup),Full-time,"Ca Charlotte, Sud Department, Haiti",https://ht.linkedin.com/jobs/view/senior-backend-engineer-ai-startup-at-recruiting-from-scratch-3284308757?refId=Dk06p2jDMW1Dal%2BfhO836Q%3D%3D&trackingId=BO56y2cYnPW2ximjiZyUYQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"About The Company Our client believes that the next leap forward in applied AI lies in active learning systems and techniques like reinforcement learning. These systems are ‘curious’ – they continuously try new things in the world, making them better at adapting to and operating in a fast-changing, complex world. Using Active & Transfer Learning, their software transforms business processes into automated feedback loops, creating accelerating advantages for our customers vs. their competition. Most AI today is passive. It learns by looking at billions of examples of historical data. But in the real world, the future seldom looks like the past. Our active learning agents learn not just from past data, but from simulations of different futures – think Neo from The Matrix learning Kung Fu by fighting Morpheus over and over in a virtual dojo. Arena uses simulations and your real environment to train active learning agents that can safely and quickly learn new tasks to improve your future outcomes. As a software engineer at Arena, you will build the next generation of machine learning software. We have 3 main areas of focus: Core Intelligence-ML Modeling, Telemetry-Impact & Algorithmic Health, and AI interfaces. You will be involved in building out functionality for all 3 areas. Required qualifications: Interest and enthusiasm for Artificial Intelligence and Machine Learning Proven ability to write clean code Strong Computer Science fundamentals in data structures, algorithm design, and problem solving Strong Intuition architecting, building, and scaling complex systems Collaborate with Product Designers, ML Scientists and external stakeholders to deliver compelling user-facing products Strong customer focus with ability to translate user requirements into good design Ability to take a project from scoping its requirements through to the actual launch Experience with continuous integration (CI) and continuous delivery (CD) Salary:  Base: $120-180k Who is Recruiting from Scratch:  Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware talent at innovative companies. Our team is 100% remote and we work with teams across the United States to help them hire. We work with companies funded by the best investors including Sequoia Capital, Lightspeed Ventures, Tiger Global Management, A16Z, Accel, DFJ, and more. Salary:  Base: $150-250k Who is Recruiting from Scratch:  Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware talent at innovative companies. Our team is 100% remote and we work with teams across the United States to help them hire. We work with companies funded by the best investors including Sequoia Capital, Lightspeed Ventures, Tiger Global Management, A16Z, Accel, DFJ, and more.",,,,
8,,,,https://ht.linkedin.com/jobs/view/founding-frontend-engineer-at-recruiting-from-scratch-3427033944?refId=Dk06p2jDMW1Dal%2BfhO836Q%3D%3D&trackingId=NPdZT%2BDmoSgo1z9uPjHitQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
9,,,,https://ht.linkedin.com/jobs/view/senior-backend-engineer-latam-at-recruiting-from-scratch-3442441093?refId=Dk06p2jDMW1Dal%2BfhO836Q%3D%3D&trackingId=yHSWOujrbfTqdmDQMe%2F6tw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
