,Title,Jornada,Ciudad,URL,Descripcion,Compañia,Nº Empleados,Rubro,País
0,,,,https://hn.linkedin.com/jobs/view/data-analyst-at-%23equalstrue-3654719677?refId=3Agf0HNiAd4IMGmg4G%2B8yA%3D%3D&trackingId=U0VK8MRKMh2SlosDci9mWg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
1,Python Developer,Jornada completa,Honduras,https://hn.linkedin.com/jobs/view/python-developer-at-launchpad-technologies-inc-3650010516?refId=3Agf0HNiAd4IMGmg4G%2B8yA%3D%3D&trackingId=DCx5pf5pov1zqSAT8vCfQQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"Recognized as one of Canada’s fastest-growing companies, Launchpad provides next-generation integration platform capabilities for connecting and managing enterprise automation and data integration. Headquartered in Vancouver, Canada, our operations span both North and South Americas, with a second headquarter located in Santiago, Chile. In 2021, we were recognized as the winner of the BC Tech Associations Technology Impact Awards 'Company of The Year: Growth'. We recognize the global truth that today, every company is a tech company. To succeed, every company everywhere needs their data and workflows to be integrated and automated. That understanding gave us the confidence to compete with our sector's leading providers, win top-level contracts, and build a truly world-class list of clients that includes Walmart, GM, TIME Magazine, Salesforce, Tableau, Splunk, Bolt.com, Freedom House, and more. Our vision is to bring people and technology together to work seamlessly to achieve extraordinary business outcomes and create more efficient societies. If this sounds like something you want to be part of, we’d love to hear from you. Main Responsibilities: Build integrations for various data flows between SaaS-based applications and in-house engineering applications.  Analyze data made available by business applications, and work with the various application owners to advise and develop appropriate integrations to meet business goals.  Partner with cross-functional teams to understand use-cases and gather requirements to design, architect and build application integrations. Partner with vendors, MSPs, and engineering teams to ensure seamless end-end flow of quality data.  Assess the needs of product/engineering releases with respect to business objectives, security, data dependency, compliance, and timeliness of releases.  Follow and contribute to integration technology standards, frameworks, principles and roadmap, in partnership with Enterprise Architects and Solutions Architects.  Prioritize and manage demands across multiple projects and provide support to production applications.  Experience & Skills: 3+ years of experience in building enterprise integration applications and cloud-centric solutions across multiple functional areas.  3+ years of Python development experience. Strong understanding of object-oriented programming and software design patterns for building highly scalable applications.  Experience with common API development standards, patterns, and protocols; including REST, SOAP, RPC, AMQP, Pub/Sub, GraphQL, HTTP/S, SSL/TLS, SQL, NoSQL, OAuth, OIDC and SAML.  Experience with cloud computing platforms such as AWS or GCP. Strong understanding of infrastructure management using IaC tools such as Terraform, Chef, Puppet or CloudFormation.  Knowledge of common Python web development tools and frameworks such as Django or Flask.  Experience authoring documentation for technical design, architecture and production runbooks.  Hands-on experience with CI/CD, e2e testing, deployment methods, and source control technologies and standards.  Excellent problem-solving skills and cross-functional collaboration Experience working with Oracle modules (Procurement, Supply Chain, Maintenance) is a plus Why work for Launchpad? 100% remote People first culture Excellent compensation in US Dollars Hardware setup for working from home Work with global teams and prominent brands based in North America, Europe, and Asia Training allowances Personal time off (PTO) for vacations, study leave, personal time, etc.  ...and more! At Launchpad, we genuinely care about our people as individuals. If you are looking for a team that values growth, drive, and passion for your craft, if you’re seeking a place to achieve your goals and dreams with fairness and integrity, then you are the future of Launchpad. Launchpad is committed to fostering a diverse and representative workforce and an inclusive work environment where all employees are respected and treated equally. Are you ready to elevate your career at Launchpad? We want to hear your story! Contact us today.",,,,
2,,,,https://hn.linkedin.com/jobs/view/python-developer-at-launchpad-technologies-inc-3619529132?refId=3Agf0HNiAd4IMGmg4G%2B8yA%3D%3D&trackingId=7fRi2NF1xvLNGK%2BZfJpNWA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
3,,,,https://hn.linkedin.com/jobs/view/artificial-intelligence-computer-vision-engineer-remote-latin-america-at-fullstack-labs-3623532724?refId=3Agf0HNiAd4IMGmg4G%2B8yA%3D%3D&trackingId=4erRBuqaQIfYM%2BInhN78qg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
4,Artificial Intelligence/Computer Vision Engineer - Remote - Latin America,Jornada completa,"San Miguel, La Paz, Honduras",https://hn.linkedin.com/jobs/view/artificial-intelligence-computer-vision-engineer-remote-latin-america-at-fullstack-labs-3623532931?refId=3Agf0HNiAd4IMGmg4G%2B8yA%3D%3D&trackingId=FNIJIzKhYgUo1M%2Ba1FdlMQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"FullStack is the fastest-growing software consultancy in the Americas. We help organizations like Uber, GoDaddy, MGM, Siemens, Stanford University, and the State of California, build distributed software development teams, and deliver transformational digital solutions. As an employee-first company, we focus on hiring the most talented software designers and developers in the western hemisphere, by creating a positive, respectful, and supportive work environment where they can achieve their greatest potential. We’re most proud of: Offering life-changing career opportunities to talented software professionals across the Americas. Building highly-skilled software development teams for hundreds of the world’s greatest companies. Having delivered hundreds of successful custom software solutions, which have positively impacted the lives and careers of millions of users. Our 4.5-star rating on GlassDoor. Our client Net Promoter Score of 68, twice the industry average. The position: We're looking to hire one AI Engineer to join our team. You'll work with our incredible clients in one of two ways: Team Augmentation: You will integrate yourself directly into our client's team and work alongside their existing designers and engineers on a daily basis. Design & Build: You will work on a FullStack Labs product team to build and deliver a product to our clients. What we are looking for: 4+ years of experience as an Artificial Intelligence Engineer. Experience working with Python, Ubuntu, Computer Vision and AWS. Experience working on large, complex systems. Experience working on Agile / Scrum teams. A four-year college degree is required. Advanced English is required. Ability to take extreme ownership over your work. Every day is a challenge to ensure you are performing to the expectations you and your team have agreed upon. Ability to identify with the goals of FullStack's clients, and dedicate yourself to delivering on the commitments you and your team make to them. An understanding of best practices and a commitment to following them. Ability to work through new and difficult issues and contribute to libraries as needed. A positive mindset and can-do attitude. Forensic attention to detail. Benefits:  Competitive pay in your local currency 100% remote work The ability to work with leading startups and Fortune 500 companies English Classes Virtual company events each month Ample opportunity for career advancement Continuing education opportunities Depending on your location other benefits may apply FullStack is proud to be an equal opportunity workplace. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity, or Veteran status. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form, which can be provided upon request during our hiring and interview process. Learn more about our Applicants Privacy Notice .",,,,
5,,,,https://hn.linkedin.com/jobs/view/artificial-intelligence-computer-vision-engineer-remote-latin-america-at-fullstack-labs-3623535586?refId=3Agf0HNiAd4IMGmg4G%2B8yA%3D%3D&trackingId=Db8VmVKC2hcER1Deo%2B2Y2w%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
6,,,,https://hn.linkedin.com/jobs/view/ingeniero-en-sistemas-enfoque-en-base-de-datos-junior-at-people-working-corp-3649242325?refId=3Agf0HNiAd4IMGmg4G%2B8yA%3D%3D&trackingId=L7lOEONoiSvyC3HFBoYWRA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
7,Data Engineer,Jornada completa,Honduras,https://hn.linkedin.com/jobs/view/data-engineer-at-launchpad-technologies-inc-3571780158?refId=3Agf0HNiAd4IMGmg4G%2B8yA%3D%3D&trackingId=hqKQbrxfte2%2FEpScBKyEDg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"Recognized as one of Canada’s fastest-growing companies, Launchpad provides next-generation integration platform capabilities for connecting and managing enterprise automation and data integration. Headquartered in Vancouver, Canada, our operations span both North and South Americas, with a second headquarter located in Santiago, Chile. In 2021, we were recognized as the winner of the BC Tech Associations Technology Impact Awards 'Company of The Year: Growth'. We recognize the global truth that today, every company is a tech company. To succeed, every company everywhere needs their data and workflows to be integrated and automated. That understanding gave us the confidence to compete with our sector's leading providers, win top-level contracts, and build a truly world-class list of clients that includes Walmart, GM, TIME Magazine, Salesforce, Tableau, Splunk, Bolt.com, Freedom House, and more. Our vision is to bring people and technology together to work seamlessly to achieve extraordinary business outcomes and create more efficient societies. If this sounds like something you want to be part of, we’d love to hear from you. Main Responsibilities Migration of existing Salesforce.com data pipelines from Matillion to our new Python based data platform Migration of the existing Gainsight data pipeline from our current data platform to our new data platform Migration of additional data pipelines as needed Required Experience: 3 years of experience in Python 3 years of experience in Linux 2 years of experience working with Data ETL / ELT 2 years of experience interfacing with third party APIs 1 year of experience working with Analytical Databases (Redshift, Snowflake) 2 years of experience working with Cloud technologies 1 year of experience working with GIT Bonus Experience: Matillion AWS Docker DBT Terraform Airflow Hashicorp Vault Data Modeling Soft skills we consider important: Enthusiastic about tech and the data domain Strong problem solving skills Collaborative Takes initiative without being reckless (considers how their actions impacts other people/systems) Why work for Launchpad? 100% remote People first culture Excellent compensation in US Dollars Hardware setup for working from home Work with global teams and prominent brands based in North America, Europe, and Asia Training allowances Personal time off (PTO) for vacations, study leave, personal time, etc.  ...and more! At Launchpad, we genuinely care about our people as individuals. If you are looking for a team that values growth, drive, and passion for your craft, if you’re seeking a place to achieve your goals and dreams with fairness and integrity, then you are the future of Launchpad. Launchpad is committed to fostering a diverse and representative workforce and an inclusive work environment where all employees are respected and treated equally. Are you ready to elevate your career at Launchpad? We want to hear your story! Contact us today.",,,,
8,,,,https://hn.linkedin.com/jobs/view/python-software-programmer-work-from-home-at-oowlish-3648528538?refId=3Agf0HNiAd4IMGmg4G%2B8yA%3D%3D&trackingId=pp8s0Dv%2BqxI7ROXODppuQg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
9,,,,https://hn.linkedin.com/jobs/view/mid-senior-data-analyst-remote-latin-america-at-fullstack-labs-3623535461?refId=3Agf0HNiAd4IMGmg4G%2B8yA%3D%3D&trackingId=%2F3fN2CAptJ%2BHO6qBiGEc8w%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
10,,,,https://hn.linkedin.com/jobs/view/python-software-programmer-work-from-home-at-oowlish-3648562091?refId=3Agf0HNiAd4IMGmg4G%2B8yA%3D%3D&trackingId=J7aJYKG70PEZ88A6cutoZQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
