,Title,Jornada,Ciudad,URL,Descripcion,Compañia,Nº Empleados,Rubro,País
0,Junior Python Developer (Remote Internship – IT),Internship,"Kingston, Kingston, Jamaica",https://jm.linkedin.com/jobs/view/junior-python-developer-remote-internship-%E2%80%93-it-at-talentkompass-deutschland-3651754894?refId=biyy4zdIwO28geADQFjXRQ%3D%3D&trackingId=KFEPceo523PEMPkdpx2SiQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"LOCATION: Remote Work SCHEDULE: Part-time Are you passionate about software development and seeking a remarkable opportunity to gain hands-on experience while working with a prestigious Management Consulting firm? TalentKompass Deutschland, a top Human Resources company based in Germany, is searching for a motivated Python Developer Intern to join our esteemed client. This remote position presents a fantastic opportunity for someone who is eager to learn and grow in a dynamic and fast-paced environment. As a Python Developer Intern, you will work closely with the software development and consulting teams, where you will be responsible for a variety of tasks, including software design, development, and debugging. You will have the unique chance to learn from experienced professionals who will provide mentorship and guidance throughout the internship. With this opportunity, you will gain valuable experience in software development, data analysis, and teamwork – all essential skills for a successful career in this field. Responsibilities: Assist in the design, implementation, and maintenance of software applications Collaborate with cross-functional teams to gather requirements and develop solutions Conduct research on emerging software technologies and trends Participate in software debugging and performance optimization Test and debug applications to ensure optimal performance and security Support the team with general administrative tasks as needed Contribute to the creation of technical documentation and user guides Requirements: Basic understanding of software development principles and practices Familiarity with Python and its associated libraries Excellent written and verbal communication skills in English Ability to work independently and as part of a team Strong analytical and problem-solving skills Knowledge of database systems, such as MySQL, PostgreSQL, is a plus Experience with version control systems, such as Git, is a plus At TalentKompass Deutschland, we are committed to helping our interns develop their skills and reach their full potential. Our client is a reputable Management Consulting firm that will provide invaluable experience in a competitive industry. Don't miss this incredible opportunity to jump-start your career in software development – apply now!",,,,
1,"JUNIOR DEVELOPER - Dubai, UAE",Full-time,"Kingston, Kingston, Jamaica",https://jm.linkedin.com/jobs/view/junior-developer-dubai-uae-at-cobblestone-energy-3642305301?refId=biyy4zdIwO28geADQFjXRQ%3D%3D&trackingId=wJe4o82AMM4MLwZp7Vgczw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"Starting salary of  60 , 000 USD per annum  in a zero-tax environment. Fast progression for strong performers. Job location:  Dubai, UAE About us: Cobblestone Energy is a proprietary trading firm that specializes in the wholesale electricity market across Europe. Electricity is fundamental to the world's economic activities. We trade enough electricity every day to power a small country, and in doing so, we help to address the mismatch between electricity generation and consumption. Job Description  At Cobblestone Energy we are on a mission to build the most advanced European electricity trading and analytics platform, with our technology being used by our teams of commercial traders to create significant value. We are looking for enthusiastic and resourceful developers who are passionate about building exceptionally reliable and performance data processing solutions. You want to help the commercial team make data-informed decisions, have a curious mindset, and are motivated to understand our business better. Developing a strong domain knowledge of our industry over time is key to long term success in this role.  If you have excellent programming skills, strong problem-solving skills, and a passion for developing and improving applications utilizing cutting edge technologies, then we would like to meet you.  What we offer in this role   Competitive remuneration, with fast progression for strong performers.  A challenging but exciting, open, and fun work environment.  An opportunity to work with remarkably talented colleagues.  Vast growth potential in every aspect.  15% target bonus with further upside.  Employee share scheme participation  International relocation support  Opportunity to be embedded within a commercial team for those with strong commercial interest  Responsibilities   Write software applications and programs for backend/frontend purposes.   Analyse programs and apps to improve their features and functionalities.   Test & debug programs and fix any reported bugs.   Collaborate with the tech team to improve the performance, efficiency, and scalability of our tools.   Requirements   BS/BE in Computer Science/Computer Engineering.   Programming experience of 1 to 2 years in Python language.   Expertise in at least one popular Python framework (like Django, Flask ...).   Experience of 1 to 2 years in front-end technologies such as HTML5, CSS, JQuery, JS, ...etc.   Knowledge of APIs and webservices.   Knowledge of Relational Databases (MySQL, PostgreSQL, SQL Server ...) and SQL language.   Knowledge of NoSQL databases is a plus.   Knowledge of AWS is a plus / Knowledge of data visualization tools, mainly Tableau, is a plus.   Ability to work in a team environment.   Strong problem-solving skills and analytical skills.   Resilience and a determination to succeed.   Independent thinkers with growth mindset.   Must be passionate, self-motivated, and able to learn quickly.   Strong sense of integrity.    Personal values that match our company values.",,,,
2,"GRADUATE SOFTWARE ENGINEER - Dubai, UAE",Full-time,"Kingston, Kingston, Jamaica",https://jm.linkedin.com/jobs/view/graduate-software-engineer-dubai-uae-at-cobblestone-energy-3641767337?refId=biyy4zdIwO28geADQFjXRQ%3D%3D&trackingId=gnVn6Eagvyre3W5%2FeRbOSw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"Employment type:  Full-time & Permanent Starting salary of  55,000 USD per annum  in a zero-tax environment (plus biannual performance-based bonuses) Job Location:  Dubai, UAE (We provide visa sponsorship & relocation assistance) About Cobblestone Energy Cobblestone Energy is an energy trading company specialising in the Great Britain and European wholesale electricity markets. Founded in 2017, we are part of the next generation of companies defining the future of global commodity trading. We make use of advanced data analytics and extensive research to drive profitable decision making, trading enough electricity every day to power a small country, and growing every day. In doing so, we help to balance the electricity grid, lowering the cost to end consumers, and aiding the transition to a renewable future. Technology and risk management form the backbone of our business. At Cobblestone Energy, we are a diverse team of over 50 people from 20+ nationalities - we believe in hiring extraordinary talent from all around the world. Our flat organizational structure helps us in giving our team members complete ownership of the work and ensures ideas come from every level. We believe in providing unlimited growth opportunities to our people alongside constant feedback and support, which allows us to cover our vulnerabilities and grow as a team in new and interesting ways. Over the years we have grown organically. In light of our further ambitions to be the best in all markets we enter, we would like to welcome talented Software Engineers into our Tech team who have just started their careers and are and looking to take up challenging tasks and being a part of our growth story. Cobblestone Values:  Lifelong learning with continuous reflection.  Independent thinking through a meritocracy of ideas.  The team is more important than the individual Being the best in any market we enter.  Hiring and keeping only the most effective people.  Others must benefit from our existence.  Job Description At Cobblestone Energy we are on a mission to build the most advanced European electricity trading and analytics platform, with our technology being used by our teams of commercial traders to create significant value. Being a member of our team, you will work on exciting challenges that come with large-scale data processing, automation, and analytics. We work in an agile and highly collaborative environment and challenge the norms of traditional business leadership. We are looking for enthusiastic and resourceful engineers who are passionate about building highly reliable and performance data processing solutions. Developing a strong domain knowledge of our industry over time is key to long term success in this role. This is a rare opportunity to take a leading role in the growth of a major player in the European Power Markets. We are looking for someone who would be committed to the long-term success of the business. We operate in the European Power markets, but our commercial trading operations are in Dubai, UAE. If you have excellent programming skills, strong problem-solving skills and a passion for developing/improving applications utilizing cutting edge technologies, then we would like to meet you. What We Offer In This Role A full-time position on our Tech team Committed and remarkably talented colleagues Highly competitive compensation dependent on performance An exciting, challenging and fulfilling career An opportunity to work on new things from scratch and make independent decisions.  Investment in your development to ensure that you always remain the best in business Equity participation for strong contributors, ensuring our interests are all aligned long term Responsibilities Be a key contributor to tech projects critical for commercial operations Write software applications and programs for backend/frontend purposes Analyse programs and apps to improve their features and functionalities in collaboration with the commercial teams Test & debug programs and fix any reported bugs Uphold and live our cultural values Requirements BS/BE in Computer Science/Computer Engineering or related field Programming skills in Python language Familiarity & Knowledge in front-end technologies such as HTML5, CSS, JQuery, JS, etc Strong knowledge of REST APIs and webservices Strong knowledge of Relational Databases (MySQL, PostgreSQL, SQL Server) and SQL language Strong problem-solving and analytical skills Resilience and a determination to succeed Passionate, self-motivated, and fast learner Desirable Experience/Skills Knowledge of at least one popular Python framework (like Django, Flask) Programming skills in Java Knowledge of NoSQL databases Knowledge of AWS Knowledge of data visualization tools, mainly Tableau",,,,
3,Junior QA Automation Engineer,Full-time,"Kingston, Kingston, Jamaica",https://jm.linkedin.com/jobs/view/junior-qa-automation-engineer-at-grid-dynamics-3575057606?refId=biyy4zdIwO28geADQFjXRQ%3D%3D&trackingId=rKXbpxj4BaIKLZyoWqwqxg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"Description Position at Grid Dynamics If you are excited about all aspects of modern engineering, from writing great code, to creating architectures, designing components, interacting with clients and delivering a working system to production, then you are the kind of person we are looking for. If you enjoy freedom and responsibility, creative thinking, leading and mentoring others, then join our team of world-class QA engineers, developers, DevOps engineers and managers. Responsibilities Participate in design, development and delivery test automation framework using Java Implement new tests and collect metrics about auto tests Learn new stack of technologies for proprietary version control system, cloud infrastructure and continuous integration Search for simple and robust solutions to complex tasks Work in an Agile methodology environment where innovation, teamwork, and creativity are the keys to success Collaborate with a team of QA engineers Requirements 1+ years of commercial experience with Java Good understanding of DI and IOC principle Confident knowledge of software QA methodology, processes and tools Good communication skills and at least intermediate technical writing and speaking English Desire and ability for quick learning of new tools and technologies Understanding of general OOP and Functional programming concepts Linux/Mac hands-on experience We Offer Opportunity to work on bleeding-edge projects Work with a highly motivated and dedicated team Competitive salary Flexible schedule Medical insurance Benefits program Corporate social events About us: Grid Dynamics is the engineering services company known for transformative, mission-critical cloud solutions for retail, finance, and technology sectors. We architected some of the busiest e-commerce services on the Internet and have never had an outage during the peak season. Founded in 2006 and headquartered in San Ramon, California with offices throughout the US and Eastern Europe, we focus on big data analytics, scalable omnichannel services, DevOps, and cloud enablement.",,,,
4,Backend Developer,Contract,Jamaica,https://jm.linkedin.com/jobs/view/backend-developer-at-qualityworks-consulting-group-llc-3643000088?refId=biyy4zdIwO28geADQFjXRQ%3D%3D&trackingId=qiuDZ%2BqD5ldP8%2BPY2nMkzw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"QualityWorks Consulting Group Backend Developer Job Description Want to join a friendly and passionate team with limitless potential? Here’s some more information on this opportunity: Job Title: BackEnd Developer Location: Remote. Yes! You get to work from the comfort of your home. You can also work from our office space if you choose to. Job Type: Contract Work Culture: Chill. No really, we are! We aim to ensure that QW is the best place you will ever work and that you are comfortable while creating a space for you to grow through problem solving, developing your autonomy and building collaborative skill sets. Responsibilities: Design, develop, and maintain server-side applications and APIs that power our software applications. Collaborate with front-end developers to define and implement efficient integration between the front-end and back-end components. Optimize application performance, scalability, and reliability. Ensure proper security and data protection measures are in place. Participate in code reviews and provide constructive feedback to maintain code quality and adherence to best practices. Troubleshoot and debug issues reported in production, performing root cause analysis and implementing fixes. Collaborate with cross-functional teams to understand user requirements and translate them into technical solutions. Stay up to date with industry trends and advancements in back-end development technologies and best practices. Collaborate with database administrators to optimize database performance and ensure efficient data storage and retrieval. Develop and maintain documentation for the back-end systems, including API documentation and technical specifications. Implement automated testing and continuous integration practices to ensure the reliability and stability of the back-end systems. Collaborate with DevOps and infrastructure teams to ensure smooth deployment and operation of the back-end applications. Implement monitoring and logging solutions to proactively identify and address performance bottlenecks and system issues. Continuously improve the back-end architecture and codebase, incorporating new technologies and best practices. Collaborate with third-party vendors and service providers to integrate their systems and services with the back-end applications. Participate in the evaluation and selection of new technologies and frameworks to enhance the back-end development process. Collaborate with the QA team to ensure proper testing and quality assurance of the back-end systems. Provide technical support and guidance to other team members on back-end development best practices and technologies. Collaborate with stakeholders to understand business requirements and translate them into technical specifications. Assist in the mentoring and coaching of junior developers, providing guidance on back-end development concepts and practices. Requirements: Bachelor's degree in Computer Science, Engineering, or a related field (or equivalent of 1-3 years work experience). Strong experience in back-end development using languages such as JavaScript, TypeScript, Java, C#, Python, or Ruby. Solid understanding of web development concepts and technologies, including RESTful APIs, HTTP, and web application architecture. Experience with at least one web framework such as Django, Spring Boot, or Ruby on Rails. Proficiency in database design and SQL, with experience working with relational databases like MySQL or PostgreSQL. Familiarity with version control systems (e.g., Git) and agile development methodologies. Strong problem-solving skills and ability to analyze and debug complex technical issues. Good communication and collaboration skills, with the ability to work effectively in a team. Share this! We have multiple openings! Technology has this incredible power to transcend boundaries, transform industries and improve people's lives. QualityWorks makes it happen. This is where the best and the brightest work together to make innovation a habit of life. You’ll gain opportunities to work with leaders in technology that you never thought possible and be trained on the latest testing tools and methodologies including automation, API, performance, usability, and accessibility. If you are ready to raise the bar and become a leader in Tech, we definitely have a place for you. DISCLAIMER: The above information indicates the general nature and level of work expected of Backend Developer. It is not designed to contain or to be interpreted as a comprehensive listing of duties, responsibilities, activities or qualifications required of the Backend Developer. QualityWorks Consulting Group reserves the right to revise this job description at any time. This job description is not intended to be a contract of employment and does not alter the employee’s at-will employment status. Powered by JazzHR 11HDtdA3i4",,,,
5,Junior Blockchain Developer (Remote Internship – IT),Internship,"Kingston, Kingston, Jamaica",https://jm.linkedin.com/jobs/view/junior-blockchain-developer-remote-internship-%E2%80%93-it-at-talentkompass-deutschland-3651758169?refId=biyy4zdIwO28geADQFjXRQ%3D%3D&trackingId=lhrnjhumW5qM5AkZXk1xUA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"LOCATION: Remote Work SCHEDULE: Part-time Are you passionate about blockchain technology and seeking an unparalleled opportunity to gain hands-on experience while working with a prestigious Management Consulting firm? TalentKompass Deutschland, a top Human Resources company based in Germany, is searching for a motivated Blockchain Development Intern to join our esteemed client. This remote position offers an exceptional chance for someone who is eager to learn and grow in a dynamic and fast-paced environment. As a Blockchain Development Intern, you will work closely with the consulting and development teams, where you will be responsible for a range of tasks, including designing, implementing, and testing blockchain solutions. You will have the extraordinary opportunity to learn from experienced professionals who will provide mentorship and guidance throughout the internship. With this internship, you will gain valuable experience in blockchain development, smart contracts, and teamwork – all essential skills for a successful career in this field. Responsibilities: Assist in the design and implementation of blockchain solutions and smart contracts Collaborate with cross-functional teams to gather requirements and develop solutions Conduct research on emerging blockchain trends, technologies, and platforms Participate in code reviews and contribute to the improvement of development processes Test and debug blockchain applications to ensure optimal performance and security Support the team with general administrative tasks as needed Contribute to the creation of technical documentation and user guides Requirements: Basic understanding of blockchain principles and development practices Familiarity with programming languages, such as Solidity, JavaScript, or Python, is a plus Excellent written and verbal communication skills in English Ability to work independently and as part of a team Strong analytical and problem-solving skills Knowledge of various blockchain platforms, such as Ethereum or Hyperledger, is a plus Experience with version control systems, such as Git, is a plus At TalentKompass Deutschland, we are committed to helping our interns develop their skills and reach their full potential. Our client is a reputable Management Consulting firm that will provide invaluable experience in a competitive industry. Don't miss this incredible opportunity to jump-start your career in blockchain development – apply now!",,,,
6,Junior Frontend Developer (Remote Internship – IT),Internship,"Kingston, Kingston, Jamaica",https://jm.linkedin.com/jobs/view/junior-frontend-developer-remote-internship-%E2%80%93-it-at-talentkompass-deutschland-3650073408?refId=biyy4zdIwO28geADQFjXRQ%3D%3D&trackingId=q7amDqF35PiQMWymQZOZgw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"LOCATION: Remote Work SCHEDULE: Part-time Are you a budding frontend developer seeking an exceptional opportunity to gain hands-on experience while working with a prestigious Management Consulting firm? TalentKompass Deutschland, a leading Human Resources company based in Germany, is searching for a highly motivated Frontend Development Intern to join our esteemed client. This remote position offers a unique chance for someone who is passionate about web development and eager to learn in a dynamic and fast-paced environment. As a Frontend Development Intern, you will work closely with the development and consulting teams, where you will be responsible for a range of tasks, including coding, debugging, and collaborating on innovative web solutions. You will have the extraordinary opportunity to learn from experienced professionals who will provide mentorship and guidance throughout the internship. With this internship, you will gain valuable experience in frontend development, web design, and teamwork – all essential skills for a successful career in this field. Responsibilities: Assist in the development, testing, and maintenance of web applications using HTML, CSS, and JavaScript Collaborate with cross-functional teams to gather requirements and design user interfaces Debug and troubleshoot frontend issues, ensuring optimal performance and user experience Implement responsive web design principles to ensure applications render well on various devices and screen sizes Adhere to coding best practices and maintain code quality Participate in code reviews and contribute to the improvement of development processes Support the team with general administrative tasks as needed Requirements: Basic understanding of web development principles and practices Familiarity with HTML, CSS, and JavaScript Excellent written and verbal communication skills in English Ability to work independently and as part of a team Strong organizational skills and the ability to manage multiple projects simultaneously Knowledge of modern web development tools and frameworks, such as React or Angular, is a plus Experience with version control systems, such as Git, is a plus At TalentKompass Deutschland, we are committed to helping our interns develop their skills and reach their full potential. Our client is a reputable Management Consulting firm that will provide invaluable experience in a competitive industry. Don't miss this fantastic opportunity to jump-start your career in frontend development – apply now!",,,,
7,Junior Java Developer (Remote Internship – IT),Internship,"Kingston, Kingston, Jamaica",https://jm.linkedin.com/jobs/view/junior-java-developer-remote-internship-%E2%80%93-it-at-talentkompass-deutschland-3651754962?refId=biyy4zdIwO28geADQFjXRQ%3D%3D&trackingId=zMh7raS%2B9DAxhN6z7JMNzA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"LOCATION: Remote Work SCHEDULE: Part-time Are you passionate about Java and looking to gain hands-on experience with a prestigious Management Consulting firm? TalentKompass Deutschland, a top Human Resources company based in Germany, is searching for a motivated Java Development Intern to join our esteemed client. This remote position offers an extraordinary opportunity for someone who is excited to learn and develop their skills in a dynamic and fast-paced environment. As a Java Development Intern, you will work closely with the consulting and development teams, where you will be responsible for a range of tasks, including coding, debugging, testing, and implementing Java applications. You will have the unique opportunity to learn from experienced professionals who will provide mentorship and guidance throughout the internship. With this internship, you will gain valuable experience in Java development, software engineering principles, and teamwork – all essential skills for a successful career in this field. Responsibilities: Assist in the development and implementation of Java applications Collaborate with cross-functional teams to gather requirements and develop solutions Write, test, and debug Java code, adhering to best practices and coding standards Participate in code reviews and contribute to the improvement of the codebase Support the team with general administrative tasks as needed Contribute to software documentation and maintain version control Requirements: Basic understanding of Java programming and object-oriented principles Familiarity with Java development tools, such as Eclipse, IntelliJ IDEA, or similar Excellent written and verbal communication skills in English Ability to work independently and as part of a team Strong analytical and problem-solving skills Knowledge of web and mobile application development is a plus Experience with Java frameworks, such as Spring or Hibernate, is a plus At TalentKompass Deutschland, we are committed to helping our interns develop their skills and reach their full potential. Our client is a reputable Management Consulting firm that will provide invaluable experience in a competitive industry. Don't miss this incredible opportunity to launch your career in Java development – apply now!",,,,
8,"Senior Staff Backend Engineer (Python, Streaming sets, AWS, Pytest)",Full-time,"Kingston, Kingston, Jamaica",https://jm.linkedin.com/jobs/view/senior-staff-backend-engineer-python-streaming-sets-aws-pytest-at-equals-true-3628071045?refId=biyy4zdIwO28geADQFjXRQ%3D%3D&trackingId=vMP63b%2FLH3rwaF1whLnDFQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"We believe that for Equality, Diversity, and Inclusion to thrive in the workplace all individuals must feel Safe, Valued, and Respected. And that the only way to accomplish this is if the business model places these priorities first. Which is exactly what we do each day. We are a Female, LGBTQ, and Minority led virtual-first startup that welcomes technologists from all lifestyles, theologies, cultures, disabilities, and backgrounds. And seeks to empower people with the freedom to own their remote career path in a safe merit driven transparent culture where everyone is treated equally. So if you are looking for a new career partner that is remote-first, has a social mission, and only works with companies that share our values… then let’s talk about our Senior Staff Backend Engineer today. Here is what we can tell you about the role. THE WORK You Will Work With Leadership And The Engineering Team Members To Elevate The Performance Of Your Team And The Teams Around You In The Department By Establishing Sound Engineering Practices And Principles As a Senior Staff Backend Engineer, your knowledge and experience will drive the design, architecting, and implementation of a data ingestion platform. Collaboration with product owners and team members in the re-architecting/design, building, scaling, and maintenance of a data ingestion pipeline. Mentor junior developers via pair programming, code reviews, and other technical leadership opportunities. Contribute engineering best practices to the team and across the organization. Effectively communicate with peers, stakeholders, and leadership. Document decision making and important principles and practices of the team. Foster a security first mindset across the team. Build and design secure end to end systems and able to recognize obscure security threats that go unnoticed to others. Understands testing philosophy and brings in the best testing(load/unit/performance) practices, automation techniques and frameworks to the team. Perceives events symptomatic to problems needing attention and rectifies symptoms based on SLAs with long term solutions and design patterns. NEEDED EXPERTISE 6+ years of experience designing and developing scalable data pipelines. Bachelor’s of Computer Science, or equivalent combination of education and experience, professional certification preferred. Must have working knowledge of design patterns/anti patterns, event driven, and cloud architectures. Must have working experience with AWS, microservices architectures. Must have working experience of highly scalable distributed and cloud native databases. Must be proficient at building applications with Python and have experience with its open source libraries and testing frameworks such as Pytest. Good working knowledge of SQL, Git, docker, and modern CI/CD pipelines. Knowledge of Streamsets or AWS Glue is a plus. Must have excellent verbal, non-verbal, and written communication skills, including ability to effectively communicate with internal and external customers. Comfortable working in a team setting and able to provide and receive constructive feedback. Experience with the healthcare industry is desirable Our Benefits & Perks A strong company culture whilst working on a 'remote-first’ basis Engaging virtual meetings, company updates, and cultural celebrations Paid vacation & national holidays Performance bonus plan Holiday bonus Career development Wellness program Interested? Great, then please send us your CV/Resume to start the conversation and find out more. EQUALS TRUE is a global inclusive talent network of like-minded software engineers, agileist, and design thinkers. We build and develop safe, inclusive, equitable and balanced remote teams for companies that need to scale globally in a socially responsible way. EQUALS TRUE is inclusive to all and all of our career opportunities are fully-remote. We never exclude qualified people, we practice wage equality, we make every effort to accommodate disabilities, and only work with companies that share our values. We are proud to be a global equal opportunity affirmative action employer. And we do not discriminate based upon race, religion, color, national origin, sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, gender stereotypes, age, status as a veteran, or status as an individual with a disability. We also consider qualified applicants with non-violent, and non-financial related criminal histories. EQUALS TRUE is committed to providing reasonable accommodations for candidates with disabilities in all our talent processes. If you need any assistance or accommodations due to a disability, please let us know. https://equalstrue.global #EQUALSTRUE",,,,
9,Junior Java Engineer,Full-time,"Kingston, Kingston, Jamaica",https://jm.linkedin.com/jobs/view/junior-java-engineer-at-grid-dynamics-3575056816?refId=biyy4zdIwO28geADQFjXRQ%3D%3D&trackingId=DRGec8SUBe6TVusYOLwp2A%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"Description Position at Grid Dynamics We seek a  Junior Java Engineer , who is interested in joining our growing project that is responsible for developing a highly scalable and distributed platform for one of the largest world-leading manufacturer As a member of this team, you will be working in a collaboration with a team of worldwide recognized experts. This is an excellent opportunity to become a contributor to the project and dive deeply to modern technologies. Responsibilities Participate in and contribute to design and development of high-perform high-available business application, from requirements analysis to production Search for simple and robust solutions to complex tasks Work in an agile methodology environment where innovation, teamwork, and creativity are the key to success Collaborate with a distributed team of developers, QA engineers, analysts  Requirements 1+ years in Software Development is a must Knowledge of Java platform, understanding of JVM internals Education in Computer Science or similar theoretical knowledge in CS: algorithms and complexity estimation, data structures, operating systems, programming languages Good understanding of future working environment, like DevOps tools and practices, basic understanding of cloud technologies and frameworks Basic knowledge of Linux/Unix-based operating systems Good interpersonal communication skills, both verbal and written Good written English  We Offer Work on bleeding-edge projects in a team of experienced and motivated developers and QA engineers Flexible working hours Medical insurance, a benefits package, company-sponsored conferences, vacations Well-equipped office About Us Grid Dynamics is the engineering services company known for transformative, mission-critical cloud solutions for retail, finance and technology sectors. We architected some of the busiest e-commerce services on the Internet and have never had an outage during the peak season. Founded in 2006 and headquartered in San Ramon, California with offices throughout the US and Eastern Europe, we focus on big data analytics, scalable omnichannel services, DevOps, and cloud enablement.",,,,
