,Title,Jornada,Ciudad,URL,Descripcion,Compañia,Nº Empleados,Rubro,País
0,Jr Data Scientist,Jornada completa,Área metropolitana de Ciudad de México,https://mx.linkedin.com/jobs/view/jr-data-scientist-at-stori-3641783901?refId=Mz8B7GAtc2lmBK8f%2Fw35ZQ%3D%3D&trackingId=giLeNJOfSmFdqjNRz2VYIQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"About Stori Stori is a fast-growing, venture-backed financial technology company, on a mission to democratize credit access for 400 million underbanked LatAm consumers. Stori currently operates in Mexico and has a global team with offices in Arlington Virginia, Mexico City, and Asia. We have quickly made our mark as one of the top digital banks in Mexico with more than two million applicants for our credit card product since launching. Stori is one of the top-funded startups in the region with US$250 million raised to date. We are backed by top global venture capital funds, such as GGV Capital, GIC, Lightspeed Venture Partners, General Catalyst, Goodwater Capital, Mexico's Tresalia Capital, Vision Plus Capital, BAI Capital and Source Code Capital; who have successfully invested in startups such as Affirm, Airbnb, Alibaba, Stripe, and TikTok. Stori has a standout founder team among fintechs, leveraging 100+ years of accumulated experience in consumer finance, banking and technology across Mastercard, Intel, Capital One, Morgan Stanley, GE Capital, and HSBC in the U.S., Mexico and Asia. The team has launched and managed many multi-million-customer credit card products globally, providing a wide breadth of experience and knowledge to our team. We welcome diversity of background, experience and thinking. Storians are passionate about our mission and take pride in the products we build. Our culture thrives off of a flat structure and an inclusive environment where all of our employees can be their authentic selves, with boundless opportunities for professional growth. Responsibilities As a customer-centered company, customer understanding is the top mission of data scientists at Stori. Among all the sources to be used in customer understanding, Stori data scientists use ""Data"" as the most reliable one. On any given day you will be challenged on three types of work – Modeling and Monitoring, Data Analytical Problem Solving and Innovation: Modeling (guided or independently): Communicate with the business intent holders to understand the new business initiative Design a model as a product Data collection, processing and transformation Explore new sources Build, demonstrate and maintain modeling solutions from end to end Analytical Problem Solving Translate vague context and phenomenon into structure analytical problems and leverage statistical knowledge, machine learning models and visualization to derive meaningful insights on business intents and strategies using data Design A/B testing for business intent measurement.  Perform testing analysis on regular basis Innovation We embrace rapid development in technology and science. You will be encouraged to explore advanced tools or information sources that can help the team in problem understanding, problem solving and product maintenance An ideal team partner shares:  Passion, Curiosity and Problem Solving As a data scientist at Stori, you will be facing varied problems throughout the life cycle of credit. Though we encourage talents with varied backgrounds to join us, to solve the puzzles with us together, we believe these are the keys: Passion for data: Data is the foundation of everything at the Stori Data Science team. We believe in the power of machine learning but data is always our most trustworthy friend.  Curiosity: We believe curiosity is the best mentor to data scientists. We are not only looking for data scientists, but more importantly, we are looking for partners that can inspire us with their wonders.  Problem solving: Data scientists at Stori solve puzzles. We use data to understand our customers, we also use data to provide solutions in helping customers. The journey of problem solving can be sometimes challenging but mostly fun if you have Passion and Curiosity.  Basic Qualifications Bachelor degree in Computer Science, AI, Physics, Statistics, Applied Math or other quantitative fields 1+ years of work experience with Python and SQL programming for data analysis 1+ years of work experience in data analysis or data science Solid oral and written communication skills, especially around analytical concepts and methods Demonstrated ability to work under pressure and to meet tight deadlines with proactiveness, decisiveness and flexibility Passion in problem solving with data and data analytics Advanced level of english Preferred Qualifications 1+ years of experience with credit industry 1+ years of work experience with Python programming 1+ years of work experience with Machine Learning or Statistical Modeling Working experience with AWS Experience managing projects independently Passion in problem solving with data and data analytics Self-motivated with intellectual curiosity Proven ability to quickly learn new technologies, concepts and tools What We Offer Make a positive impact on the lives of our customers via financial inclusion Professional development opportunities  International exposure & work experience Competitive salaries  Flexible schedule including remote work Generous vacation  English classes Mental health support Extended maternity and paternity leave Yoga and exercise classes Company swag Legally required benefits",Stori,446,Banca,"Ciudad de México, Ciudad de México"
1,Data Scientist,Jornada completa,"Ciudad de México, México",https://mx.linkedin.com/jobs/view/data-scientist-at-huawei-3635052666?refId=Mz8B7GAtc2lmBK8f%2Fw35ZQ%3D%3D&trackingId=sNMJbM49SAzC2%2F5kAIH0KQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"We are looking for a Data Scientist of telecom industry to analyze large amounts of raw information to find patterns that will help improve our customers. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research. Your goal will be to help our customers analyse trends to make better decisions. Responsibilities 1).Engaging telecom carriers and collecting the requirements related to business intelligence and precise marketing, network planning etc 2).Undertaking data collection, preprocessing and analysis 3).Building predictive models and machine-learning algorithms to address business problems in the given period 4).Presenting key findings by using data visualisation techniques, tableau,dash etc 5).Propose solutions and strategies to business challenges Qualifications Education BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred Work Experience Business Requirements Knowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an asset Experience in data mining, proven experience as a Data Scientist or Data Analyst is preferred Understanding of machine-learning and operations research Experience using business intelligence tools (e.g.Tableau,Dash) and data frameworks (e.g.Hadoop) Excellent communication and presentation skills",华为,173930,电信业,Shenzhen，Guangdong
2,Data Science,Jornada completa,"Ciudad de México, México",https://mx.linkedin.com/jobs/view/data-science-at-totalplay-3648582646?refId=Mz8B7GAtc2lmBK8f%2Fw35ZQ%3D%3D&trackingId=t%2B486bmLvElVrK8jhOW4MA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"Totalplay, empresa mexicana de Grupo Salinas líder en el ramo de TELECOMUNICACIONES , comprometida con la igualdad laboral y no discriminación, se encuentra en búsqueda de:  DATA SCIENCE Escolaridad: Ing. Telecomunicaciones y/o Electrónica, Tecnologías de Información o afín. (TITULADO) Inglés: Intermedio. Conocimientos: DBA (Avanzado). Python Conocimientos en Paquetería Office (Avanzado). Redacción y Ortografía (Avanzado). Certificación ITIL (Básico) Habilidades de liderazgo e interpersonales (Intermedio). Analizar las necesidades de información que se requieren en las plataformas para la presentación de informes, así como para la operación sencilla y eficaz. Aplicación: Se requiere para comprender las necesidades de datos del área y planificar los objetivos de las bases de datos. Se requiere tener el conocimiento de ITIL para lograr entender y dar servicio al cliente. Se requiere conocimiento avanzado en la paquetería de Office por el manejo administrativo de gestión de la información y reporteo. Es necesario comunicarse asertivamente de manera escrita y oral con todos los niveles de la organización. Debe ser capaz de comunicar e influir en las personas, es importante para llevar a cabo los objetivos del negocio. Ofrecemos: Sueldo competitivo con base a perfil. Prestaciones de ley. Crecimiento profesional. Excelente ambiente laboral. ¡Si cumples con el perfil, postularse por este medio!",Totalplay,8805,Telecomunicaciones,"Álvaro Obregón, Mexico City"
3,Data Scientist,Jornada completa,"Monterrey, Nuevo León, México",https://mx.linkedin.com/jobs/view/data-scientist-at-chubb-3640899539?refId=Mz8B7GAtc2lmBK8f%2Fw35ZQ%3D%3D&trackingId=OTCp8nNoHGujMFWdPBjvjQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"Job Requirements Key Objectives The Data Scientist will utilize their expertise in statistical analysis and machine learning techniques to identify patterns and trends in large datasets related to the auto insurance industry in Mexico. The successful candidate will provide actionable insights to business stakeholders based on their findings, ultimately driving improved decision-making and business outcomes. Major Duties And Responsibilities  Use statistical analysis and machine learning techniques to identify patterns and trends in large datasets related to the Mexican auto insurance industry.  Develop predictive models to forecast future trends or outcomes to support business decision-making.  Communicate findings and insights to a range of technical and non-technical stakeholders, including senior management. Collaborate with business stakeholders to identify opportunities to use data to drive business value and support strategic objectives. Continuously improve data quality, accuracy, and reliability by identifying and investigating sources of error and uncertainty in the data and taking steps to mitigate any potential impacts. Work Experience Desired Qualifications Proficiency in Python or R programming. Experience with SQL for data handling and manipulation. Understanding of mathematical and statistical concepts. Intermediate to advanced Excel skills. Intermediate level of English proficiency. Basic knowledge of data visualization tools such as Tableau or Power BI. Minimum 3 years of experience working in data and business analytics and solving complex problems  Previous experience working in any tech related industry is strongly preferred",Chubb,33701,Versicherungswesen,
4,Data Scientist,Jornada completa,"Monterrey, Nuevo León, México",https://mx.linkedin.com/jobs/view/data-scientist-at-chubb-3641064651?refId=Mz8B7GAtc2lmBK8f%2Fw35ZQ%3D%3D&trackingId=UI29qS%2F8dOru2QoJOdyFAg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"Job Requirements Key Objectives The Data Scientist will utilize their expertise in statistical analysis and machine learning techniques to identify patterns and trends in large datasets to develop models and set them in a production environment. The successful candidate will provide actionable insights to business stakeholders based on their findings, ultimately driving improved decision-making and business outcomes. Major Duties And Responsibilities Use statistical analysis and machine learning techniques to identify patterns and trends in large datasets related to the Mexican auto insurance industry. Develop predictive models to forecast future trends or outcomes to support business decision-making. Communicate findings and insights to a range of technical and non-technical stakeholders, including senior management. Set Machine Learning models in production environment. Collaborate with business stakeholders to identify opportunities to use data to drive business value and support strategic objectives. Continuously improve data quality, accuracy, and reliability by identifying and investigating sources of error and uncertainty in the data and taking steps to mitigate any potential impacts. Work Experience Desired Qualifications Proficiency in Python or R programming. Experience with SQL for data handling and manipulation. Understanding of mathematical and statistical concepts. Intermediate to advanced Excel skills. Intermediate level of English proficiency. Experience setting ML Models in a production environment. Minimum 3 years of experience working in data and business analytics and solving complex problems Previous experience working in any tech related industry is strongly preferred",Chubb,33701,Versicherungswesen,
5,Junior Data Scientist (AI Focused) - MX,Jornada completa,"Ciudad de México, México",https://mx.linkedin.com/jobs/view/junior-data-scientist-ai-focused-mx-at-within-3604756828?refId=Mz8B7GAtc2lmBK8f%2Fw35ZQ%3D%3D&trackingId=Y3WK9KuIG7%2BJ0eSnq2vrLw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"Please submit your resume in English. About the Role:  We are seeking for a talented and motivated Junior Data Scientist to work directly with our leadership team. As a Junior AI Developer, you will be responsible for building AI-driven solutions and integrating them into our company-wide initiatives. You will work closely with our Operations, Digital, Data, and Developers teams to create and implement cutting-edge AI technologies that will help our agency drive value and automation to every role. Responsibilities include but are not limited to; Work directly with our leadership team to develop AI-driven solutions that drive value and automation to every role. Collaborate with our Operations, Data, and Developers teams to design and build AI models and algorithms to drive predictive and prescriptive analytics for our agency. Explore and implement new technologies and tools to improve the efficiency and accuracy of our AI solutions. Write clean, efficient, and well-documented code. Stay up-to-date with the latest developments in AI research and technologies. Collaborate with cross-functional teams including designers, copywriters, project managers, and account managers. Participate in company-wide initiatives that drive value and automation to every role. Requirements Bachelor's or Master's degree in computer science, mathematics, physics, data science, artificial intelligence, or a related field. Experience or knowledge leveraging new and existing AI/NLP/ML/LLM technologies to build solutions Experience in building APIs across different platforms Experience building and maintaining databases Knowledge of machine learning techniques and frameworks such as TensorFlow, Keras, and PyTorch. Experience with programming languages such as Python, Java, or C++. Understanding of data structures, algorithms, and software design principles. Familiarity with cloud computing platforms such as AWS, Azure, or Google Cloud Platform. Excellent problem-solving skills and attention to detail. Strong communication skills and the ability to work in a team environment. Ability to learn and adapt quickly in a fast-paced environment. Passion for technology and a curiosity to learn new things. Showcase your AI expertise: For this AI-focused role, we are seeking candidates who have a strong understanding of AI concepts and have experience in applying those concepts to real-world problems. As part of the application process, we are requiring that you tell us about a recent AI project that you created, and optionally submitting that project that demonstrates your AI expertise. Benefits About Us: WITHIN is the world's first Performance Branding company, partnering with some of the biggest brands in the world to drive business growth through innovative marketing strategies. Our integrated operating model collapses the traditional marketing silos between creative and media, performance and brand, and across media channels. With a full suite of offerings including media, creative, SEO, Lifecycle, Retail Media, Affiliate and Influencer, we’re able to work with our brand partners in an integrated fashion, allowing us to align marketing strategies back to core business objectives. Client teams at WITHIN are trained on how to always act as a trusted business partner, acting as a fiduciary to client needs above our own. Teams at WITHIN have the ability to work with iconic brands such as The North Face, Timberland, Movado Watches and Jose Cuervo. Everyone at WITHIN wants to grow and be challenged. It’s a collaborative place made up of small, closely knit and versatile teams that are fast and adaptive to solve problems and build systems. We offer a competitive salary and benefits based on ability level including:  Base salary DOE Unlimited vacation policy Monthly phone/internet and food stipend Health insurance coverage Remote work (this is a remote role, but must be based in Mexico City)",WITHIN,210,Advertising Services,"Long Island City, New York"
6,Data Scientist 1,Jornada completa,"Ciudad de México, México",https://mx.linkedin.com/jobs/view/data-scientist-1-at-paypal-3651777560?refId=Mz8B7GAtc2lmBK8f%2Fw35ZQ%3D%3D&trackingId=BryeExiReqfveT2La%2BDePQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives. Job Description Summary: The Merchant Pricing-FX Analytics & ML team at PayPal plays a critical role in driving acceleration for PayPal’s top and bottom line by using the scientific method to advocate for decisions founded in data-driven insights. This team sits at the intersection of Strategy, Product, and Sales, and has a front-row seat to Senior Leadership discussions on PayPal’s monetization strategy. Data Scientist for Pricing-FX Product Analytics team who is very strong at generating valuable insights from data through deep dive analysis, experienced at supporting new product launches by establishing test and control plans and ensuring constant monitoring is in place to track product performance. Job Description: About You  We are seeking an exceptional Data Scientist for Pricing-FX Platform Analytics team with a passion for data insights and relentless focus on execution:  You are curious and inquisitive: love digging into data and uncovering insights   You are hyper-analytical and intellectually honest, truly believing in data-driven decisions and communicating your ideas through storytelling  You are a highly motivated, result-oriented self-starter, enjoy working in a fast-paced environment, and can deliver successful results with minimal guidance  You are a player-coach, and are not afraid of rolling up your sleeves and jumping into details  Your day to day:  Challenge the status quo, and drive data backed decision making  Partner closely with product leaders to understand new product offerings being built and recommend the right metrics to measure the performance of those features  Identify key metrics, conduct rigorous explorative data analysis, create executive facing dashboards and build business cases that drive decision making and business prioritization  Analyze product performance and health, triage issues, and provide recommendation on the best course solution and optimization  Synthesizing large volumes of data with attention to granular details and present findings and recommendations to senior-level stakeholders  Collaborate with engineering and data engineering to enable feature tracking, resolve complex data and tracking issues, and build necessary data pipelines  Define and cultivate best practices in analytics instrumentation and experimentation  Support multiple projects at the same time in a fast-paced, results-oriented environment  Mentor junior analysts on complex analyses What do you need to bring:  At least 5 years of experience analyzing large, multi-dimensional data sets and synthesizing insights into actionable solutions  B.S. in a quantitative field, advanced degrees preferred  Fluent in SQL and scripting languages such as Python or R, comfortable working with large, complex, and potentially messy datasets  Understanding of statistics (e.g. hypothesis testing, statistical inference, regression) and experience designing and evaluating complex experiments   Exceptional communication skills, both written and verbal, to influence cross-functional teams  Strong interpersonal skills and experience leading cross-functional teams  Prior work experience in a product analytics space would be highly valued  A passion for problem-solving and comfort with ambiguity Our Benefits: At PayPal, we’re committed to building an equitable and inclusive global economy. And we can’t do this without our most important asset—you. That’s why we offer benefits to help you thrive in every stage of life. We champion your financial, physical, and mental health by offering valuable benefits and resources to help you care for the whole you. We have great benefits including a flexible work environment, employee shares options, health and life insurance and more. To learn more about our benefits please visit https://www.paypalbenefits.com Who We Are: To learn more about our culture and community visit https://about.pypl.com/who-we-are/default.aspx PayPal has remained at the forefront of the digital payment revolution for more than 20 years. By leveraging technology to make financial services and commerce more convenient, affordable, and secure, the PayPal platform is empowering more than 400 million consumers and merchants in more than 200 markets to join and thrive in the global economy. For more information, visit paypal.com. PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com. As part of PayPal’s commitment to employees’ health and safety, we have established in-office Covid-19 protocols and requirements, based on expert guidance. Depending on location, this might include a Covid-19 vaccination requirement for any employee whose role requires them to work onsite. Employees may request reasonable accommodation based on a medical condition or religious belief that prevents them from being vaccinated. REQ ID R0104345",,,,
7,Data Science,Jornada completa,"Guadalajara, Jalisco, México",https://mx.linkedin.com/jobs/view/data-science-at-hcltech-3654960994?refId=Mz8B7GAtc2lmBK8f%2Fw35ZQ%3D%3D&trackingId=iLP%2BTJDyOjhSD%2B1hRIkQvw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"HCL is looking for Data Science with the below skills:  RESPONSIBILITIES: Create machine learning solutions, including artificial intelligence, for a diverse set of problems. Main area of work involves anomaly detection from performance data of Telecom network elements. Employ structured approaches to leveraging large data sets to uncover new insights and devise ways to detect and heal the mal-functioning systems. Drive acquisition of new data sources from System test, Service teams and customers. Choose appropriate ML Algorithms for the given problem domain. Curate the data and arrive at data sets to train the ML algorithms. Continuously monitor the performance of the deployed AI/ML solution and fine tune the system. Buildinging complex data sets from multiple data sources. Build learning systems to analyze and filter continuous data flows and offline data analysis. Conduct advanced statistical analysis to determine trends and significant data relationships. Demonstrates up-to-date expertise and applies this to the development, execution, and improvement of action plans. Develop custom data models to drive innovative business solutions. Scale new algorithms to large data sets. Train algorithms to apply models to new data sets. Provides and supports the implementation of business solutions Research new techniques and best practices within the industry. Utilize system tools including (Python, SQL, Hadoop). Validate models and algorithmic techniques. Work with cross-functional teams within the organization. BASIC QUALIFICATIONS / QUALITIES WE LOOK FOR: A minimum of 5 items are required* Experience: MUST HAVE SKILLS (Most Important): • Bachelor's Degree in related field • 5 + years of experience in Data scientist • Should have good experience in Data Preprocessing, • Should have good hands-on experience in Data Transformation (Exploring Data Analysis) • Hands on Experience in have experience Machine Learning, Deep Learning • Extensive experience in NLP Supervised and Unsupervised learning experience, • Hands on experience in data modelling, predictive modelling, Trees based algorithm & Data Mining technics • Good Hands-on experience in Python programming • Good Hands-on Data Analysis • High proficiency in coding languages, including Python and SQL. • High proficiency in data mining, modeling, validation and insight generation. • Excellent working knowledge of statistics, mathematics and machine learning algorithms. • Demonstrated experience leading medium to large scale complex technology projects. • PREFERRED QUALIFICATIONS DESIRED SKILLS: • DevOps experience preferred. • Hadoop experience preferred • Excellent verbal and written communication skills. • Strong product development capabilities in an enterprise or cross-functional role • Delivery capability in technology Benefits: Salary between $45,00 to $70,000 Brutos (Antes de Impuestos) Fondo de Ahorro: $98,000 per year Vales de despensa: $3,150 per month 30 dias de aguinaldo Reparto de utilidades Seguro de Gastos Medicos Mayores Seguro de Gastos Medicos Menores Seguro de Vida",HCLTech,231222,IT Services and IT Consulting,"Noida, Uttar Pradesh"
8,Artificial Intelligence Engineer,Jornada completa,"Ciudad de México, México",https://mx.linkedin.com/jobs/view/artificial-intelligence-engineer-at-aluxion-3639776509?refId=Mz8B7GAtc2lmBK8f%2Fw35ZQ%3D%3D&trackingId=HZsZmLB9Xn6LZ7RUzei1Hw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"Queremos ayudar a construir el futuro a través de la tecnología, aportando soluciones digitales que ayuden a cambiar diferentes sectores de nuestra sociedad. Somos el primer Exponencial Tech Hub basado en España, que trabaja día a día en cambiar como interactuaremos en el mañana. Nuestros valores En ALUXION defendemos y buscamos los siguientes valores en nuestros aluxioners, lo que define nuestro alma y nuestra forma de ser como equipo y como personas: Exponencialidad: Pensar más allá y adaptarnos a los cambios con las últimas tecnologías y metodologías. Transparencia: Creemos en contar las cosas como son y en escuchar, como motor de cambio y de progreso en la empresa. Vanguardia: No tener miedo a estar siempre a la última y convertirnos en líderes de nuestro sector. Pasión: Amar lo que uno hace como motor de su día a día y como forma de vida. Responsabilidad: Tenemos que tener responsabilidad con nuestros compañeros y con nuestra sociedad. Locura: Quienes están lo suficientemente locos para pensar que pueden cambiar el mundo, son quienes lo cambian. ¿Qué estamos buscando? Buscamos un desarrollador con experiencia en inteligencia artificial generativa para unirse a nuestro equipo de innovación. El candidato ideal tendrá conocimientos y habilidades en: Programación en Python. Frameworks de deep learning como TensorFlow, PyTorch o Keras Modelos generativos como GANs, VAEs o Transformers Experiencia en aplicaciones de IA generativa como generación de texto, imagen, audio o vídeo, ejemplo, OpenAI, Anthropic o Stable Diffusion Metodologías ágiles de desarrollo de software Ofrecemos: Salario competitivo Formación continua y oportunidades de crecimiento profesional Proyectos retadores y punteros en el campo de la IA generativa Ambiente de trabajo dinámico y colaborativo Full-time remote job Powered by JazzHR 5xh6kuwxKv",ALUXION,24,Desarrollo de software,"Madrid, Comunidad de Madrid"
9,Data Scientist,Jornada completa,"Ciudad de México, México",https://mx.linkedin.com/jobs/view/data-scientist-at-capgemini-engineering-3650065049?refId=Mz8B7GAtc2lmBK8f%2Fw35ZQ%3D%3D&trackingId=ani8ys5BYQ2vWKuUOptLMQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"Data Scientist Engineer      What you'll do:   Critical Thinking:  Able to influence the strategic direction of the company by finding opportunities in large, rich data sets and crafting and implementing data driven strategies that fuel growth including cost savings, revenue, and profit.  Modeling:  Assessments, and evaluating impacts of missing/unusable data, design and select features, develop, and implement statistical/predictive models using edge algorithms on diverse sources of data and testing and validation of models.  Analytics:  Use analytical applications and languages like Python, Alteryx, and tools in GCP to identify trends and relationships between different pieces of data, draw appropriate conclusions and translate analytical findings into business strategies or analytics software.  Data Engineering:  Experience with crafting ETL processes to source and link data in preparation for Model/Algorithm development. This includes domain expertise of data sets in the environment, third-party data evaluations, data quality  Visualization:  Build visualizations to connect disparate data, find patterns and tell engaging stories. This includes both scientific visualization as well as geographic using applications such as QlikSense and GCP Data Products    We seek:    Master’s degree in Computer Science, Mathematics, Physics, Electrical Engineering or related field or a combination of education and equivalent experience.  3+ years of experience of practicing statistical methods and their accurate application e.g. ANOVA, principal component analysis, correspondence analysis, k-means clustering, factor analysis, multi-variate analysis, Neural Networks, causal inference, Gaussian regression, etc.  3+ years’ experience with Python, SQL, Cloud (preferably GCP).  3+ years’ Experience with big data technologies such as Azure Data Lake, GCP Big Query, Databricks, Spark, Hadoop, Kafka, SQL and NO-SQL databases, etc.      Our preferred qualifications:   PhD degree in Computer Science, Mathematics, Physics, Electrical Engineering or related field or a combination of education and equivalent experience.  Demonstrated successful application of analytical methods and machine learning techniques with measurable impact on product/design/business/strategy  Expertise in open-source data science technologies such as Python, R, Spark, Hadoop, etc. acquired through college course work, online training and certification or project development.  Demonstrated expertise in commercial tools such as Alteryx, Qlikview / Qliksense, Tableau or PowerBI acquired through training and/or implementation on projects  Familiarity working with Automotive OEM/ Ford connected vehicle data & relevant infrastructure.  Self-motivated with excellent verbal and written skills.  Highly credible in organizational, time management, decision making and problem-solving skills.  Familiarity working with big data to develop scalable, production-ready solutions.  About Capgemini Engineering: We are a global leader in consultancy and top-notch software development services, we have presence in over 40 countries with over 300k collaborators across sectors including aeronautics, automotive, railways, communications, energy, life sciences, semiconductors, software & internet, space & defense and consumer products. We work on strategic and ambitious projects in many different industries of some of the biggest clients on the planet. Get the future you want! At Capgemini Mexico, we aim to attract the best talent and are committed to creating a diverse and inclusive work environment, so there is no discrimination based on race, sex, sexual orientation, gender identity or expression, or any other characteristic of a person. All applications welcome and will be considered based on merit against the job and/or experience for the position.",Capgemini Engineering,49849,Services et conseil informatiques,"Paris, Île-de-France"
