,Title,Jornada,Ciudad,URL,Descripcion,Compañia,Nº Empleados,Rubro,País
0,Growth Engineer to Pioneer LLM Driven Growth Strategies,Jornada completa,"Managua, Nicaragua",https://ni.linkedin.com/jobs/view/growth-engineer-to-pioneer-llm-driven-growth-strategies-at-text-blaze-3646359840?refId=o%2B22ReeM9cM9LCuy8pCvIQ%3D%3D&trackingId=DcndQmpX2kxi2pI9adfawg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"We are seeking a Growth Engineer who is passionate about leveraging large language models (LLMs) to transform the world of growth marketing. In this role, you'll have the unique opportunity to drive our user acquisition and activation journey end-to-end, exploring and experimenting with innovative ways to use LLMs to promote Text Blaze’s capabilities and grow existing users' usage of Text Blaze by generating personalized content tailored to each user. About Text Blaze At Text Blaze, we're dedicated to freeing users from tedious work by providing them with simple yet powerful solutions. We're fast-paced, data-driven, and constantly iterating based on the needs of our users. Joining us means being part of a profitable, fast-growing company that already has an excellent product-market fit and a deeply loyal user base of over 300,000 users. As a member of our founding team, you'll have a substantial impact on our product, strategy, and culture. We're fully remote. You'll be part of a team that embraces ownership and impact, all while working comfortably from your own home. Skills And Qualifications A passion for talking to users and understanding their problems. A knack for identifying business needs and developing technical solutions to address them. An eye for design and comfort with designing your own UI's and solutions. Experience or strong interest working with large language models, prompt engineering and post-processing Proficiency in SQL, Python and JavaScript This is an opportunity to be at the forefront of the LLM-driven growth revolution. If you're eager to rethink growth and transform how we interact with potential users, we'd love to hear from you.",Text Blaze,17,"Tecnología, información e internet",
1,BI/SQL Developer,Jornada completa,"Managua, Nicaragua",https://ni.linkedin.com/jobs/view/bi-sql-developer-at-now-optics-3638882030?refId=o%2B22ReeM9cM9LCuy8pCvIQ%3D%3D&trackingId=F8wsl%2B7eRrvWXYVMdvsKyg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"I. Summary/Objective A BI/SQL developer is an engineer that’s in charge of developing, deploying, and maintaining BI interfaces. Those include query tools, data visualization and interactive dashboards, ad hoc reporting, and data modeling tools. This role is also responsible for supporting the business users and database team by building reports and bringing analytics insights. II. Responsibilities Complete subtasks and/or tasks under the direction of manager as part of a larger technology effort or initiative.  Develop an understanding of Tableau & SQL technology approaches, tools and methodologies.  Develop artifacts, as required and ensure documentation meets/exceeds IT standards.  Participate in project team meetings and provide status updates, as appropriate.  Effectively communicate activities and findings in both oral and written formats.  Source data from various source systems running on SQL Server or other DBMS.  Work with system owners to determine proper business requirements & data and table relationships  Extract, load, and transform the source data into a SQL Server data warehouse  Assist in the creation of Tableau dashboards and reports to consume the data in the Enterprise Data Warehouse  Work with report users to validate business requirements and ensure proper data is available  Test the accuracy of data  III. Education And Experience 1-3yrs experience in a Junior level SQL and/or Tableau/Power BI role  Strong knowledge of SQL and/or visualization tools is a major plus with a desire to learn other systems & technologies.  Basic working knowledge of API is a plus  Required Skills Strong Verbal Communication Skills, Organizational Skills  Ability to be well organized, thorough, and able to handle competing priorities  Interpersonal Skills  Business Acumen  Technical Skill and Computer Knowledge.  Ability to work both independently and as a member of a team  Follow and implement good practices into systems.  Ability and drive to thrive in a fast-paced environment with shifting priorities.  Attention to detail with the ability to prioritize and execute tasks efficiently.  Good English proficiency",,,,
2,Python Developer,Jornada completa,Nicaragua,https://ni.linkedin.com/jobs/view/python-developer-at-launchpad-technologies-inc-3619528398?refId=o%2B22ReeM9cM9LCuy8pCvIQ%3D%3D&trackingId=c3KtOm%2F4iuAUPUjUeWVKzQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"Recognized as one of Canada’s fastest-growing companies, Launchpad provides next-generation integration platform capabilities for connecting and managing enterprise automation and data integration. Headquartered in Vancouver, Canada, our operations span both North and South Americas, with a second headquarter located in Santiago, Chile. In 2021, we were recognized as the winner of the BC Tech Associations Technology Impact Awards 'Company of The Year: Growth'. We recognize the global truth that today, every company is a tech company. To succeed, every company everywhere needs their data and workflows to be integrated and automated. That understanding gave us the confidence to compete with our sector's leading providers, win top-level contracts, and build a truly world-class list of clients that includes Walmart, GM, TIME Magazine, Salesforce, Tableau, Splunk, Bolt.com, Freedom House, and more. Our vision is to bring people and technology together to work seamlessly to achieve extraordinary business outcomes and create more efficient societies. If this sounds like something you want to be part of, we’d love to hear from you. Responsibilities of the role: Provide extended support to users following the End of Life (EOL) of Python 3.7  Ensure coverage for the extended lifecycle support of Python 3.7  Demonstrate expertise in Python and its associated technologies.  Develop Python 3.7 builds with integrated security patches to address vulnerabilities.  Offer technical support for Python-related issues.  Uphold SLA-backed commitments for response times and issue resolution.  Define recommended SLAs for security patch delivery and vulnerability resolution.  Coordinate support and engagement with Splunk teams as necessary.  Evaluate and present enterprise options and associated costs for product/service offerings.  Skills: +4 years of experience in creating and implementing comprehensive test plans and strategies.  2+ years of hands-on experience in developing and executing test scripts, along with managing defects/bugs using standard test management toolsets like TestRail, TestNG, Rational QualityManager, HP Quality Center, Azure, etc.  Proficiency in one or more functional programming languages such as Ruby, Python, Java, JavaScript, .NET, or C#.  Working knowledge of REST API testing tools such as Postman, Swagger, and SoapUI, including the ability to design and build API and data-driven testing frameworks.  Practical experience with Azure and Azure DevOps for test environment setup and management.  Solid understanding and experience with SQL databases, including writing and executing queries for data validation.  Why work for Launchpad? 100% remote People first culture Excellent compensation in US Dollars Hardware setup for working from home Work with global teams and prominent brands based in North America, Europe, and Asia Training allowances Personal time off (PTO) for vacations, study leave, personal time, etc.  ...and more! At Launchpad, we genuinely care about our people as individuals. If you are looking for a team that values growth, drive, and passion for your craft, if you’re seeking a place to achieve your goals and dreams with fairness and integrity, then you are the future of Launchpad. Launchpad is committed to fostering a diverse and representative workforce and an inclusive work environment where all employees are respected and treated equally. Are you ready to elevate your career at Launchpad? We want to hear your story! Contact us today.",Launchpad Technologies Inc.,51,IT Services and IT Consulting,"Vancouver, British Columbia"
3,Python Developer,Jornada completa,Nicaragua,https://ni.linkedin.com/jobs/view/python-developer-at-launchpad-technologies-inc-3650008889?refId=o%2B22ReeM9cM9LCuy8pCvIQ%3D%3D&trackingId=h3rzWrHcW%2BZEycy5OS4YmA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"Recognized as one of Canada’s fastest-growing companies, Launchpad provides next-generation integration platform capabilities for connecting and managing enterprise automation and data integration. Headquartered in Vancouver, Canada, our operations span both North and South Americas, with a second headquarter located in Santiago, Chile. In 2021, we were recognized as the winner of the BC Tech Associations Technology Impact Awards 'Company of The Year: Growth'. We recognize the global truth that today, every company is a tech company. To succeed, every company everywhere needs their data and workflows to be integrated and automated. That understanding gave us the confidence to compete with our sector's leading providers, win top-level contracts, and build a truly world-class list of clients that includes Walmart, GM, TIME Magazine, Salesforce, Tableau, Splunk, Bolt.com, Freedom House, and more. Our vision is to bring people and technology together to work seamlessly to achieve extraordinary business outcomes and create more efficient societies. If this sounds like something you want to be part of, we’d love to hear from you. Main Responsibilities: Build integrations for various data flows between SaaS-based applications and in-house engineering applications.  Analyze data made available by business applications, and work with the various application owners to advise and develop appropriate integrations to meet business goals.  Partner with cross-functional teams to understand use-cases and gather requirements to design, architect and build application integrations. Partner with vendors, MSPs, and engineering teams to ensure seamless end-end flow of quality data.  Assess the needs of product/engineering releases with respect to business objectives, security, data dependency, compliance, and timeliness of releases.  Follow and contribute to integration technology standards, frameworks, principles and roadmap, in partnership with Enterprise Architects and Solutions Architects.  Prioritize and manage demands across multiple projects and provide support to production applications.  Experience & Skills: 3+ years of experience in building enterprise integration applications and cloud-centric solutions across multiple functional areas.  3+ years of Python development experience. Strong understanding of object-oriented programming and software design patterns for building highly scalable applications.  Experience with common API development standards, patterns, and protocols; including REST, SOAP, RPC, AMQP, Pub/Sub, GraphQL, HTTP/S, SSL/TLS, SQL, NoSQL, OAuth, OIDC and SAML.  Experience with cloud computing platforms such as AWS or GCP. Strong understanding of infrastructure management using IaC tools such as Terraform, Chef, Puppet or CloudFormation.  Knowledge of common Python web development tools and frameworks such as Django or Flask.  Experience authoring documentation for technical design, architecture and production runbooks.  Hands-on experience with CI/CD, e2e testing, deployment methods, and source control technologies and standards.  Excellent problem-solving skills and cross-functional collaboration Experience working with Oracle modules (Procurement, Supply Chain, Maintenance) is a plus Why work for Launchpad? 100% remote People first culture Excellent compensation in US Dollars Hardware setup for working from home Work with global teams and prominent brands based in North America, Europe, and Asia Training allowances Personal time off (PTO) for vacations, study leave, personal time, etc.  ...and more! At Launchpad, we genuinely care about our people as individuals. If you are looking for a team that values growth, drive, and passion for your craft, if you’re seeking a place to achieve your goals and dreams with fairness and integrity, then you are the future of Launchpad. Launchpad is committed to fostering a diverse and representative workforce and an inclusive work environment where all employees are respected and treated equally. Are you ready to elevate your career at Launchpad? We want to hear your story! Contact us today.",Launchpad Technologies Inc.,51,IT Services and IT Consulting,"Vancouver, British Columbia"
4,Data Engineer,Jornada completa,Nicaragua,https://ni.linkedin.com/jobs/view/data-engineer-at-launchpad-technologies-inc-3571778615?refId=o%2B22ReeM9cM9LCuy8pCvIQ%3D%3D&trackingId=sgYVdbWb47Vhxfk2spHd5g%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"Recognized as one of Canada’s fastest-growing companies, Launchpad provides next-generation integration platform capabilities for connecting and managing enterprise automation and data integration. Headquartered in Vancouver, Canada, our operations span both North and South Americas, with a second headquarter located in Santiago, Chile. In 2021, we were recognized as the winner of the BC Tech Associations Technology Impact Awards 'Company of The Year: Growth'. We recognize the global truth that today, every company is a tech company. To succeed, every company everywhere needs their data and workflows to be integrated and automated. That understanding gave us the confidence to compete with our sector's leading providers, win top-level contracts, and build a truly world-class list of clients that includes Walmart, GM, TIME Magazine, Salesforce, Tableau, Splunk, Bolt.com, Freedom House, and more. Our vision is to bring people and technology together to work seamlessly to achieve extraordinary business outcomes and create more efficient societies. If this sounds like something you want to be part of, we’d love to hear from you. Main Responsibilities Migration of existing Salesforce.com data pipelines from Matillion to our new Python based data platform Migration of the existing Gainsight data pipeline from our current data platform to our new data platform Migration of additional data pipelines as needed Required Experience: 3 years of experience in Python 3 years of experience in Linux 2 years of experience working with Data ETL / ELT 2 years of experience interfacing with third party APIs 1 year of experience working with Analytical Databases (Redshift, Snowflake) 2 years of experience working with Cloud technologies 1 year of experience working with GIT Bonus Experience: Matillion AWS Docker DBT Terraform Airflow Hashicorp Vault Data Modeling Soft skills we consider important: Enthusiastic about tech and the data domain Strong problem solving skills Collaborative Takes initiative without being reckless (considers how their actions impacts other people/systems) Why work for Launchpad? 100% remote People first culture Excellent compensation in US Dollars Hardware setup for working from home Work with global teams and prominent brands based in North America, Europe, and Asia Training allowances Personal time off (PTO) for vacations, study leave, personal time, etc.  ...and more! At Launchpad, we genuinely care about our people as individuals. If you are looking for a team that values growth, drive, and passion for your craft, if you’re seeking a place to achieve your goals and dreams with fairness and integrity, then you are the future of Launchpad. Launchpad is committed to fostering a diverse and representative workforce and an inclusive work environment where all employees are respected and treated equally. Are you ready to elevate your career at Launchpad? We want to hear your story! Contact us today.",Launchpad Technologies Inc.,51,IT Services and IT Consulting,"Vancouver, British Columbia"
5,Python Software Programmer - Work from Home,Jornada completa,"Managua, Managua, Nicaragua",https://ni.linkedin.com/jobs/view/python-software-programmer-work-from-home-at-oowlish-3655650148?refId=o%2B22ReeM9cM9LCuy8pCvIQ%3D%3D&trackingId=XZ3nmZMfOuK4wZNpsmlGrg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"Be part of our team! 🚀💼 Are you ready to launch your career into the tech stratosphere with one of LatAm's fastest-growing software development companies? 💪💻 At Oowlish, we're on the hunt for tech maestros to join our dynamic, cosmopolitan squad. As an 🦉Oowlish🦉 team member, you won’t just be part of a team, you’ll join an innovative, supportive family, partnering with top-tier clients from the USA and Europe 🌍 to kickstart their digital journey. And being part of a 🌟Great Place to Work🌟, it’s all about learning, growing, and making a global impact - together! Enjoy the flexibility of working in your PJs 🧦, with your furry friend 🐶 on your lap, relishing your freedom and maintaining a perfect work-family life balance ⚖️. Because we know that’s when you’re at your best. If you're a tech enthusiast 🕹️, fluent in English 🗣️, and thrilled about working remotely while making an international splash, then you're on the right page! We’re looking for an experienced Python Developer with hands-on experience in many technical facets of the Web Development field. Must Haves Wide knowledge in Python Experience using Django Experience integrating third-party APIs Be knowledgeable within SQL and NoSQL Databases Committed with the best development practices and used in design patterns Be a detail-oriented person Be comfortable speaking and writing in English Nice To Have Experience with AWS Products such as Lambda, EKS, ECR, Fargate, RDS, Aurora, API Gateway, Cognito; Containers: Docker and Kubernetes; API Design with OAS 3.0; Event Drive Architecture: Kafka. Benefits & Perks  Home office 🏠  Flexible Hours;🕜  Competitive compensation based on experience; 💵  Career plans to allow for extensive growth in the company;📈  International Projects;🌍  Oowlish English Program (Improving and Certifying)📚  Spanish Classes 📚  Oowlish fitness with Total Pass;🏋‍♀️  Oowlish Academy (Grants for Education);🎓  Build your Home Office (Grants for Computer & Equipment);💻  Connecting You (Internet allowance);📡  Anniversary bonus;💸  Wedding gift;👰‍♀️  Pet adoption incentive;🐕  New baby Owl bonus;👩‍🍼  Back to School bonus;✏️  Netflix Subscription;📽  Oowlish paradise – 4 days/year at a Resort with your family & pets;🏝  Vacation Bonus;🏖  Games and Competitions;🎮  Enjoy your national Holidays;🎊  Oowlet Store🛒 Come join us in breaking the mold and revolutionizing the tech landscape! 🌐 Remember, with Oowlish, you’re not just getting a job, you’re becoming part of a community 🌍 of innovative, talented, and inspiring individuals who respect each other and our furry friends 🐾. Why wait to make your mark on the tech world? Hit ‘Apply Now’ to embark on Oowlish's exciting journey, and let's turbocharge innovation together! 🚀🎉 You Can Also Apply Here Website: https://www.oowlish.com/work-with-us/ LinkedIn: https://www.linkedin.com/company/oowlish/jobs/ Instagram: https://www.instagram.com/oowlishtechnology/ #amazon #job #home #linkedin #career #online #employment #remote #work # international #clients in united states#clients in USA #vacant #hiring #opportunities #hire #application #apply #virtual #wfh #tech #best #english #online #offer #vacancy#desarrollador #desarrolladora #front end #programador #programadora #programmer #full stack #software engineer #desarrollo #system #developer #application #code #program #desenvolvedor #engineer #engenheiro #sql #sde #web #backend #empleo #trabajo #ofertas #emprego #vagas",Oowlish,124,Serviços e consultoria de TI,"Work from Anywhere, Remote"
6,"Platform Developer ($72,000 USD), Sparkrock",Jornada completa,Nicaragua,https://ni.linkedin.com/jobs/view/platform-developer-%2472-000-usd-sparkrock-at-sparkrock-3631775241?refId=o%2B22ReeM9cM9LCuy8pCvIQ%3D%3D&trackingId=gVfWoZ5dEXagLfiR6gh1xQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"Are you a high-performing software developer looking to take your technical skills to the next level? If you are a top performer, you understand that the more time you spend writing code and less time in meetings and status reporting, the more successful you will be. That’s why at Sparkrock, we believe that software developers should be focused on what they do best - producing great solutions. We believe that design and code quality is the most important part of any quality business solution. We also understand that top performers want to develop and grow. That’s why we provide continuous training and coaching focused on unlocking people’s potential. We want our consultants and engineers to be the best they can be! Imagine working for an organization where you have unlimited opportunities to grow and develop and, where you don’t have to worry about factors outside of your control, where there’s no ambiguity about what’s expected or what it takes to be successful. If you are passionate about learning and growing and want to develop into the best coder you can be, then this role is for you! What will you be doing? Most of your day is spent doing actual software development, not other meaningless activities. We have tried to cut out nonessential work, so the majority of your day is on designing, coding, and testing product solutions. Every day you'll be refining your skills to the next level. The only exception is training and development. In addition to being a great software developers, we expect our people to be product, industry, and market experts. Maintaining and building upon that expertise requires continuous coaching, training, and self-development. On average, you will spend 20% of your week on such activities. What you will NOT be doing Building and deploying custom solutions Endless meetings and presentations Getting bored with repetitive tasks Working alone Working with outdated tools What you will learn How to consistently deliver a high-quality product Will always work with the latest Business Central platform and tools available How to take your problem-solving skills to the highest level How to convert a set of acceptance criteria into a high-quality solution Responsibilities You will be expected to be an expert on the products you work on, understand problems, create solutions, and effectively communicate its benefits as well as value to stakeholders. This means that you will continuously stay up-to-date on Business Central releases and AL development platform improvements. You will participate in deep dives that uncover quality issues and pain points and propose solutions to fix them. You will participate in regular coaching and training to improve your skills. Requirements Post-secondary degree or diploma in Computer Science or a relevant field 5+ years experience in Business Central development 5+ years experience in building ERP solutions Hands-on experience building automated tests for Business Central Strong English communication (oral and written) Quality mindset and detail-oriented Nice to have Experience with Azure DevOps: Repos, Boards, Pipelines, Artifacts Previous experience in Remote jobs Benefits - We don’t call them perks, they’re just part of what makes working at Sparkrock great. We are 100% remote and global. Live your best life, wherever that may be, and never lose out on career opportunities because of it. Flexible work hours. We work asynchronously and don’t care when you’re online, just that you deliver great results. Dedication to development. We focus on career pathing for each and every one of our employees and help provide training to advance at every stage in your career. Focus on culture. Coffee chats, happy hours, cooking classes, book clubs, and more! Swag! Because who doesn’t love swag? Stipend to help set up your ideal home office. Introductions to thought leaders in the space and webinars on cutting-edge tech hot topics We strive to build a team that reflects the diversity of the community we work in and encourage applications from traditionally underrepresented groups such as women, visible minorities, Indigenous peoples, people identifying as LGBTQ2SI, veterans, and people with disabilities.",,,,
7,Full Stack Engineer,Jornada completa,"Managua, Managua, Nicaragua",https://ni.linkedin.com/jobs/view/full-stack-engineer-at-teem-3637772304?refId=o%2B22ReeM9cM9LCuy8pCvIQ%3D%3D&trackingId=jAFBaMQ8x56nliI5EbHDuQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"Who We Are At the birth of digital, the client company noticed a persistent problem with data integrity. This discovery eventually led to a unique category solution that continues to redefine how top brands manage the digital experience. We are committed to helping our clients develop the data accuracy, depth, and consistency they need to deliver world-class digital experiences and marketing campaigns. What We Do The client helps large organizations solve difficult data consistency and accuracy problems, often within their marketing groups. We do this through The Data Standards Cloud, a web SaaS product that enables customers to set their own data standards and provides a way for their teams to validate their data. We Are Hiring The client is hiring an experienced, self-starting, and results-oriented Full-Stack Engineer to provide technical leadership, architect, design, write, and release software end-to-end and across the stack within the domain. Sr Full Stack Engineers are comfortable in the rapidly changing nature of a startup environment but also adept at moving relentlessly forward: doing what needs to be done to unblock projects that truly deliver value to our internal and external customers. Successful members of our engineering team are results-focused, highly collaborative team members, who are not afraid to challenge the status quo, but also are able to check their ego at the door and listen to other perspectives. What You’ll Do Collaborate with team members and stakeholders to build and maintain UI and server-side code Build scalable and tolerant systems using container technologies and cloud infrastructure as well as internal tooling to accelerate product development cycles. Build clean, testable, maintainable, and idiomatic code, and drive the team forward in relation to code quality Identify and fix issues to improve the scalability, performance, and simplicity of our systems The schedule must overlap 11 am - 2:30 pm MST Requirements 5+ years of experience as a software developer writing enterprise code, preferably in a B2B SaaS startup environment Twilio Experience Required Deep knowledge and experience in UI Technologies (i.e. React, Kotlin) Sophisticated experience with programming languages A deep desire to learn and solve problems Ability to deal with ambiguity, demonstrate ownership, and lend your expertise to guiding the technical product roadmap Benefits 100% Remote Training & Development Work From Home",,,,
8,"Platform Developer ($72,000 USD), Sparkrock",Jornada completa,"Managua, Nicaragua",https://ni.linkedin.com/jobs/view/platform-developer-%2472-000-usd-sparkrock-at-sparkrock-3631770967?refId=o%2B22ReeM9cM9LCuy8pCvIQ%3D%3D&trackingId=x21rbsYtpVfX0yUhy9Kz6g%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"Are you a high-performing software developer looking to take your technical skills to the next level? If you are a top performer, you understand that the more time you spend writing code and less time in meetings and status reporting, the more successful you will be. That’s why at Sparkrock, we believe that software developers should be focused on what they do best - producing great solutions. We believe that design and code quality is the most important part of any quality business solution. We also understand that top performers want to develop and grow. That’s why we provide continuous training and coaching focused on unlocking people’s potential. We want our consultants and engineers to be the best they can be! Imagine working for an organization where you have unlimited opportunities to grow and develop and, where you don’t have to worry about factors outside of your control, where there’s no ambiguity about what’s expected or what it takes to be successful. If you are passionate about learning and growing and want to develop into the best coder you can be, then this role is for you! What will you be doing? Most of your day is spent doing actual software development, not other meaningless activities. We have tried to cut out nonessential work, so the majority of your day is on designing, coding, and testing product solutions. Every day you'll be refining your skills to the next level. The only exception is training and development. In addition to being a great software developers, we expect our people to be product, industry, and market experts. Maintaining and building upon that expertise requires continuous coaching, training, and self-development. On average, you will spend 20% of your week on such activities. What you will NOT be doing Building and deploying custom solutions Endless meetings and presentations Getting bored with repetitive tasks Working alone Working with outdated tools What you will learn How to consistently deliver a high-quality product Will always work with the latest Business Central platform and tools available How to take your problem-solving skills to the highest level How to convert a set of acceptance criteria into a high-quality solution Responsibilities You will be expected to be an expert on the products you work on, understand problems, create solutions, and effectively communicate its benefits as well as value to stakeholders. This means that you will continuously stay up-to-date on Business Central releases and AL development platform improvements. You will participate in deep dives that uncover quality issues and pain points and propose solutions to fix them. You will participate in regular coaching and training to improve your skills. Requirements Post-secondary degree or diploma in Computer Science or a relevant field 5+ years experience in Business Central development 5+ years experience in building ERP solutions Hands-on experience building automated tests for Business Central Strong English communication (oral and written) Quality mindset and detail-oriented Nice to have Experience with Azure DevOps: Repos, Boards, Pipelines, Artifacts Previous experience in Remote jobs Benefits - We don’t call them perks, they’re just part of what makes working at Sparkrock great. We are 100% remote and global. Live your best life, wherever that may be, and never lose out on career opportunities because of it. Flexible work hours. We work asynchronously and don’t care when you’re online, just that you deliver great results. Dedication to development. We focus on career pathing for each and every one of our employees and help provide training to advance at every stage in your career. Focus on culture. Coffee chats, happy hours, cooking classes, book clubs, and more! Swag! Because who doesn’t love swag? Stipend to help set up your ideal home office. Introductions to thought leaders in the space and webinars on cutting-edge tech hot topics We strive to build a team that reflects the diversity of the community we work in and encourage applications from traditionally underrepresented groups such as women, visible minorities, Indigenous peoples, people identifying as LGBTQ2SI, veterans, and people with disabilities.",,,,
9,Data Operations Engineer,Jornada completa,Nicaragua,https://ni.linkedin.com/jobs/view/data-operations-engineer-at-launchpad-technologies-inc-3571775896?refId=o%2B22ReeM9cM9LCuy8pCvIQ%3D%3D&trackingId=f4zDicKLLlx1ro60cQWdiA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"Recognized as one of Canada’s fastest-growing companies, Launchpad provides next-generation integration platform capabilities for connecting and managing enterprise automation and data integration. Headquartered in Vancouver, Canada, our operations span both North and South Americas, with a second headquarter located in Santiago, Chile. In 2021, we were recognized as the winner of the BC Tech Associations Technology Impact Awards 'Company of The Year: Growth'. We recognize the global truth that today, every company is a tech company. To succeed, every company everywhere needs their data and workflows to be integrated and automated. That understanding gave us the confidence to compete with our sector's leading providers, win top-level contracts, and build a truly world-class list of clients that includes Walmart, GM, TIME Magazine, Salesforce, Tableau, Splunk, Bolt.com, Freedom House, and more. Our vision is to bring people and technology together to work seamlessly to achieve extraordinary business outcomes and create more efficient societies. If this sounds like something you want to be part of, we’d love to hear from you. Responsibilities: Support: Ensure the state of the data platform and data pipelines running on the platform are healthy and jobs are completed per their SLAs; responding to incidents as they arise.  Troubleshooting: Investigate any problems that arise with our data pipelines (Python code), data (SQL / Snowflake), orchestration (Airflow), and infrastructure as needed and prescribe solutions when possible.  On-Call Support: 24/7 on-call rotation with primary and secondary coverage which rotates weekly. Estimated number of total participants is 5.  Systems Administration: Administer the users, their access, application configurations, upgrades, etc of the following platforms: Tableau, GitLab, Snowflake, Alteryx, Matillion, Airflow RBAC Administration: Respond to ServiceNow requests and communicate with our users when necessary in order to grant the user proper access to Tableau, Snowflake, or specified data sets.  Required Experience: Linux: 3 years of experience Python: 3 years of experience SQL: 3 years of experience Git: 1 years of experience Bonus Experience: AWS Airflow DBT Docker Terraform K8 Hashicorp Vault Soft skills: Enthusiastic about tech and the data domain Strong problem solving skills Collaborative Takes initiative without being reckless (considers how their actions impacts other people/systems) Why work for Launchpad? 100% remote People first culture Excellent compensation Hardware setup for working from home Work with global teams and prominent brands based in North America, Europe, and Asia Training allowances Personal time off (PTO) for vacations, study leave, personal time, etc.  ...and more! At Launchpad, we genuinely care about our people as individuals. If you are looking for a team that values growth, drive, and passion for your craft, if you’re seeking a place to achieve your goals and dreams with fairness and integrity, then you are the future of Launchpad. Launchpad is committed to fostering a diverse and representative workforce and an inclusive work environment where all employees are respected and treated equally. Are you ready to elevate your career at Launchpad? We want to hear your story! Contact us today.",Launchpad Technologies Inc.,51,IT Services and IT Consulting,"Vancouver, British Columbia"
