,Title,Jornada,Ciudad,URL,Descripcion,Compañia,Nº Empleados,Rubro,País
0,Remote Machine Learning Developer,Jornada completa,Paraguay,https://py.linkedin.com/jobs/view/remote-machine-learning-developer-at-scopic-software-3654977926?refId=13b%2B2zdf6nR44q%2B1gGAelQ%3D%3D&trackingId=8x4M%2BOVVbi5aFNgC45Sd8A%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"Are you on the hunt for exciting new challenges that boost your professional growth? If you’re an innovator by nature and a Machine Learning Developer by trade, we’d love to hear from you! Read on to see if you’d be a good fit for the Scopic team of 250+ professionals from over 40 countries. Requirements  3+ years of commercial web development.  Professional experience with DL Frameworks (e.g. TensorFlow, PyTorch)  DL Experience is needed (Ideally experience in a DL stream as the position entails working with Vision, Language, GNN, Speech etc.)  Mathematical fundamentals and algorithms skills or experience  Excellent programming (Python), debugging, and test design skills  Basic exposure to computer architecture, ideally accelerators and numerical software  Ability to work independently and manage individuals’ R\&D efforts  Good communication and documentation habits  Project Management tools knowledge  Excellent written and spoken English  Able to work remotely This is a full-time, home-based position. The Secret Ingredients That Make Us Special  Your growth is our growth. We invest in your future with paid training and other professional opportunities.  We’re industry innovators at the forefront of change. Equipped with the latest technologies and a team of knowledgeable colleagues by your side, you’ll embrace new and interesting challenges.  Your location. Your schedule — Pick your time zone, choose your preferred hours, and work from the place where you feel most at home.  Flexibility and freedom are in our DNA! As long as you have a stable internet connection and the drive to thrive, you can travel and work from anywhere you like.  A workload you can rely on. We’ll set you enough tasks to keep that mind busy! At Scopic, we’ll ensure you always have a consistent flow of engaging, challenging work to do.  Recognition and reward. We acknowledge diligence and hard work through annual pay increases for good performance. Down to business!  Your starting rate is negotiable depending on your skills and experience.  This is an hourly paid position.  Contractors are paid monthly via wire transfer. Our Values Scopic is an equal-opportunity employer. We value diversity and do not discriminate on the basis of race, religion, color, marital status, national origin, gender, veteran status, sexual orientation, age, or disability status. Have the skills, the drive, and the passion to join the Scopic family? Apply today to join our growing team of remote professionals from around the world. Please send your CV in English only.",,,,
1,,,,https://py.linkedin.com/jobs/view/data-analyst-at-%23equalstrue-3654721590?refId=13b%2B2zdf6nR44q%2B1gGAelQ%3D%3D&trackingId=PDQYFt4Z7U4U3OYywcVqdw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
2,,,,https://py.linkedin.com/jobs/view/remote-machine-learning-developer-at-scopic-software-3648844200?refId=13b%2B2zdf6nR44q%2B1gGAelQ%3D%3D&trackingId=Zkqgwwi3Q9%2B0l%2Bu%2Fq8lAEw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
3,,,,https://py.linkedin.com/jobs/view/remote-machine-learning-developer-at-scopic-software-3652811367?refId=13b%2B2zdf6nR44q%2B1gGAelQ%3D%3D&trackingId=kbpUOdUASOqsGnSP7N8rrQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
4,Growth Engineer to Pioneer LLM Driven Growth Strategies,Jornada completa,Paraguay,https://py.linkedin.com/jobs/view/growth-engineer-to-pioneer-llm-driven-growth-strategies-at-text-blaze-3646361082?refId=13b%2B2zdf6nR44q%2B1gGAelQ%3D%3D&trackingId=YLoBb9twlAAnwrAPfx0NDQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"We are seeking a Growth Engineer who is passionate about leveraging large language models (LLMs) to transform the world of growth marketing. In this role, you'll have the unique opportunity to drive our user acquisition and activation journey end-to-end, exploring and experimenting with innovative ways to use LLMs to promote Text Blaze’s capabilities and grow existing users' usage of Text Blaze by generating personalized content tailored to each user. About Text Blaze At Text Blaze, we're dedicated to freeing users from tedious work by providing them with simple yet powerful solutions. We're fast-paced, data-driven, and constantly iterating based on the needs of our users. Joining us means being part of a profitable, fast-growing company that already has an excellent product-market fit and a deeply loyal user base of over 300,000 users. As a member of our founding team, you'll have a substantial impact on our product, strategy, and culture. We're fully remote. You'll be part of a team that embraces ownership and impact, all while working comfortably from your own home. Skills And Qualifications A passion for talking to users and understanding their problems. A knack for identifying business needs and developing technical solutions to address them. An eye for design and comfort with designing your own UI's and solutions. Experience or strong interest working with large language models, prompt engineering and post-processing Proficiency in SQL, Python and JavaScript This is an opportunity to be at the forefront of the LLM-driven growth revolution. If you're eager to rethink growth and transform how we interact with potential users, we'd love to hear from you.",,,,
5,,,,https://py.linkedin.com/jobs/view/python-engineer-relocation-to-uruguay-opportunity-at-prometeo-consultora-de-recursos-humanos-reclutamiento-y-selecci%C3%B3n-ti-atracci%C3%B3n-de-talento-3623022543?refId=13b%2B2zdf6nR44q%2B1gGAelQ%3D%3D&trackingId=nbnBunRkZYlXQpyt1cO5sQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
6,Python Developer,Jornada completa,Paraguay,https://py.linkedin.com/jobs/view/python-developer-at-launchpad-technologies-inc-3650011479?refId=13b%2B2zdf6nR44q%2B1gGAelQ%3D%3D&trackingId=i4Cf8ICYUfsnkPYYeohs7g%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"Recognized as one of Canada’s fastest-growing companies, Launchpad provides next-generation integration platform capabilities for connecting and managing enterprise automation and data integration. Headquartered in Vancouver, Canada, our operations span both North and South Americas, with a second headquarter located in Santiago, Chile. In 2021, we were recognized as the winner of the BC Tech Associations Technology Impact Awards 'Company of The Year: Growth'. We recognize the global truth that today, every company is a tech company. To succeed, every company everywhere needs their data and workflows to be integrated and automated. That understanding gave us the confidence to compete with our sector's leading providers, win top-level contracts, and build a truly world-class list of clients that includes Walmart, GM, TIME Magazine, Salesforce, Tableau, Splunk, Bolt.com, Freedom House, and more. Our vision is to bring people and technology together to work seamlessly to achieve extraordinary business outcomes and create more efficient societies. If this sounds like something you want to be part of, we’d love to hear from you. Main Responsibilities: Build integrations for various data flows between SaaS-based applications and in-house engineering applications.  Analyze data made available by business applications, and work with the various application owners to advise and develop appropriate integrations to meet business goals.  Partner with cross-functional teams to understand use-cases and gather requirements to design, architect and build application integrations. Partner with vendors, MSPs, and engineering teams to ensure seamless end-end flow of quality data.  Assess the needs of product/engineering releases with respect to business objectives, security, data dependency, compliance, and timeliness of releases.  Follow and contribute to integration technology standards, frameworks, principles and roadmap, in partnership with Enterprise Architects and Solutions Architects.  Prioritize and manage demands across multiple projects and provide support to production applications.  Experience & Skills: 3+ years of experience in building enterprise integration applications and cloud-centric solutions across multiple functional areas.  3+ years of Python development experience. Strong understanding of object-oriented programming and software design patterns for building highly scalable applications.  Experience with common API development standards, patterns, and protocols; including REST, SOAP, RPC, AMQP, Pub/Sub, GraphQL, HTTP/S, SSL/TLS, SQL, NoSQL, OAuth, OIDC and SAML.  Experience with cloud computing platforms such as AWS or GCP. Strong understanding of infrastructure management using IaC tools such as Terraform, Chef, Puppet or CloudFormation.  Knowledge of common Python web development tools and frameworks such as Django or Flask.  Experience authoring documentation for technical design, architecture and production runbooks.  Hands-on experience with CI/CD, e2e testing, deployment methods, and source control technologies and standards.  Excellent problem-solving skills and cross-functional collaboration Experience working with Oracle modules (Procurement, Supply Chain, Maintenance) is a plus Why work for Launchpad? 100% remote People first culture Excellent compensation in US Dollars Hardware setup for working from home Work with global teams and prominent brands based in North America, Europe, and Asia Training allowances Personal time off (PTO) for vacations, study leave, personal time, etc.  ...and more! At Launchpad, we genuinely care about our people as individuals. If you are looking for a team that values growth, drive, and passion for your craft, if you’re seeking a place to achieve your goals and dreams with fairness and integrity, then you are the future of Launchpad. Launchpad is committed to fostering a diverse and representative workforce and an inclusive work environment where all employees are respected and treated equally. Are you ready to elevate your career at Launchpad? We want to hear your story! Contact us today.",,,,
7,,,,https://py.linkedin.com/jobs/view/data-engineer-at-launchpad-technologies-inc-3571777760?refId=13b%2B2zdf6nR44q%2B1gGAelQ%3D%3D&trackingId=zE5rBChv%2BvqwN3Zz5zV6HA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
8,,,,https://py.linkedin.com/jobs/view/data-engineer-freelance-remote-at-braintrust-3656417896?refId=13b%2B2zdf6nR44q%2B1gGAelQ%3D%3D&trackingId=5J5ygu9fcbWM4fn7sY%2FzOQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
9,,,,https://py.linkedin.com/jobs/view/football-statistician-at-genius-sports-3623924156?refId=13b%2B2zdf6nR44q%2B1gGAelQ%3D%3D&trackingId=gBxFWVGBKygIXqPXoQL5%2Bg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
