,Title,Jornada,Ciudad,URL,Descripcion,Compañia,Nº Empleados,Rubro,País
0,,,,https://pe.linkedin.com/jobs/view/data-scientist-remoto-at-vooxell-3642945911?refId=lw9MTioJO0PJTPIfJkXsiA%3D%3D&trackingId=pOSbE52dwDhBJzJYYmPBEw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
1,DATA SCIENTIST,Jornada completa,"Lima, Lima, Perú",https://pe.linkedin.com/jobs/view/data-scientist-at-entel-per%C3%BA-3641112428?refId=lw9MTioJO0PJTPIfJkXsiA%3D%3D&trackingId=uDYYR6hNFPQ3Bj35HyYcxQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"¡Buscamos personas que quieran crecer y que se conecten con nuevos retos constantemente! Por ello, no queremos que dejes pasar esta oportunidad para conocer qué perfil buscamos para  DATA SCIENTIST 🚀  ¿Cuál es el reto principal?  Desarrollar e implementar análisis que agreguen valor y sean sustentables con Datos tradicionales, Big Data y geo-analítica, además de generar recomendaciones de acciones para las unidades de negocio.  Generar insights, basados en analítica moderna e innovadora y métodos estadísticos de data Science (Machine Learning, Real Time analytics, visualizaciones).  Participar proactivamente de la mejora de los métodos analíticos del área, estando atento a los desarrollos de la ciencia y las nuevas tecnologías.  Apoyar a la resolución de “casos de uso” de análisis, síntesis y predicción o recomendación de indicadores relevantes para las áreas de mercado y otras unidades de negocio de la compañía, que permitan maximizar eficiencia en la gestión y facilite la toma de decisiones.  Generar recomendaciones dentro de su ámbito de acción que ayuden a resolver o explorar interrogantes de negocio asociadas al caso de uso en que participa. 🚀  ¿Qué buscamos? Talento Power, profesionales ágiles que quieran hacer las cosas de manera increíble y sean siempre parte de la solución, por lo cual, si eres egresado universitario de Ingeniería Informática, Estadistico, Matematico y/o carreras afines ¡esta oportunidad es para ti! Para este perfil, es importante que cuentes con al menos 01 y medio años de experiencia en posiciones similares. Experiencia laboral en área específica de analytics. Fundamentos de Inferencia estadística. Conocimientos de algoritmos estándares para clasificación y predicción de variables descriptivos multidimensionales. Conocimientos de herramientas de programación y formateo de datos: Stata/R, Java, C++, Gephi, Neo4j, Python, AMPL, GIS, SQL. Deseable con uso aplicado en BigData. Deseable conocimiento de herramientas de visualización de variables: Tableau, Power BI o similar, con uso aplicado en BigData 🚀  ¿Qué te ofrecemos?  Hemos desarrollado una nueva forma de trabajar y organizarnos, Entel Flex Office (EFO) que combina la presencia en oficinas y el teletrabajo. El propósito de EFO es mejorar la calidad de vida de nuestros colaboradores, generando una experiencia de trabajo asombrosa, y mejorando al mismo tiempo el desempeño de los equipos. Sabemos que es importante el equilibrio entre tu vida personal y laboral por ello, te brindamos asesorías en salud y nutrición online, webinars y talleres de mindfulness. Además, contarás con un seguro de vida ley desde el primer día y podrás acceder a la EPS, donde tendrás la opción de incluir a tus dependientes y/o pareja del mismo género. Queremos que tengas todas las herramientas para seguir desarrollándote con nosotros, por lo cual podrás acceder a nuestro Campus Entel en donde encontrarás más de 300 cursos virtuales. Asimismo, contamos con convenios educativos con diferentes instituciones para que sigas potenciando lo que te hace distinto. Además, podrás afiliarte a la Cooperativa Entel para obtener créditos preferenciales a tasas atractivas y también, contarás con descuentos en planes tarifarios para ti y tu familia. ¡Anímate en conocer más de nuestros beneficios y sé parte del equipo más power! 🚀💪🏻 Fecha Fin de Convocatoria:  11 de julio del 2023.",,,,
2,,,,https://pe.linkedin.com/jobs/view/data-scientist-at-fractal-3641575883?refId=lw9MTioJO0PJTPIfJkXsiA%3D%3D&trackingId=psOqktjRqmK9h%2BSCB8x3rw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
3,,,,https://pe.linkedin.com/jobs/view/junior-python-developer-at-sophilabs-3653634686?refId=lw9MTioJO0PJTPIfJkXsiA%3D%3D&trackingId=%2B%2BRWfNcfwXXxqYLMiVVVvQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
4,Junior Python Engineer,Jornada completa,Perú,https://pe.linkedin.com/jobs/view/junior-python-engineer-at-sophilabs-3653633809?refId=lw9MTioJO0PJTPIfJkXsiA%3D%3D&trackingId=0C96YfC4FNpoPbiOrL%2FfvQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"A Typical Day As a  Junior Python Developer , you will build websites, mobile apps, and backend services to support different phases of the business workflow. Using different open-source technologies like Python and others. You will be working with cross-functional teams using Scrum. Qualifications Fluency in Python Demonstrates resilience, diplomacy, influencing, relationship-building, and problem-solving skills Customer success-oriented Fluency in English is a must   Preferred qualifications Studies related to Information Technology Knowledge of GitHub Familiarity with HTML, CSS, and/or SASS Familiarity with Javascript, Angular, and/or React Knowledge of PostgreSQL, AWS, and Docker Scrum knowledge Full-time and Remote availability   We offer 🚀 An opportunity to grow and develop your career with training, English support and courses, investment days, books, conference support, coaching, and 360 feedback. 🌱 A good work-life balance with a remote working policy and gym membership discount. If you share our commitment to delivering excellent client-focused service and putting customers first, enjoy working in teams, and are always looking to improve, join us!",,,,
5,,,,https://pe.linkedin.com/jobs/view/data-scientist-expert-at-interbank-3657208000?refId=lw9MTioJO0PJTPIfJkXsiA%3D%3D&trackingId=pBD0F4COQWVpmClKzH3jWw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
6,,,,https://pe.linkedin.com/jobs/view/junior-python-developer-remote-internship-%E2%80%93-it-at-talentkompass-deutschland-3651755801?refId=lw9MTioJO0PJTPIfJkXsiA%3D%3D&trackingId=qylxBhDTOw96Xd8IuYWOsw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
7,,,,https://pe.linkedin.com/jobs/view/junior-react-developer-at-sophilabs-3653249710?refId=lw9MTioJO0PJTPIfJkXsiA%3D%3D&trackingId=Vf2mRtVEaE5%2Fb%2FG2xeGj6w%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
8,,,,https://pe.linkedin.com/jobs/view/data-scientist-python-sql-remote-7750-usd-mes-peru-at-listopro-3654243156?refId=lw9MTioJO0PJTPIfJkXsiA%3D%3D&trackingId=pG4f7lXWzAsGg1pEFOKS8Q%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
9,,,,https://pe.linkedin.com/jobs/view/junior-python-django-developer-at-sophilabs-3653633801?refId=lw9MTioJO0PJTPIfJkXsiA%3D%3D&trackingId=1BrmUAo6bGJMFZfLJJe1eA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
