,Title,Jornada,Ciudad,URL,Descripcion,Compañia,Nº Empleados,Rubro,País
0,AI Software Engineer,Jornada completa,"San Juan, Puerto Rico",https://pr.linkedin.com/jobs/view/ai-software-engineer-at-connect-assistance-3606655630?refId=IWlvzTKQFbKdLfCT3UL56Q%3D%3D&trackingId=KcQzsKqpbYUsK3iyBdjJ9A%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"Connect Assistance is a leading technology company in the Road and Home Assistance industry with a presence in Puerto Rico, Panamá, Costa Rica and Colombia. Our mission is to solve ordinary problems with extraordinary solutions. Estamos buscando un AI Engineer enfocado en proyectos de AI con ChatGPT y LLMs. En este rol, serás responsable de estudiar el impacto e identificar proyectos de AI en Connect, así como desarrollar y llevar a producción modelos de lenguaje generativo (LLMs) como ChatGPT. Tu objetivo principal será el desarrollo de Chatbots y Voicebots que mejoren la experiencia del usuario y la eficiencia operativa de nuestra organización. Responsabilidades: Estudiar el impacto de proyectos de AI en la compañía:  Colaborar con los equipos internos para comprender las necesidades y oportunidades de aplicar la Inteligencia Artificial en diferentes áreas de la organización  Evaluar los problemas empresariales y definir soluciones de AI aplicables, identificando oportunidades para la implementación de LLMs y modelos de lenguaje conversacionales  Realizar análisis de viabilidad técnica y económica para proyectos de AI, considerando aspectos como escalabilidad, rendimiento y seguridad Desarrollar y llevar a producción GPTs:  Diseñar, desarrollar e implementar modelos de lenguaje generativo (GPT) y LLMs como ChatGPT, adaptados a los requisitos y casos de uso específicos de la compañía. Usando “few-shot learning”, “embeddings”, y/o “fine-tunning”  Realizar tareas de preprocesamiento de datos, entrenamiento, ajuste fino y evaluación de modelos de lenguaje, optimizando su rendimiento y capacidad de respuesta  Colaborar con el equipo de ingeniería de software para integrar los modelos de lenguaje generativos en los sistemas y aplicaciones existentes, asegurando una implementación robusta y eficiente Desarrollar Chatbots y Voicebots:  Diseñar, desarrollar y mantener Chatbots y Voicebots que brinden una experiencia de usuario mejorada y eficiente  Utilizar técnicas de procesamiento del lenguaje natural (NLP) y modelos de lenguaje generativos para crear sistemas de conversación inteligentes y contextuales  Implementar interfaces conversacionales en múltiples canales, como chat en línea, aplicaciones móviles y plataformas de voz, asegurando una coherencia en la experiencia del usuario Requisitos:  Título universitario en Ciencias de la Computación, Ingeniería de Software o campo relacionado  Experiencia comprobada como Software Engineer o Machine Learning Engineer, con un enfoque en proyectos de Data, AI, o Machine Learning  Familiaridad con tecnologías de infraestructura de AI (MLOps), como entornos de desarrollo distribuido y herramientas de implementación en la nube (AWS, Docker, Serverless, etc…)  Dominio de Python, así como experiencia en el uso de librerías de ciencia de datos como “Numpy”, “Pandas”, y de servicios web como “Flask” o “Django”  (opcional) Experiencia práctica en el desarrollo de Chatbots y Voicebots utilizando bibliotecas y frameworks populares como TensorFlow, PyTorch o similar If you meet the requirements, apply now!",,,,
1,MF04-112822 QA Laboratory Master Data Governance Scientist,Jornada completa,"Juncos, Puerto Rico",https://pr.linkedin.com/jobs/view/mf04-112822-qa-laboratory-master-data-governance-scientist-at-validation-engineering-group-inc-3507635563?refId=IWlvzTKQFbKdLfCT3UL56Q%3D%3D&trackingId=jl%2Bpqxkty28Jo3sPmJokEg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"Validation & Engineering Group, Inc.  (V&EG) is a leading services supplier who provides solutions for the Pharmaceutical, Biotechnology, Chemical, Food, and Medical Devices industries in the following areas: Laboratory, Compliance, Computer, Engineering, Project Management, Validation, and other services. We are seeking a talented, dedicated individual committed to work under the highest ethics standards for the following position: QA Laboratory Master Data Governance Scientist Qualifications Bachelor's Degree in Science or Engineering. Minimum of 5 years of experience in direct pharmaceutical, medical device or biotechnology industries. Experience with Empower 3. Integrate Master Data across Domains. Must be fully bilingual (English / Spanish) with excellent oral skills. Must be proficient using MS Windows and Microsoft Office applications. Strong knowledge in cGxP and regulatory guidance as well as understanding of how they are applied to regulatory compliance. Technical Writing skills and investigations processes. Available to work extended hours, possibility of weekends and holidays.",,,,
2,Full Stack Engineer - Batch Processing,Jornada completa,"Aguadilla, Puerto Rico",https://pr.linkedin.com/jobs/view/full-stack-engineer-batch-processing-at-lockheed-martin-3658546645?refId=IWlvzTKQFbKdLfCT3UL56Q%3D%3D&trackingId=a%2FaOS2XoDUfxPwaZA6jRpA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"Become part of the Future of Information Technology (IT) at Lockheed Martin as a Full Stack Engineer within the Compute Portfolio. This dynamic, fast-paced environment embraces DevSecOps and Agile to enable our strategic goals. The Full Stack Engineer role will be instrumental to the success of reinventing how we develop and maintain compute infrastructure products at Lockheed Martin. The Compute Portfolio resides within the Enterprise IT Infrastructure and International (I2) Organization. Our teams are developing and deploying new transformative digital solutions to meet the global business needs. Our teams utilize a combination of Scrum or Kanban agile frameworks for product development, integration, operations, and maintenance. The Full Stack Engineer will learn all about our Enterprise IT operations and contribute to the automation of services and products. Specifically, this position will learn the current operations surrounding Control-M and then help build automation around those processes. This is challenging environment with many opportunities for those who have a growth mindset and a desire for improvement. This position requires working some off-shift hours and on-call rotation.",,,,
3,Software Engineer,Jornada completa,"Guaynabo, Puerto Rico",https://pr.linkedin.com/jobs/view/software-engineer-at-brainhi-3658548026?refId=IWlvzTKQFbKdLfCT3UL56Q%3D%3D&trackingId=t44yvCxV6ltiEqoD9sTYHg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"Job Description We are seeking a highly skilled Software Engineer to join our team. As a Software Engineer at BrainHi, you will play a key role in designing, implementing, and maintaining our infrastructure and systems. You will collaborate with cross-functional teams to ensure optimal system performance, scalability, and security. This is an exciting opportunity to contribute to the growth and success of our organization by leveraging your technical expertise. We will only consider candidates with residence in Puerto Rico. Responsibilities: Design, implement, and maintain the technical infrastructure of our software systems, including servers, networks, databases, and storage solutions. Collaborate with the development team to optimize the performance, scalability, and security of our applications. Monitor system performance and proactively identify and resolve issues to minimize downtime and ensure optimal system functionality. Implement and maintain backup and disaster recovery strategies to safeguard critical data and ensure business continuity. Configure and maintain network infrastructure, including firewalls, routers, switches, and VPNs. Perform routine system maintenance tasks, such as software updates, patches, and hardware upgrades. Troubleshoot and resolve complex technical issues related to system performance, connectivity, and software compatibility. Collaborate with cross-functional teams to identify and implement system enhancements and process improvements. Develop and maintain system documentation, including system configurations, standard operating procedures, and troubleshooting guides. Stay up to date with industry trends and emerging technologies to recommend and implement innovative solutions that improve system performance and security. Requirements Bachelor's degree in Computer Science, Information Technology, or a related field. Relevant certifications are a plus. Will be considered experience over Education. Proven experience as a Software Engineer or similar role, with a focus on infrastructure design, implementation, and maintenance. Strong knowledge of system administration, network protocols, and security practices. Experience with virtualization technologies (e.g., VMware, Hyper-V) and cloud platforms (e.g., AWS, Azure). Proficiency in scripting languages (e.g., PowerShell, Python) for automation and configuration management. Familiarity with CI/CD tools (e.g., Jenkins, GitLab CI/CD) and containerization technologies (e.g., Docker, Kubernetes). Knowledge of monitoring and log analysis tools (e.g., Nagios, ELK Stack) to ensure system performance and troubleshoot issues. Excellent problem-solving and analytical skills with the ability to identify and resolve complex technical challenges. Strong communication and collaboration skills to work effectively with cross-functional teams. Attention to detail and a commitment to delivering high-quality work within established timelines. Benefits Stock options in our Company. Hybrid Workplace (two days working from our offices). Healthcare Plan Internet Allowance Reward Program Competitive Vacations Plan About Our Company BrainHi team members have the opportunity to impact thousands of lives, every day, by promoting preventative healthcare in patients using technology. Our organization is made up of a dynamic team, based in Puerto Rico, Argentina, the United States and other parts of the world. We are committed to giving Hospitals and Medical Centers superpowers so they can delight their patients at every step. BrainHi has been awarded and recognized worldwide by organizations such as: Forbes, The New York Times, Y Combinator and el Nuevo Día for their growth and impact after being founded in 2017. Today BrainHi has served more than 1M patients and 1,000 doctors in Puerto Rico and the United States. BrianHi provides equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, sex, sexual orientation, gender identification, transgender or bisexual status, national origin, age, disability, or genetics. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination of employment, layoffs, retirements, transfers, leaves of absence, compensation, and training.",,,,
4,Junior Software Engineer,Jornada completa,"Aguadilla, Puerto Rico",https://pr.linkedin.com/jobs/view/junior-software-engineer-at-grupo-oricteropo-tropical-3641794570?refId=IWlvzTKQFbKdLfCT3UL56Q%3D%3D&trackingId=KCTeL5ckXrO3%2BznVoyflLA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"Who We Are Grupo Oricteropo Tropical (GO Tropical) is a Puerto Rican Act 20 company, established to provide services such as capital allocation, risk management, software development, and centralized management (""headquarters"" for TransMarket Group) to its international affiliates and customers. We have the intensity and passion of a technology startup while maintaining our stability and storied history as a respected member of the global financial system for over 40 years. Our mission is to bless others through the services we provide and through the generous stewardship of the wealth we create. The impact we make with the work we do drives our humility, discipline, and pursuit of opportunity. GO Tropical is excited to provide a unique employment opportunity with our rapidly growing team in Aguadilla, Puerto Rico. Our long-term employee training and development proves we value our people and want them to succeed at all levels in their careers. We have an entrepreneurial culture and collaboratively develop our business with patience and discipline; we work hard, learn constantly, and relentlessly improve our expertise. Responsibilities Work with Sr. Software Developers to assist and learn all facets of software development applied to the automated trading business Develop, code, maintain, and support production quality automated components for global proprietary trading Develop expertise in software development principles, C++, and high performance automated trading systems Collaborate with technology, software, trading, business, and accounting/finance team Requirements Bachelor's, Master's, or Doctorate degree in a technical or industry related field Passion for software and math applied to markets and trading Strong understanding of computing, math, probability, statistics, finance also preferred Programming proficiency and experience (C++, C#, Python). Linux scripting a plus Strong work ethic and willingness to do what it takes to get the job done Ability to work in a fast paced team environment Excellent verbal and written communication skills This position requires physical presence and is onsite (no remote work) Benefits We offer one of the most generous profit sharing programs in the industry because we believe our employees should be able to take part in our rapid growth and success. We are proud to offer more world-class benefits for our employees and their families. Grupo Oricteropo Tropical (GO Tropical) is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, gender, sexual orientation, gender identity or expression, religion, national origin, marital status, age, disability, veteran status, genetic information, or any other protected status.",,,,
5,Full Stack Engineer - Batch Processing,Jornada completa,"Aguadilla, Puerto Rico",https://pr.linkedin.com/jobs/view/full-stack-engineer-batch-processing-at-lockheed-martin-3657314773?refId=IWlvzTKQFbKdLfCT3UL56Q%3D%3D&trackingId=btKy5Z3AAYksY8RCrwi23Q%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"Become part of the Future of Information Technology (IT) at Lockheed Martin as a Full Stack Engineer within the Compute Portfolio! This dynamic, fast-paced environment embraces DevSecOps and Agile to enable our strategic goals. The Full Stack Engineer role will be instrumental to the success of reinventing how we develop and maintain compute infrastructure products at Lockheed Martin. The Compute Portfolio resides within the Enterprise IT Infrastructure and International (I2) Organization. Our teams are developing and deploying new transformative digital solutions to meet the global business needs. Our teams utilize a combination of Scrum or Kanban agile frameworks for product development and operations and maintenance. The Full Stack Engineer will learn all about our Enterprise IT operations and contribute to the automation of services and products. This is challenging environment with many opportunities for those that have a growth mindset and a desire for improvement. This position’s work-schedule will be Wednesday through Saturday 10-hour second shift. This position requires working some off-shift hours and on-call rotation.",,,,
6,Python Developer / Data Engineer,Jornada completa,"Aguadilla, Puerto Rico",https://pr.linkedin.com/jobs/view/python-developer-data-engineer-at-grupo-oricteropo-tropical-3641793869?refId=IWlvzTKQFbKdLfCT3UL56Q%3D%3D&trackingId=SfHWGPpUeHZzn83db3yHlw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"Who We Are Grupo Oricteropo Tropical (GO Tropical) is a Puerto Rican Act 20 company, established to provide services such as capital allocation, risk management, software development, and centralized management (""headquarters"" for TransMarket Group) to its international affiliates and customers. We have the intensity and passion of a technology startup while maintaining our stability and storied history as a respected member of the global financial system for over 40 years. Our mission is to bless others through the services we provide and through the generous stewardship of the wealth we create. The impact we make with the work we do drives our humility, discipline, and pursuit of opportunity. GO Tropical is excited to provide a unique employment opportunity with our rapidly growing team in Aguadilla, Puerto Rico. Our long-term employee training and development proves we value our people and want them to succeed at all levels in their careers. We have an entrepreneurial culture and collaboratively develop our business with patience and discipline; we work hard, learn constantly, and relentlessly improve our expertise. Responsibilities Support and enhance the firm's non-latency systems and data mart. This hands-on role will collaborate with all departments at TransMarket Group to complete goals in the following areas: Finance, risk, accounting, compliance, clearing, operations, portfolio financing.  Design, implement, and support software solutions that provide a unique insight into the firm's operations Work with various teams across the firm to understand system requirements and needs Quickly respond to ad hoc data and reporting requests Enhance existing surveillance and alerting infrastructure Requirements BA/BS/MS Computer Science, Engineering, Information Technology or related industry experience Strong knowledge of Python required; Pandas is a plus Database design and support is a plus, basic SQL required Knowledge of RESTful API design Solid understanding of data structures & containers Basic Linux and source control (git) understanding Familiarity with data warehousing and mining Dashboard design and data visualization a plus This position requires physical presence and is onsite (no remote work) Benefits We offer one of the most generous profit sharing programs in the industry because we believe our employees should be able to take part in our rapid growth and success. We are proud to offer more world-class benefits for our employees and their families. Grupo Oricteropo Tropical (GO Tropical) is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, gender, sexual orientation, gender identity or expression, religion, national origin, marital status, age, disability, veteran status, genetic information, or any other protected status.",,,,
7,🐍Python Developer Opportunity 🚀 Relocation to Uruguay 🛩️,Jornada completa,"San Juan, Puerto Rico",https://pr.linkedin.com/jobs/view/%F0%9F%90%8Dpython-developer-opportunity-%F0%9F%9A%80-relocation-to-uruguay-%F0%9F%9B%A9%EF%B8%8F-at-prometeo-consultora-de-recursos-humanos-reclutamiento-y-selecci%C3%B3n-ti-atracci%C3%B3n-de-talento-3657377119?refId=IWlvzTKQFbKdLfCT3UL56Q%3D%3D&trackingId=ZxhPCSl8WMdChSozk90PwA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"Who We Are At WorldQuant, we are opening our new office in Uruguay and we are thrilled to welcome new members into our team! We specialize in developing and deploying financial strategies across different markets and asset classes. Our goal is to create high-quality predictions and take advantage of market inefficiencies. We work together as a team to generate profitable investment strategies and build a global investment platform. As a WorldQuant technologist, you'll have the opportunity to research, design, code, test, and deploy projects in collaboration with our researchers and portfolio managers. Our work environment is relaxed yet intellectually stimulating. We value simplicity, agility, and fast prototyping to gather immediate feedback from users. We Are Looking For Passionate Candidates Who Have... 5+ years of experience as a developer in a systematic environment, with basic technical skills 💼 Proficiency in Python programming 🐍 Bachelor's degree or higher from a top-tier university in computer science, information technology, engineering, or a related field 🎓 Familiarity with scripting languages and real-time multithreaded application development on Linux/Unix platforms 💻 Practical knowledge of various database and messaging technologies like SQL, Redis, Kafka, etc. 📋 Preferred experience in data analysis 📊 Advanced proficiency in English, both written and verbal 🗣️ What do we offer? Economic and administrative support for those willing to relocate to Uruguay, including your family! 🛩️👨🏽‍👩‍👧‍👦 Direct contract to enjoy all benefits according to Uruguay´s law 💼🙌🏽 Highly competitive salary 💰💰 The opportunity to establish in the best country in the region and continue to grow in your professional career 🚀✨",,,,
8,Desarrollador Python - Remoto,Jornada completa,"San Juan, Puerto Rico",https://pr.linkedin.com/jobs/view/desarrollador-python-remoto-at-oowlish-3642712058?refId=IWlvzTKQFbKdLfCT3UL56Q%3D%3D&trackingId=zJwZ9j0hB1pYRsUmTPu8%2Fw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"Be part of our team! 🚀💼 Are you ready to launch your career into the tech stratosphere with one of LatAm's fastest-growing software development companies? 💪💻 At Oowlish, we're on the hunt for tech maestros to join our dynamic, cosmopolitan squad. As an 🦉Oowlish🦉 team member, you won’t just be part of a team, you’ll join an innovative, supportive family, partnering with top-tier clients from the USA and Europe 🌍 to kickstart their digital journey. And being part of a 🌟Great Place to Work🌟, it’s all about learning, growing, and making a global impact - together! Enjoy the flexibility of working in your PJs 🧦, with your furry friend 🐶 on your lap, relishing your freedom and maintaining a perfect work-family life balance ⚖️. Because we know that’s when you’re at your best. If you're a tech enthusiast 🕹️, fluent in English 🗣️, and thrilled about working remotely while making an international splash, then you're on the right page! Debe Tener 4+ años de experiencia con Python Experiencia usando Django Experiencia con productos de AWS (Lambda, CloudWatch, ElastiCache, AmazonMQ, API Gateway, Cognito, Kinesis, OpenSearch, S3, ECS) Contenedores: Docker y Kubernetes; Compromiso con las mejores prácticas de desarrollo y utilizados en patrones de diseño Habilidades para llevar a cabo tareas de análisis, diseño, desarrollo, pruebas, y documentación. Interés por afrontar nuevos retos y trabajar con tecnologías diferentes en caso de que así se requiera. Responsabilidad y autonomía para llevar a cabo las tareas del proyecto. Comunicación fluida. Deseable Inglés: Conversacional Benefits & Perks  Home office 🏠  Flexible Hours;🕜  Competitive compensation based on experience; 💵  Career plans to allow for extensive growth in the company;📈  International Projects;🌍  Oowlish English Program (Improving and Certifying)📚  Spanish Classes 📚  Oowlish fitness with Total Pass;🏋‍♀️  Oowlish Academy (Grants for Education);🎓  Build your Home Office (Grants for Computer & Equipment);💻  Connecting You (Internet allowance);📡  Anniversary bonus;💸  Wedding gift;👰‍♀️  Pet adoption incentive;🐕  New baby Owl bonus;👩‍🍼  Back to School bonus;✏️  Netflix Subscription;📽  Oowlish paradise – 4 days/year at a Resort with your family & pets;🏝  Vacation Bonus;🏖  Games and Competitions;🎮  Enjoy your national Holidays;🎊  Oowlet Store🛒 Come join us in breaking the mold and revolutionizing the tech landscape! 🌐 Remember, with Oowlish, you’re not just getting a job, you’re becoming part of a community 🌍 of innovative, talented, and inspiring individuals who respect each other and our furry friends 🐾. Why wait to make your mark on the tech world? Hit ‘Apply Now’ to embark on Oowlish's exciting journey, and let's turbocharge innovation together! 🚀🎉 You Can Also Apply Here Website: https://www.oowlish.com/work-with-us/ LinkedIn: https://www.linkedin.com/company/oowlish/jobs/ Instagram: https://www.instagram.com/oowlishtechnology/ #amazon #job #home #linkedin #career #online #employment #remote #work # international #clients in united states#clients in USA #vacant #hiring #opportunities #hire #application #apply #virtual #wfh #tech #best #english #online #offer #vacancy#desarrollador #desarrolladora #front end #programador #programadora #programmer #full stack #software engineer #desarrollo #system #developer #application #code #program #desenvolvedor #engineer #engenheiro #sql #sde #web #backend #empleo #trabajo #ofertas #emprego #vagas",,,,
9,Software Engineer,Jornada completa,"Aguadilla, Puerto Rico",https://pr.linkedin.com/jobs/view/software-engineer-at-lockheed-martin-3642939283?refId=IWlvzTKQFbKdLfCT3UL56Q%3D%3D&trackingId=251vmoCapWqM5BvzhDFKvg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,"The coolest jobs on this planet... or any other... are with Lockheed Martin. At the dawn of a new space age, Lockheed Martin is a pioneer, partner, innovator, and builder. Our amazing people are on a mission to make a difference in the world and every day we use our outstanding skills and experiences to create, craft and build solutions to some of the worlds’ hardest engineering problems. Our culture supports employees to dream big, perform with excellence and create incredible products. We provide the resources, encouragement and focus and if you have the passion, we want to build a better tomorrow with you! Lockheed Martin is looking for a Software Engineer to support the FBM program. Candidate will work in a team environment to deliver administration, operational user support and application sustainment to meet our customers’ needs. The candidate will be mainly responsible for the full spectrum, of end-user support for Atlassian tools (Jira, Confluence and Bitbucket); feasible to develop, enhance, debug, and implement software solutions for our internal customers in the aerospace industry.",,,,
