,Title,Jornada,Ciudad,URL,Descripcion,Compañia,Nº Empleados,Rubro,País
0,Junior Python Developer,Jornada completa,Uruguay,https://uy.linkedin.com/jobs/view/junior-python-developer-at-sophilabs-3653634684?refId=pmID6U1ZipZ3IlSq3Wv1Cw%3D%3D&trackingId=QtuuTpNF9dw9ciWj5xVNHw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"A Typical Day As a  Junior Python Developer , you will build websites, mobile apps, and backend services to support different phases of the business workflow. Using different open-source technologies like Python and others. You will be working with cross-functional teams using Scrum. Qualifications Fluency in Python Demonstrates resilience, diplomacy, influencing, relationship-building, and problem-solving skills Customer success-oriented Fluency in English is a must   Preferred qualifications Studies related to Information Technology Knowledge of GitHub Familiarity with HTML, CSS, and/or SASS Familiarity with Javascript, Angular, and/or React Knowledge of PostgreSQL, AWS, and Docker Scrum knowledge Full-time and Remote availability   We offer 🚀 An opportunity to grow and develop your career with training, English support and courses, investment days, books, conference support, coaching, and 360 feedback. 🌱 A good work-life balance with a remote working policy and gym membership discount.  If you share our commitment to delivering excellent client-focused service and putting customers first, enjoy working in teams, and are always looking to improve, join us!",,,,
1,,,,https://uy.linkedin.com/jobs/view/ai-ml-data-scientist-part-time-or-full-time-freelance-remote-at-braintrust-3656422408?refId=pmID6U1ZipZ3IlSq3Wv1Cw%3D%3D&trackingId=dAd8onZB7W0aRpwMd9sBOw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
2,,,,https://uy.linkedin.com/jobs/view/junior-python-engineer-at-sophilabs-3653635296?refId=pmID6U1ZipZ3IlSq3Wv1Cw%3D%3D&trackingId=0V0LmB5SgbGyJrGik1k19g%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
3,,,,https://uy.linkedin.com/jobs/view/junior-python-developer-remote-internship-%E2%80%93-it-at-talentkompass-deutschland-3651755897?refId=pmID6U1ZipZ3IlSq3Wv1Cw%3D%3D&trackingId=XBH%2BxzGzZh6kw9DtCFefTg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
4,,,,https://uy.linkedin.com/jobs/view/junior-react-developer-at-sophilabs-3653255166?refId=pmID6U1ZipZ3IlSq3Wv1Cw%3D%3D&trackingId=4GKdYObfRkshDE4iHmWDTw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
5,Junior Python/Django Developer,Jornada completa,Uruguay,https://uy.linkedin.com/jobs/view/junior-python-django-developer-at-sophilabs-3653637092?refId=pmID6U1ZipZ3IlSq3Wv1Cw%3D%3D&trackingId=9aZYlm9XaSAC67Nob0ueXA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"A Typical Day As a  Junior Python/Django Developer , you will build websites, mobile apps, and backend services to support different phases of the business workflow. Using different open-source technologies like Python, Django, and others. You will be working with cross-functional teams using Scrum. Qualifications Fluency in Python Fluency in Django Demonstrates resilience, diplomacy, influencing, relationship-building, and problem-solving skills Customer success-oriented Fluency in English is a must   Preferred qualifications Studies related to Information Technology Knowledge of GitHub Familiarity with HTML, CSS, and/or SASS Familiarity with Javascript, Angular, and/or React Knowledge of PostgreSQL, AWS, and Docker Scrum knowledge Full-time and Remote availability   We offer 🚀 An opportunity to grow and develop your career with training, English support and courses, investment days, books, conference support, coaching, and 360 feedback. 🌱 A good work-life balance with a remote working policy and gym membership discount. If you share our commitment to delivering excellent client-focused service and putting customers first, enjoy working in teams, and are always looking to improve, join us!",,,,
6,,,,https://uy.linkedin.com/jobs/view/junior-react-engineer-at-sophilabs-3653249701?refId=pmID6U1ZipZ3IlSq3Wv1Cw%3D%3D&trackingId=kJCQOZhvOrIz8%2FZlSQEzXg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
7,,,,https://uy.linkedin.com/jobs/view/junior-python-django-engineer-at-sophilabs-3653631834?refId=pmID6U1ZipZ3IlSq3Wv1Cw%3D%3D&trackingId=z1gL2NctRF3eLgfmmJ1cOg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
8,,,,https://uy.linkedin.com/jobs/view/front-end-react-developer-at-sophilabs-3653253595?refId=pmID6U1ZipZ3IlSq3Wv1Cw%3D%3D&trackingId=YCH3KifAl5HBMUsIu%2F5saQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
9,Fullstack Engineer (Python & React),Jornada completa,Uruguay,https://uy.linkedin.com/jobs/view/fullstack-engineer-python-react-at-montevideo-labs-3656889195?refId=pmID6U1ZipZ3IlSq3Wv1Cw%3D%3D&trackingId=0S%2BMlqPKdFNM%2F%2BYkpdfLaA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"Are you looking for an opportunity to jump-start your career in a thriving tech industry? Join us at Montevideo Labs to grow our business and execute our mission to help organizations leverage data and technology to make better decisions. With over 10 years of experience in the field of big data, top US customers such as Mastercard, TripAdvisor, and Roku choose us to develop innovative products. What is this position about? We are looking for a Fullstack Engineer to work alongside a company that strives to assist businesses in improving their decision-making process by providing them with the necessary tools and resources to manage their sales and marketing data effectively. As a Fullstack Engineer, you will play a crucial role in the development and maintenance of web applications, with a special focus on incorporating video chat functionality. While experience in video chat is highly valuable, we welcome candidates who are willing to learn and adapt to new technologies. We are looking for individuals who are ready to fire up their career and join a dynamic, fast-paced environment that will open the door to challenging opportunities. What will I be doing? Develop and maintain both the frontend (React) and backend (Python) components of a web application, with a strong emphasis on video chat functionality. Collaborate with cross-functional teams to design and implement new features. Write clean, scalable, and well-documented code. Troubleshoot and debug technical issues, providing timely resolutions. Optimize applications performance and ensure a smooth user experience. Stay up-to-date with emerging technologies and industry trends. What expertise do I need? BS or MS in Computer Science or equivalent. Solid experience in Python and React development. Familiarity with FastAPI is a plus. Experience with cloud technologies, particularly AWS, is a plus. Knowledge of WebRTC (daily.co) and Twilio voice calling is a plus. What about languages? You will need excellent written and verbal English for clear and effective communication with the team. How much experience must I have? In order to thrive in this role, you must have at least 3+ years as a Fullstack Engineer working especially with Python and React. Our Perks And Benefits Every day lunches! (headquarters) Vegetarian, vegan, gluten and sugar-free options. Gourmet meals every Friday with our on-site chef! ⚖ Flexible working options to help you strike the right balance. ‍ All the equipment you need to harness your talent (Macbook and accessories). ☕Snacks and beverages available everyday (headquarters). After office events, football, tennis and game nights (headquarters). Everyone is welcome to join our football league every Wednesday's and Friday's. Challenge your teammates to a pool game and win the office's trophy! Tennis courts available for friendly matches. You are not a sports person? Don't worry, we also have chess championships, game and music nights for you to join! Learning Opportunities AWS Certifications (we are AWS Partners). Study plans, courses and other certifications. English Lessons. Learn from your teammates on our Tech Tuesdays! ‍ Mentoring and Development opportunities to shape your career path. Anniversary and birthday gifts. Great location and even greater teammates! So what are the next steps? We are eager to learn about you! Send us your resume or LinkedIn profile below and we'll explore working together! Cheers! The team at Montevideo Labs",,,,
